Comment,Author,Date,Score
"I would have thought members of the SC wouldn't be so eager to ditch the Constitution, and our country, for money. I can't believe I spent a lifetime respecting people who were going to betray this country and it's citizens for cash. Unbelievable",floofnstuff,2025-04-15T23:24:36,47
"Of course, the $upreme court will grant him this power. All trump or his donors have to do, is offer cash and prizes in exchange, and it's a done deal.",LivingIndependence,2025-04-15T22:46:11,25
"No surprise there! He had some of them hand selected, and some are just pocketing Republican money. What an honest court for our children to look up to 🤮🤮🤮",RedRoom4U,2025-04-16T06:49:06,8
I mean no threat of actual violence by saying this: when do we use our rights granted by the constitution and raise up arms against this tyranny?,Robot_Alchemist,2025-04-16T10:38:44,4
How do you say I’m just in it for the money without saying I’m just in it for the money,Stormy31568,2025-04-15T22:52:23,14
It looks like it's going to be up to us to remedy this situation.,YallerDawg,2025-04-16T05:57:54,9
"I hate how these media sites work to convince us to lie down and die.   If the Supreme Court doesn't uphold the Constitution, the states must begin the process and form a constitutional congress.  I am prepared to fundamentally reform the United States.  One way or another, everything will change and there is no way to stop it.  We might as well get what we desire.",swift-sentinel,2025-04-16T12:18:11,1
Don’t all president have broad unchecked power of fed gov… thus the name chief executive?,Agitated_Plum1196,2025-04-17T08:05:33,1
Clarence Thomas enters the chat…,downinthevalleypa,2025-04-16T12:29:51,6
"Yes, We the People need to get moving.",downinthevalleypa,2025-04-16T12:30:23,3
