Comment,Author,Date,Score
This is why we have due process because ICE can just scoop you off the street and ship you to a detention center even if you're a citizen and then claim it was a mistake.,baby_budda,2025-04-19T21:31:34,37
"Apartheid Elon and his little buddy Big Balls are now spamming the US via AI.   The so called Department of Government Efficiency is not a department, isn't government, and is certainly not efficient. Reminds me of a certain saying about the Holy Roman Empire.",clamorous_owle,2025-04-19T21:32:45,13
"Too many ads, couldn’t read the article past the point the person was born in Pennsylvania & is being told to leave…? What happened to her?",BoxBeast1961_,2025-04-19T22:11:00,5
"Next trump crisis: the shortage of doctors. Not only immigrant doctors, but apparently home grown doctors as well.",shastadakota,2025-04-20T03:10:25,5
Hope she got a lawyer,bapeach-,2025-04-19T22:27:16,4
"Trump tweeted: “Peoples lives are being shattered and destroyed by a mere allegation. Some are true and some are false. Some are old and some are new. There is no recovery for someone falsely accused – life and career are gone. Is there no such thing any longer as Due Process?”   Oh wait, that was him talking about sexual assault allegations.",ps3x42,2025-04-19T23:20:26,24
"It's only a matter of time before a citizen ends up in CECOT and the administration still says ""oops, nothing we can do"". And it's only a matter of time before they start doing it on purpose. Targeting people based on all the data DOGE has collected.",handsoapdispenser,2025-04-19T23:14:26,15
Someone pretended to be her and used her info that ended up in an immigration database. Since the geniuses in charge are now using email to communicate they blasted out emails to a list of people thought to be here illegally and this lady was on the list because her information was provided and never cross checked.,Nolimitz30,2025-04-19T23:13:39,8
I wonder where they're going to send their female prisoners.,baby_budda,2025-04-19T23:17:02,7
"Not only data that DOGE has collected, but don't be too surprised if they're not actively scouring all social media of any criticism of the Trump/Musk regime",LivingIndependence,2025-04-20T11:43:49,1
La Salvadora?,handsoapdispenser,2025-04-19T23:19:26,9
Mar A lago.,Ianthin1,2025-04-20T11:52:39,2
