Comment,Author,Date,Score
"Former President Joe Biden’s attempt to bill $300,000 per speaking appearance is finding few takers, The Post has learned — as some of his own former aides say it’s time for the 82-year-old to leave the spotlight for good after reminiscing about “colored kids” Tuesday in his first public address since leaving office.",Sure-Wishbone-4293,2025-04-17T19:42:38,38
$300K seems rather steep for a story about Cornpop and a dropped ice cream cone.    What's the expression? A fool and his money are soon parted? ,WPWeasel,2025-04-17T18:43:51,82
"Now he wants to speak in public, after doing like 4 press conferences for his entire term? Come on, maaan!",onemanmelee,2025-04-17T20:37:20,22
Would be hilarious if Daily Wire or someone paid the $300k to get him to sit down and have an uncensored interview with no handlers.,Mountain_Man_88,2025-04-17T18:58:59,80
Continued elder abuse by Jill and his staff,Funny-Apricot-0712,2025-04-17T20:29:10,35
"If I had Biden speak, he would have to pay me to have him speak.",Sure-Wishbone-4293,2025-04-17T19:38:18,9
i hope his talent agent got a fixed rate and isn't working on commission.,reaper527,2025-04-17T18:25:13,24
300k is a bit pricey for a carnival sideshow.,Flashy-Increase-2075,2025-04-17T18:47:28,11
"Private jet will average $150,000, they’re flying in a serious jet plane. 5 handlers expenses. You know Jill is there, plane has to have probably 8 people plus an attendant. Biden $300,000. This is $450,000 plus for this moron to speak.",Lifeisagreatteacher,2025-04-17T21:32:57,6
200k of that is for the meds they have to pump him up with to get through a 15 minute speech,Tasty_Explanation_20,2025-04-17T18:36:26,16
"Hard times in the Biden family. First, Hunter no longer can command 25k a painting for his art, now this. Must be that Trump economy setting in. Guess they’ll be voting for change next election!",Unlucky-Prize,2025-04-17T19:30:18,11
Remember when he said he would cure cancer if he got elected?   Pepperidge Farm remembers.  https://www.youtube.com/watch?si=LjoQNvN1EnTaSDZH&v=_A6V6wxc81s,Ironman650,2025-04-17T19:28:03,9
Private jet full of diapers and 5 butt wipers.  I didn’t mean for that to rhyme…,Iamstillhere44,2025-04-17T18:26:59,19
"Man even if I don’t like Biden this just makes me sad for the guy. Just enjoy your retirement, you served the country for a long time, go spend time with your grandkids and try and enjoy what time you have left.",MacadamiaMinded,2025-04-18T07:56:16,3
I'm sure the CCP knows how to get their money's worth.,Carl-j88aa,2025-04-17T22:17:33,1
Worth it. Do it during midterms.,pcm2a,2025-04-17T20:14:45,25
I would be tree fidy for another corn pop speech.,weekend-guitarist,2025-04-18T08:58:14,1
