Comment,Author,Date,Score
"Howard Dean was on the call announcing this, according to the article.  They give Dean credit for being ""the architect of the original 50-state strategy.""",gadgetygirl,2025-04-24T15:58:09,59
"Let's do this, bitches!",Rosebunse,2025-04-24T16:51:47,21
"We need a bold platform that gets people excited, not just more of the same. Saying we'll make some tepid changes if Republicans will cooperate isn't getting us anywhere. The platform has to be brash and relentless.  And ffs, stop extending the hand to Republicans. We lose progressives every single time we extend the hand.",blightsteel101,2025-04-24T16:06:43,39
Ya think?,MS6_Boost,2025-04-24T15:45:52,27
This is the way!,AdOne5089,2025-04-24T15:49:18,13
Yup you can’t just campaign in swing states.  Abolish citizens united too. Make that a central campaign pledge and people will pay attention but they sure do love those corpo dollars,GoldenboyFTW,2025-04-24T19:32:58,5
Gonna be hard to fundraise what with the Felon investigating ActBlue,burritoman88,2025-04-24T17:12:01,3
About time,Flashy_Rough_3722,2025-04-24T17:26:18,3
[removed],[deleted],2025-04-24T16:00:15,2
[removed],[deleted],2025-04-24T15:42:03,-1
They should put him in charge again. The DNC was never so powerful as it was when Dean was in the driver's seat.,Demortus,2025-04-24T18:33:22,19
They need to change the party's name to the Deanocratic Party. People don't realize how important he was.,dkinmn,2025-04-24T18:41:25,5
Did he start the call with a yah?!  https://en.m.wikipedia.org/wiki/Dean_scream,MNCPA,2025-04-24T16:19:59,-13
"Part of the agenda should be a clear path to punishing the current admin. This whole ""optics"" talking point is just an excuse to slow walk and never actually have people face consequences. Let the Republicans scream about unfair. They have lost their right to complain",mr_birkenblatt,2025-04-24T17:01:45,17
"So this article isn’t really about platform, it’s resource allocation as I understand it that can work with literally any platform.",Michael70z,2025-04-24T19:26:39,1
Weren’t all those guns supposed to protect us from the tyranny of the government? 🤔,BigMaffy,2025-04-24T15:55:33,6
"Ken Martin is solid at least, we’ve had an undefeated record for statewide elections in Minnesota starting when he became DFL chair.",Michael70z,2025-04-24T19:25:10,5
Seriously?  Governor Dean was a great candidate and Democrat. DfA did great work for Democrats and the 50 state strategy helped us get out of the Bush II years. Yet someone always has to bring up the dumb scream.,David_R_Martin_II,2025-04-24T17:10:25,18
"A clear path, yes, but also an explicitly fair path. We need to be the party of timely, transparent justice. The prosecution of every member of the current admin needs to be extremely publicized, not only to discredit each and every individual, but to demonstrate that Democrats stand for the laws put forth in the Constitution.",blightsteel101,2025-04-24T17:11:05,11
"""Punishing"" people is not a platform that will appeal to anyone who isn't already voting straight dem. That isn't to say that we shouldn't investigate people we think broke the law when we have a chance, but that isn't something we can or should campaign on.",Demortus,2025-04-24T18:35:18,0
"Well, that's sort of the point. If you only arm the police, then you can easily have a police state. If you arm both, it's always got to be in the back of their minds. Why Democrats want to de-arm the civilians but not the police, who already don't have a great reputation, is a mystery to me.",BoarnotBoring,2025-04-24T16:27:19,-1
"Oh yeah, Ken was a fantastic pick. I'm just frustrated that David Hogg has a seat at the table..",Demortus,2025-04-24T19:29:13,1
Agreed. That man worked so hard and had laryngitis that night. People are so ridiculous.,Choice-Pudding-1892,2025-04-24T17:41:32,7
Trump *is* already convicted,mr_birkenblatt,2025-04-24T18:56:14,3
"We followed Common Law for centuries in America. It was precedent that guns belong in your house, safely stored. It was a long held norm that you can't travel with guns or any kind of bladed weapon. There was a huge difference between guns for militia use and guns for personal use back then. Cities back then banned people from bringing guns into town. If there was a gunman, the norm was to flee. Courts also took guns away from people deemed as menaces or threats.   In the 21st century, there is little that civilians or private militias can do against police. Sure, someone can down a couple officers, but a civilian or militia in this day and age would be outmatched 1 million to one.   The oppression that the framers of the constitution were worried about was the federal government using the standing army the way that the English government did. Before independence, the English government imposed their rule by telling the colonies that the standing army must be maintained at the colonists' expense. This meant that colonists who started to see themselves as American rather than English had to shelter loyalist Redcoats in their homes or on their properties.",x_xHaunter313,2025-04-24T16:54:59,6
I'd start every conference call with *Yah!*,MNCPA,2025-04-24T18:01:58,-1
True. We just have to sentence him,blightsteel101,2025-04-24T19:18:21,3
