Comment,Author,Date,Score
I fucking hate everything about this.,LolAtAllOfThis,2025-04-16T15:03:59,124
Can't make a dead man speak.,Kannazuki1985,2025-04-16T15:05:44,83
The whole Shitler Admin needs to be thrown in there for life,monsterdiv,2025-04-16T15:18:56,41
Paying?  WTF?  This is alllllll bullshit,90Carat,2025-04-16T15:19:37,33
"The efforts of Van Hollen are admirable in their attempts to do something within the legal measure of action but it also just feels like the same result as Gotham City trying to solve its problems in the same way. We have plenty of James Gordons in our world. People that are willing to do the right thing, to do the legal thing. But when things so stacked against you, when what your facing against is so against the very power that you hold...  What we really need are the ""Batmans"" of the world.   To quote the Dark Knight Rises itself.  *""There's a point. Far out there. When the structures fail you. When the rules aren't weapons anymore, they're shackles, letting the bad get ahead. Maybe one day you'll have such a moment of crisis. And in that moment, I hope you have a friend like I did. To plunge their hands into the filth so you can keep yours clean.""*",Dapper_Eggplant,2025-04-16T15:29:28,15
"It is with deep reservation that I PAID my taxes yesterday and it sickens me to fathom that my fucking money is being used to fund actions which undermine the Constitution and blatantly disregard the Bill of Rights and the rule of law.  Sickening.  Absolute.  Clearly the Republican Administration is not honoring the oath taken on January 20, 2025 by the Republican serving - albeit questionably - as President.   Grounds for removal have never been so obvious.",Top_World_4921,2025-04-16T15:40:22,20
Our tax dollars at work!/s,Mr-Hoek,2025-04-16T15:33:11,5
"The Trump administration has defied a court order and is committing a heinous crime against this man and the others who have had no due process.  They have all been sent to a death camp by the United States.  This is a another SHAMEFUL, HORRIBLE part of our country's history that no whitewashing will erase.",CouchCorrespondent,2025-04-16T15:23:04,3
"The other part of this is that he quoted Buckles in saying that they cant smuggle him into the US.  Which basically made me realize that its a roundabout way (likely to prevent pissibg trump off but also to beat around the bush so they dont run afoul of a future anti-Trump pres) of saying that Trumps admin is basically refusing to take him back. They wouldnt have to ""smuggle"" him if Trump sent a plane or if they could put him on a repatriation flight.   Now remember, the court said that the Trump admin is obligated to ""facilitate"" his return, which they are interpreting as sending a plane to pick him up. If Buckles and his VP are saying that they have to smuggle him, then that means the admin is very obviously in contempt and refusing to even send the plane.",chaos0xomega,2025-04-16T15:55:46,3
"Aha, so DOGE has a clear interest in bringing him back! Government efficiency!",gringledoom,2025-04-16T20:36:17,2
Why dont Dems just say that Garcia is dead and make El Salvador + Republicans prove otherwise?,mcswaggleballz,2025-04-16T21:04:08,2
"Rump isn't paying for anything. The American tax payer is. We the people say bring him home now! CECOT has something coming to it and it isn't going to be a check, cash, gold or crypto.  25th A for 47, he can do his life term there. We'll even send him with all his sycophant staff; even his nepo family! Good riddance MFr",WoodsWitch62,2025-04-16T21:13:12,2
"No, the American tax payer is paying to keep him, and the others, at CECOT.",crucial_geek,2025-04-21T14:04:44,2
"We need video evidence that him and many others are still alive, and we need as much confirmation as possible that they will remain alive while the fucking adults in the room figure out how to get them home.",LuigisManifesto,2025-04-16T15:15:16,22
I’d say not for long and Congress should stop payment on the proverbial check.,Jse034,2025-04-16T15:23:31,9
This is evidence for contempt of court and damages in a civil lawsuit.,Imaginary_Scene2493,2025-04-16T15:24:19,2
6 million to say what you're told to say,LadyMadonna_x6,2025-04-16T15:25:31,5
">Trump is paying  ""I'll double it.""",VaguelyArtistic,2025-04-16T15:35:30,3
Insanity. Tragic Insanity.,SoftwareHot,2025-04-16T15:36:28,3
"Until I get proof of life my protest sign will read...   #THEY KILLED KILMAR!  Make them deny it, make them prove he's alive and well treated.   Journalists need to hammer them for proof of life every day!",B00marangTrotter,2025-04-16T15:38:19,25
"I thought all along, they are being paid to keep those folks--due process means nothing if you can disappear a person--",dbennett0411,2025-04-16T15:51:03,2
Where is this funding coming from? This clown shouldn’t be able to misappropriate federal funding for his own purpose. Seems like a breach of federal law.,rmp959,2025-04-16T15:52:07,3
They are not taking proper care of those people,polygenic_score,2025-04-16T15:58:15,3
Are there Salvadorans who oppose those prisons?,TimothiusMagnus,2025-04-16T16:01:33,3
Insane...,Willdefyyou,2025-04-16T16:04:17,2
Is there any verifiable evidence this is true?,ThrustTrust,2025-04-16T16:12:48,1
Wasting more taxpayer money.,LotsofSports,2025-04-16T16:13:46,2
That validates the criminal contempt charges made by the court against the administration.,swift-sentinel,2025-04-16T16:21:01,3
"Now that there is an institution like Harvard committed to opposition, that's a beacon of hope, but we need more of them. Every person in this country needs to take some time and seriously reflect on what will they'll be willing to do as this cabal becomes more lawless and anti-democratic. This administration is currently defying a Supreme Court because this mealy-mouthed Court refuses to state in plain, specific language what must be done. They seem committed to always giving Trump wiggle room or more power. Once the Court gets specific and this administration ignore them, what will you be willing to do?              We can no longer think of ourselves as a ""resistance""; we should now be the unabashed opposition. Peaceful protest should always be the goal, but we also have to determine how we can become disruptors. How can we punish the more powerful who remain silent or even complicit in the face of the rise of Trump's fascism? How do we punish those who've been named as part of the team of destruction that's raged through the government? They should be named everyday until they're as well known as Elon Musk. They shouldn't be doxxed, or threatened, but they should be known: https://web.archive.org/web/20250228000358/https://www.nytimes.com/interactive/2025/02/27/us/politics/doge-staff-list.html                   Another thing to keep in mind is those in Trump's Cabinet people must steal enough so they never have to work again, or they have to stay in office under the Dear Leader forever because after this, they have nowhere to go in politics, or most of polite society. There's no more political career for Marco Rubio or the former members of the House who joined Trump's Cabinet, they're all-in. At some point, most of us are going to have to be all-in. What will it take for you? And you don't have to say, but you should have in mind what you're going to be willing to do if that time comes.",appmanga,2025-04-16T16:26:03,2
"This is slavery. Trump is paying others to keep innocents imprisoned. People are property, owned, and kept in torturous existence.   We must all become John Brown and Harriett Tubman.",ZoomZoom_Driver,2025-04-16T16:44:41,3
So a U.S. Senator went in an official capacity to find the whereabouts of his constituent. Said Senator was given verbal confession from the President of El Salvador that El Salvador is being paid by the U.S. President to human traffick a person that The U.S. Supreme Court must be returned to the U.S. (or elsewhere if you're a ring-wing nut).  Can this be used as testimony for human rights violations against El Salvador? It's not like Congress would depose the Senator for testimony for impeachment of Trump and Co.,SlimShakey29,2025-04-16T17:41:37,9
Maybe we’ve found a use for go fund me after all….,Ok-Stress-3570,2025-04-16T17:43:20,2
EVERYBODY needs to be on the streets this weekend protesting,bigrob_in_ATX,2025-04-16T17:45:39,2
"Which is why tRump can easily get him back, simply say that they won't pay for him anymore.",Fit-Struggle-9882,2025-04-16T17:47:34,3
Our tax dollars hard at work,Zeuslb24,2025-04-16T17:52:31,5
[removed],[deleted],2025-04-17T20:13:21,1
"If Garcia truly is dead, will the admin’s response be “oops.” or “you could be next.”?",OkTransportation1152,2025-04-16T15:23:17,30
And the promise of building at least 5 more gulags,MotherofHedgehogs,2025-04-16T20:58:23,2
6 million dollars.,LolAtAllOfThis,2025-04-16T15:29:53,24
"Unfortunately, a single Senator or Congressional delegation can't actually order another government to do anything.  What they can do is go on fact-finding missions and get direct answers in a way that a Judge can't.  Because of Van Hollen's visit, I expect we'll get confirmation of answers like:  * Why are you holding him? - Because the US is paying us.  * Can we talk with him? - You may not.  * What crime is he charged with? - None.  * Has the US Embassy reached out about releasing him? - They have not.  All of which further reinforces that Trump administration officials are in contempt of court.  The government of El Salvador doesn't really care about holding this guy and would return him if the US government asked... but nobody has taken even the most basic steps to ask.",Xytak,2025-04-16T16:25:40,12
"> What we really need are the ""Batmans"" of the world.  Are you one of them?",appmanga,2025-04-16T15:49:12,4
[deleted],[deleted],2025-04-16T17:36:15,6
Just like with that journalist at the hands of the Saudis. Trump really is that evil. Republicans really are that evil. Evangelicals really are that evil. ,Jackpot777,2025-04-16T16:36:04,2
People go there to die.,baby_budda,2025-04-16T16:03:48,2
"I’m sure there are but they are then sent to them. Bukele thinks he’s cute and coined himself the “world’s coolest dictator”. He suspended habeas corpus, they just pick up “suspected criminals” and toss them in.",irrelevantanonymous,2025-04-17T01:26:42,1
