Comment,Author,Date,Score
"Hopefully, all of that time is back in South Africa.",FungusBalls,2025-04-22T17:46:30,98
In spite of all these numbers the stock goes up  Nothing suspicious there nope,amievenrelevant,2025-04-22T18:11:19,52
The company's profit will still tank as [most people have a negative view of Tesla and Musk; and that negative sentiment is still growing](https://www.cnbc.com/2025/04/22/about-half-of-americans-have-a-negative-view-on-tesla-and-elon-musk-cnbc-survey-finds.html).   ![gif](giphy|xT5LMHkEg6runrYJuo),progress18,2025-04-22T17:40:41,86
He should try spending time in prison.,BluXombie,2025-04-22T18:16:42,37
Only 71%? We have more work to do,I_upvote_aww,2025-04-22T18:37:03,27
"Article snippet:   > Elon Musk, Tesla’s chief executive, said on Tuesday that he would spend less time in Washington working for President Trump after the automaker reported a profit drop of 71 percent in the first three months of the year. >  > Mr. Musk told Wall Street analysts in a conference call that he would continue to spend “a day or two per week” on Washington matters, probably for the duration of Mr. Trump’s presidency. The billionaire executive is one of Mr. Trump’s closest confidants and has played a leading role in the president’s efforts to slash government spending and cut tens of thousands of federal government jobs. >  > His comments came less than two hours after Tesla said it had earned $409 million, down from $1.4 billion in the first quarter of 2024. The company previously reported net profit of $1.1 billion last year, but revised the figure to reflect changes in the way cryptocurrency assets are valued. >  > Tesla sales have been slumping because of intense competition from Chinese carmakers like BYD, a lack of new models and Mr. Musk’s support of far-right causes, which has turned off some liberals and centrists from buying Tesla vehicles.",progress18,2025-04-22T17:33:10,14
![gif](giphy|SZioIIBxB7QRy),twstdbydsn,2025-04-22T17:53:18,13
"Too late, Elon...",Big_Bookkeeper1678,2025-04-22T18:48:04,10
"We'll believe it when we SEE it, but DO let's SEE IT happen, Nazi Space Monkey!!!!!!!!!!!",Puzzleheaded_Two6805,2025-04-22T18:17:45,8
"I was just about to post this!   He FAFO’ed really hard, and there is no coming back",monsterdiv,2025-04-22T18:20:21,8
"Musk's contributions   Federal Workforce - Over 200,000 layoffs, agency   Dismantling Social Services-Reduced access, longer wait times, office closures  Fiscal Impact	- Limited savings, increased deficit due to lost tax revenue  Global Impact - 	Potentially dire effects on international aid and global partnerships   Musk’s DOGE Program gave us  DOGE claims about $150 billion in government spending cuts.  Lost Tax Revenue: Cuts to the IRS are projected to cause over $500 billion per year in lost tax revenue—potentially $2 trillion or more over a decade.  While DOGE touts $150 billion in savings, the actual damage in lost revenue and increased risks could reach hundreds of billions to trillions of dollars over time.",Many_Trifle7780,2025-04-22T18:43:56,8
Tesla’s collapse I think has developed a downward spiral momentum of its own and it seems to be growing like the proverbial downhill rolling snowball. I doubt musk can do anything much.,Bandits101,2025-04-22T18:28:17,7
He has already raided our private information for his businesses he doesn’t need to be there anymore.,Bakingsquared80,2025-04-22T19:00:50,7
So is he teleworking for DOGE now?   Very unethical,giraffebutter,2025-04-22T19:37:04,8
"Womp Womp, too late for little Elon",Educational_Bag_6406,2025-04-22T18:15:07,6
Take your teeny bopper boys with you.,BustAMove_13,2025-04-22T18:27:43,6
Too late to turn back time,Tricky-Spread189,2025-04-22T18:31:16,5
"The problem is not that Elon is spending time away from the company.  The problem is that he has been spending time actively working to harm his customers.  Tanking their investments, killing their businesses, and revoking their benefits.   Most people don't like to be treated that way, and will not do business with someone who does.",Natoochtoniket,2025-04-22T19:07:59,5
He’s lost more than he ever would’ve had to pay in taxes.,AdSmall1198,2025-04-22T18:12:03,5
"Love that he jumps ship the minute it doesn’t benefit him anymore! Like we all knew that, but damn! What does that mean for DOGE? Maybe Trump will let it go without Musk breathing down his neck??!",warrior033,2025-04-22T19:02:50,4
"Very efficient decision. Good thing he’s leading the helm for our country’s drastic economic decline. Doge is still running rampant across the US Department of Interior, which will impact all of us in terrible ways. So we’ve got that going for us.",Terrible_timeline,2025-04-22T19:03:30,4
Keep up the pressure and make him a cautionary tale for other billionaires who are contemplating buying a presidential election,PdSales,2025-04-22T19:14:48,4
"Aww, poor baby...",Mr-Hoek,2025-04-22T18:40:51,3
"He’s already done his damage.  Kind of like Whiskeyleaks, once the information is out there it cannot be retrieved.",After-Potential-9948,2025-04-22T19:06:55,3
"Tesla stock is still crazy over-valued when you consider how few vehicles they produce and sell, to say nothing of the brand becoming toxic and other automakers ramping up their own EV production.",Gunrock808,2025-04-22T19:35:35,3
"He got his data, and he quashed the investigations against his companies. I think that’s why he’s done",Dependent-Cherry-129,2025-04-22T19:09:01,2
![gif](giphy|3o72FfM5HJydzafgUE)  He did his job so he can walk away leaving a trail of destruction in his wake,ButterscotchIll1523,2025-04-22T19:13:21,2
It's a ruse.,Aggravating_Tax_4670,2025-04-22T19:24:34,2
"You ruined our government, the least we can do is ruin your business you piece of shit.",appmanga,2025-04-22T19:26:11,2
Pack your bags and get the fuck out.,o2bmeek,2025-04-22T19:46:03,2
Fuck Elon entirely and forever.,wandering-nerdy,2025-04-22T19:49:50,2
Make it 100!,Saturnboy13,2025-04-22T19:51:51,2
We don’t care. He’s done enough damage. We should continue dragging his company down. I would like him to be on the FIND OUT phase until Trump leaves office.,Wild_Shallot_3618,2025-04-22T20:34:31,2
"Kinda slow on the uptake, eh?",Cluefuljewel,2025-04-22T20:42:23,2
71%? It's a good start but there is still a lot of work to do.,IllustriousEast4854,2025-04-22T21:41:42,2
Mmmbye!,sensistarfish,2025-04-22T21:57:15,2
Hasn’t he been saying this for a few weeks now? ,CautiousHashtag,2025-04-22T19:27:18,1
Boot stays on the neck.,Icy_Rub3371,2025-04-22T19:28:48,1
Leave the country…we can do better without this particular immigrant.,mbw70,2025-04-22T19:48:57,1
"It costs what $100k to raise a kid these days. F* a 5’ bonus, healthcare for all now.  Note as per project 2025 and the Manhattan Institute recommends the $5k will ONLY GO TO WHITE HETEROSEXUAL CHRISTIANS.",bakeacake45,2025-04-22T20:44:57,1
He should spend less time on Social Media too.,LodossDX,2025-04-22T21:10:32,1
