Comment,Author,Date,Score
His appointment was temporary by law. He has to be out next month or something like that.,esqadinfinitum,2025-04-22T20:53:54,93
"He always said he was going to leave, it's really not a big deal",Fact_Stater,2025-04-22T20:31:13,99
 This is to help TSLA stock after a bad quarter.,JTuck333,2025-04-22T20:42:42,62
Once the team is assembled he doesn't need to be there to personally oversee everything.,RandolphE6,2025-04-22T20:24:52,28
Maybe the left will stop firebombing Tesla dealerships.,Pinot_Greasio,2025-04-22T20:40:34,-3
"Even if he bails, we still need DOGE until every penny can be accounted for in public every year.",triggernaut,2025-04-22T20:23:42,-17
[removed],[deleted],2025-04-22T20:28:40,1
His involvement showed to everyone with a brain that the left in America are the modern brown shirts.,kaytin911,2025-04-22T21:02:31,-28
130 days is the limit.,Acceptable_Travel_20,2025-04-22T21:07:53,47
No they are big fans of terrorism. They won’t stop.,Mega_Dragonzord,2025-04-22T23:13:11,14
Sadly I doubt it they are deranged,Electrical_Iron_1161,2025-04-22T20:45:07,12
They're brigading hard.,kaytin911,2025-04-22T22:04:07,5
