Comment,Author,Date,Score
Like Biden cares. Dude doesn't know what day it is,sowellpatrol,2025-04-22T00:30:13,32
"""A former aide to Jill Biden recently told The Hill that former President Biden's handlers need to read the Democratic ""anger"" in the room and keep Biden away from the spotlight.""",Ironman650,2025-04-21T22:59:06,16
I hope jill puts on her petty hat and doubles down,LastManSleeping,2025-04-22T01:43:03,15
Its behind a paywall. Are they basically angry that he ruined their chances in 2024?,Trondkjo,2025-04-21T23:49:18,12
"Didn't they say that the creep is ""sharp as a tack"" ?",AstraVolans_21,2025-04-22T03:24:34,9
"He was their idea in the first place, he wasn't exactly hiding his condition well in 2020",woailyx,2025-04-22T06:29:28,8
Pedocrats will spin anything he will say anyway. Look at the reporting from left and right on his last speech. ,Reuters-no-bias-lol,2025-04-22T05:24:58,5
He’s been heading toward the light for a long time.,CTSwampyankee,2025-04-22T05:39:20,3
Then by all means. Let's have a speaking tour!!. Let's sell Lets Go Brandon Tour '25 shirts,Crisgocentipede,2025-04-22T08:55:24,3
"But they said he was at the top of his GAAAAME!! Intellectually sharp! Cogent! And if “you think otherwise, go f-yourself!!”",Iamstillhere44,2025-04-22T10:38:20,3
misplaced. biden is mentally compromised. dem deflection as usual trying to make with cognitively impaired man the scapegoat,SerendipitySue,2025-04-22T13:22:21,2
Why? 8 months ago they told me he was the sharpest tack on capital hill. If that’s true he should be able to handle reporters and member of his own party!,Funny-Apricot-0712,2025-04-22T01:08:07,31
💯  They're trying to play the same game with this guy:  https://nypost.com/2025/04/17/us-news/andrew-cuomos-mental-acuity-in-decline-nyc-cant-afford-another-joe-biden-moment-rival-says/,Ironman650,2025-04-22T13:35:30,2
"""He runs circles around us; we can't keep up!""",maitlandia,2025-04-22T07:40:57,11
