Comment,Author,Date,Score
I mean they kind of have to be for this whole “it’s always been about it China” pivot to work.   Any tariff deal that doesn’t build a coalition of south Asian countries against China will fail.,EliteJassassin101,2025-04-21T09:54:17,151
1. India becomes US trade partner  2. China falls  3. India annexes China  4. New Indochina becomes world power  5. Bollywood in Space,squunkyumas,2025-04-21T10:20:58,136
"I've always thought this makes a lot of sense.  China is an adversarial power to the US, full stop. We trade with them for the economic boon, and there's leverage to be had there, but there's always the overlooking of the obvious, geopolitical tension in the Pacific.  India however has always existed in its own sphere. It's adversarial with China, it has normalized trade but slim cooperation with Russia. Their economy is growing. Pulling them in our camp does a lot to tip the balance away from China on the economic front. More opportunities to leverage Russia into compliance too.",Dungeon_Pastor,2025-04-21T12:54:02,49
I misinterpreted the title at first thinking china was going to try to pivot to India in an effort to bridge the gap left by diminishing American consumerism and I was having a good chuckle 🤭,Funny-Apricot-0712,2025-04-21T10:11:44,10
We don't need China. China needs us. We can crush China without harming ourselves.,theboss2461,2025-04-21T09:40:57,-25
"Yeah, we need to put our foot down on it too. India enabled China to bypass our chip restrictions by RESELLING the chips (ie, Nvidia graphics cards, Intel/AMD chips, etc.) to China.  India isn't loyal, and they are acquaintances AT-BEST. They've undermined us in the (recent) past, and surely they will do it again.",LordRattyWatty,2025-04-21T10:32:05,31
No. India takes control of any contested territory and Taiwan takes over the rest.,theboss2461,2025-04-21T10:25:56,43
India superpower by 2020!,ObadiahtheSlim,2025-04-21T11:12:46,12
Tech support dominance with Windows 14,vampirepomeranian,2025-04-22T10:06:29,0
I'm pretty sure they meant we're bringing manufacturing back to Indiana?!,bearcatjoe,2025-04-22T07:59:15,1
"This is true @ “theboss2461”! India can make up the difference when we decouple from China and they are willing to do it. Why? Because it is a win/win for the USA 🇺🇸 and India 🇮🇳! China has a lot to lose, don’t kid yourself!",Sure-Wishbone-4293,2025-04-21T10:06:38,12
"This is why Vance is having talks. To see what can be done to amend past mistakes, and how to guarantee loyalty in the future.",theboss2461,2025-04-21T10:39:08,7
Taiwan just defaults back to being the Republic of China again.,Peria,2025-04-21T11:38:32,23
*Taiwanistania*,squunkyumas,2025-04-21T10:26:40,18
[deleted],[deleted],2025-04-21T10:11:06,-13
It will be known as Taiwan and West Taiwan. lol,theboss2461,2025-04-21T11:41:03,23
Why are you going off on a tangent when they agree with you and never brought up anything about your username?,MeLlamoKilo,2025-04-21T10:16:02,14
"Yup, “ kilo” is correct, the username is irrelevant.",Sure-Wishbone-4293,2025-04-21T10:20:53,4
Because he edited his message to add the agreement after I commented.,theboss2461,2025-04-21T10:27:36,-4
No edit!,Sure-Wishbone-4293,2025-04-21T10:58:46,3
