Comment,Author,Date,Score
She’s going to need quite a few of those to make up for the $1.5 billion she burned through in 15 weeks.,zip117,2025-04-19T04:51:11,51
Fools and their money,Flare4roach,2025-04-19T04:56:35,33
I'd rather see Sleepy Joe. That's how unlikeable she is.,maitlandia,2025-04-19T07:28:05,14
"LOL I don't know if everyone sees the same ads, but the one I got right under the post was one that says ""Don't wait this epic deal ends soon""",miscstarsong,2025-04-19T02:10:57,16
WTF is gonna pay that to see this moronic hyena cackling while staggering drunk?,letmeinfornow,2025-04-19T06:07:39,16
"Notice how one side charges thousands of dollars to the public to attend, while the other side has rallies for free. ",Iamstillhere44,2025-04-19T08:25:40,7
"The New York Times reported on an invitation for the May 6 event in New York, noting it would be centered on a discussion between the former Democratic Party presidential candidate and Martin, who was elected to his position earlier this year.  The lowest priced tickets for the event – designated as the “building the opposition” tier – reportedly start at $25,000. The higher tier, dubbed “fighting for the future,” cost $44,300.",Sure-Wishbone-4293,2025-04-19T08:12:51,3
Fight the Oligarchy,Skyrimosity,2025-04-19T10:42:50,2
Just a grass roots movement.,hondaridr58,2025-04-20T12:36:26,1
Can’t wait to see how that turkey neck looks,Imaginary-Alfalfa403,2025-04-19T08:24:14,1
Are soon separated.,Sure-Wishbone-4293,2025-04-19T08:09:34,6
"Also, it's at least entertaining when you can visually see him resurrect from his descent into death and start SHOUTING at the top of his lungs at random intervals throughout his attempt at a speech.",____IIIII___ll__I,2025-04-19T09:06:59,4
"Mine says, ""Ford transmission problems?""",sowellpatrol,2025-04-19T03:25:34,8
I got one with Harvard online lmao,BattleIllustrious680,2025-04-19T03:00:01,6
https://www.youtube.com/watch?v=paq-ECNWqKQ,Ironman650,2025-04-19T06:57:54,7
The same folks who drooled and fawned after old lady Hillary even after she lost to President Trump.,ITrCool,2025-04-19T08:59:02,3
He’s trying to copy Obama’s style of speech by raising his voice at random times.,Trondkjo,2025-04-19T12:57:14,1
