Comment,Author,Date,Score
"Trump said P2025 wasn't ""his"" platform.  Trump ""says"" a lot of things.  Learning the blatant liar is a liar must be a hard pill to swallow.",RogueNiao,2025-04-24T16:58:45,49
![gif](giphy|hiLLD9o1wTB3a),ReturningRelavent,2025-04-24T17:36:43,37
![gif](giphy|9u1txH59V1OBq)  Amen to this song and it’s such a good song,GothWitch12,2025-04-24T18:04:52,30
"Starve, moron, starve",ForeskinForever70,2025-04-24T18:47:07,15
Do you think he’ll learn ANYTHING from this?,sketchahedron,2025-04-24T18:57:49,11
Amazing!,Thelastsamurai74,2025-04-24T18:01:04,8
Love this,420printer,2025-04-24T18:07:20,7
I voted to hurt YOU so why won’t you help me now???,ButterscotchIll1523,2025-04-24T20:41:10,6
![gif](giphy|tYUdYgRXPKz84crk0w|downsized)  My new bop,Shooshookle,2025-04-24T20:42:45,3
I'm starting to think algorithmic based news sources might be a problem.,notoriousscrub,2025-04-24T20:51:54,3
"Ladies and Gentlemen, The Base!",Thumbkeeper,2025-04-24T20:07:17,2
"It’s the zero accountability from right wing folks, and the utter disregard the policy’s they were voting for and expecting unity???? Like you don’t get to be an ass and then expect friendship.",Zealousideal-Ad3814,2025-04-24T21:17:24,2
Too bad so sad,OddballLouLou,2025-04-24T21:30:07,2
You unite through hate and oppression and somehow you don’t think they’d turn around and bite you?? It is what happens when you pretend that you’re religious and you do evil in the name of God. God never taught hate.,Potato2266,2025-04-24T22:01:11,2
The sub has its own theme song!,Neko_Dash,2025-04-24T22:53:07,1
I have never seen anything remotely creative from republicans. Like this was barely amusing but it was better than anything they ever produced,fantasypants,2025-04-24T22:55:17,1
She’s. Amazing.,Editor_Rise_Magazine,2025-04-24T23:11:17,1
Everybody who could have voted against this monster but didn’t needs to suffer.,Freebird_1957,2025-04-24T19:22:21,3
This is amazing,Monster_Dong,2025-04-24T21:26:06,1
I'm going to nominate this for the new National anthem.  ![gif](giphy|KdiyvCVE4bFWE),booksandotherstuff,2025-04-24T23:02:57,1
"It’s more than Project 2025. He actually SAID OUT LOUD what he was going to do but all he heard was, hurt the people I hate",ButterscotchIll1523,2025-04-24T20:42:19,13
Nope! He’ll be back in the voting booth next time without a doubt.,Thumbkeeper,2025-04-24T20:07:52,8
*Keep them dumb and keep them voting red*,DogPoolsPaPa,2025-04-24T22:59:49,1
