Comment,Author,Date,Score
"Habeas corpus dates back to Magna Carta in 1215. After initially approving Magna Carta, King John tried to revoke it and regain his limitless powers.   He ended up losing the crown jewels while crossing a tidal estuary and then died of dysentery.  In short, King John was a big LOSER. No English monarch has been named John since him. Donald Trump – take note!",clamorous_owle,2025-04-24T10:30:00,74
Isn't this the whole argument from the south about how Lincoln was terrible and the civil war was actually about states rights?   Hypocrites.,Abraxas_Templar,2025-04-24T10:24:13,25
Ha…if you think Trump is unpopular now…,Homersson_Unchained,2025-04-24T09:27:39,22
"Former Trump White House advisor turned podcaster, **Steve Bannon**, spoke to another MAGA influencer on Tuesday, who argued that President Donald Trump will eventually have to suspend habeas corpus in order to facilitate mass deportations.",duderos,2025-04-24T09:25:33,11
"Steve Bannon’s podcasting studio, looks like my Grandma’s house",MrSnrub_92,2025-04-24T12:25:41,3
We know this is coming. The only question is when and how bad will it be.,Rosebunse,2025-04-24T14:33:38,5
Well how else is Trump going to find all the anti Christian bias gangs?,MajorMorelock,2025-04-24T16:12:20,2
"Congress has the authority to suspend habeas corpus, not the president acting alone.",baby_budda,2025-04-24T17:55:16,1
He’s saving it for the midterms would be my guess.,Gdub420-,2025-04-24T18:10:23,1
"Or don’t, because it would be so cathartic to me for him to repeat King John",burritoman88,2025-04-24T12:03:17,17
You mean Donald John Trump?,PoorFilmSchoolAlumn,2025-04-24T15:19:33,12
"When Trump was on trial, MAGA derided Biden as a dictator and accused him of weaponizing the DOJ. Now, Trump has disobeyed orders from even the Supreme Court, and some of the more fanatic MAGA people have suggested that he simply ignores the court. And now this!   What bunch of hypocrites!",Confident-Novel-1855,2025-04-24T11:07:20,19
So two insurrectionist who spread misinformation release misinformation.   Have to love that the media now just reports on nothing,annaleigh13,2025-04-24T11:18:06,17
"Dems have a great nickname opportunity here: **Donald ""King John"" Trump**.  It's not as catchy as Dementia Donny or Apartheid Elon, but it provides an opportunity to inform people of the longtime foundation of the right of *habeas corpus* in democracy.",clamorous_owle,2025-04-24T23:41:15,1
If the right in this country didn’t have double standards they’d have none at all.,Gdub420-,2025-04-24T18:09:29,6
"Power doesn't care what you call it as long as it's followed by ""massa""",realistdreamer69,2025-04-24T16:26:13,2
"They start spreading this all crap to get the public used to constantly hearing it, just like him running for a third term. Flooding the zone is what they call it.",duderos,2025-04-24T14:33:29,8
