Comment,Author,Date,Score
"These people are obviously evil and dangerous, but something pathetic on top of that is they never have agency even in their own violent fantasies. When you see leftists calling for violence, notice that they're always explicitly or implicitly asking for someone else to do it.",Magehunter_Skassi,2025-04-18T14:08:29,86
![gif](giphy|26ufg0PzQM4OVJADm)  And what will happen if someone said this about Democrat's,Silverado153,2025-04-18T15:36:35,40
BRING IT ON!  Was a good movie. ,Long_Jelly_9557,2025-04-18T12:55:04,37
Exactly what the Nazis did…. 🤔,ITrCool,2025-04-18T15:20:58,23
"GTFooH!  1. BS. Totally made up by the author.  2. Made up by the psycho quoted. He's an English lit PHD? He's trying to get a job with no experience but English lit!  3. Yeah, maybe. But wouldn't we expect ""the other side"" to do the same? Word for word, exactly the same, right down to the antiquated language?  Conspiracy theory:  You see it as an overwhelming victory for one side. But *what if* the illuminati were behind constitutional carry, and arming *both* sides?! They'd love to see both sides fight it out, they don't care which side wins, as long as there's less of them. Fewer to manage.",TenRingRedux,2025-04-18T16:57:06,15
Love being able to carry concealed in TN without a permit.,ComputerRedneck,2025-04-18T17:06:25,11
"Describes their entire fucking party.  ""Someone else will help the homeless, someone else's money will pay for my student loans, someone else's money will pay for my healthcare.""  These people want someone else to basically take care of everything for them",IGiveUp_tm,2025-04-18T18:57:27,15
I’m still Big Red!,zip117,2025-04-18T13:27:04,1
I heard this in Joe Swanson's voice,sowellpatrol,2025-04-18T22:43:31,0
What?,RollTider1971,2025-04-18T21:45:46,10
Go Big Red!,Hu5k3r,2025-04-18T16:59:44,-5
