Comment,Author,Date,Score
"Jesus would have two protection orders for beating his wife, trafficking humans, missed court appearances for driving offenses, and enlist in MS13, knuckle tattoos and all?  Im not sure that’s how it works, crazy lady.",j3remy2007,2025-04-19T20:05:38,93
TIL Stupidity is hereditary.,DreadPirateGriswold,2025-04-19T20:35:36,42
"If Jesus were alive today, they would key his Tesla, swat his house, then have a firey but peace protest outside.",dakamgi,2025-04-19T19:29:27,87
"Obviously, she failed Sunday school.",Ask4MD,2025-04-19T19:12:39,64
I love when leftist atheists try to tell us about Jesus. Always makes me laugh.,cptjaydvm,2025-04-19T22:22:18,29
"Interestingly, Jesus IS alive today. That's why we celebrate Resurrection Sunday",Help_Me____-,2025-04-19T22:19:21,23
Like father like daughter. Clownery is evidently genetic.,double_badger,2025-04-19T20:58:30,9
"There’s still a whole lot wrong with what Tim Walz’s daughter said... Jesus is alive today, has been granted ALL authority in heaven and the earth, and sits at the right hand of YHWH  (God) the Father in heaven, waiting until the appointed time to judge the living and the dead.  Tim Walz’s daughter you are as kooky as your dad!",Sure-Wishbone-4293,2025-04-20T03:11:58,10
What the fuck is she talking about? Seriously.,philthy069,2025-04-19T20:56:31,6
So edgy bro. Im 14andthisisdeep vibes. Libs never move out of teenagy angst phase. It is sad when they are 70 and doing the same stuff.,PK275,2025-04-20T09:56:16,3
If Jesus were alive today? THAT DOESNT MAKE ANY SENSE.,WhatsTeamComp,2025-04-19T20:49:39,6
Sounds like the fumes from burning tires made its way into her bedroom at night.,jackdog20,2025-04-19T21:25:36,5
"Jesus is alive today, ye of little faith.     \*edited for an autocorrect ""correction"" of ye",Theloripalooza,2025-04-20T09:36:52,2
[removed],[deleted],2025-04-19T20:38:30,1
Jesus would have to make it past the abortion happy left first. Single mom today?  Might be a 50/50 guess if he would be born.,WanderingZed22,2025-04-19T20:37:17,1
Pretty silly of her but that’s people for ya.,skarface6,2025-04-20T02:53:10,2
Ummm - no.,flyinghorseguy,2025-04-19T20:36:45,1
I think she's confused about which Jesus.,sowellpatrol,2025-04-19T23:02:06,33
"Well, they *kind of* did the ancient equivalent of all that  2000 years ago.",sowellpatrol,2025-04-19T23:03:23,20
Don’t forget putting him on the domestic terrorist watch list. ,Iamstillhere44,2025-04-20T00:32:06,9
Liberals love nothing more than to tell you how the bible works in spite of never having read it... yet they refuse to do it to Muslims with the koran.,A_Hatless_Casual,2025-04-19T23:41:48,14
