Comment,Author,Date,Score
"Supposedly, he was going to declare martial law.     At least that’s all I remember.",Ldawg74,2025-04-24T17:09:22,227
"Can we get a ""I survived martial law declaration"" t-shirt? What an experience!",krazyellinas23,2025-04-24T17:49:36,107
Just another nothing burger served up with a side liberal fears.,Flare4roach,2025-04-24T20:18:47,9
I thought it had something to do with him supposedly declaring martial law and rounding everyone up.,Apprehensive-Key2297,2025-04-24T17:16:05,48
That was the day Trump was supposed to declare martial law and round up every leftist democrat in the nation and ship them all off to Venezuelan death camps and he would install himself as President for life or whatever. Wonder what their next panic date is gonna be.,Tasty_Explanation_20,2025-04-24T18:23:31,25
So what you’re saying is the left gaslit and fear-mongered? Who would have though?,sWo97,2025-04-24T19:48:47,15
Smoking them left handed cigarettes,TheProFettsor,2025-04-24T17:36:52,24
I never heard this.  But since it’s past I’m sure it’s being disavowed.,j3remy2007,2025-04-24T17:07:32,23
"Funny thing, I'm sure the Left doesn't even remember what it's all about. The man on the TV, or people on the internet, told them to worry about something else.  We'll find out what that is soon.... just wait.",bjohn15151515,2025-04-24T19:34:06,8
Anyone got receipts?,IanCrapReport,2025-04-24T18:14:19,7
Glad I've been on vacation and didn't have any time to check my phone. Sounds like I missed plenty of stupidity.,GeorgeWashingfun,2025-04-24T18:49:02,5
Inauguration Day  They hoped for Trump to be denied / Biden to start his dictator arc and wanted to see Trump summoning hordes of Nazi zombies...  ...or something more insane. Hard to say.,Czeslaw_Meyer,2025-04-24T18:27:08,3
"Just throwing it out there, but it was probably in part a fever dream by loonie lefties that Trump would start enacting his final solution on that day specifically because it was the birthday of that funny mustachioed German guy they all compare him to.",TheIncredibleHork,2025-04-24T18:07:26,10
![gif](giphy|jtN0fZxzCU9rzzPWpH|downsized),cofcof420,2025-04-24T18:51:58,2
lmao wtf for? Man the left are nut jobs.,caffeinatedgoober,2025-04-24T18:05:04,76
"When did he postpone it to? I mean, he's still gonna do it, right? Right? 😅",social_dinosaur,2025-04-24T18:36:44,25
They have been losing their ever loving minds on all of the lefty leaning subs for weeks now.   I should probably ask them over on 50 50 1 but we all know they have no answer. ,Cranks_No_Start,2025-04-24T20:25:13,4
We already survived the second great depression 4/7 to 4/9,pcm2a,2025-04-24T18:08:10,35
TDS and the left are synonymous !,Sure-Wishbone-4293,2025-04-24T18:08:29,39
In 2 more weeks I heard,allison_c_hains,2025-04-24T18:39:17,18
Yeah April has been quite the month of survival.,krazyellinas23,2025-04-24T19:34:28,14
