Comment,Author,Date,Score
"If you’re a fan of public radio and television broadcasting, there may be some absolutely massive pledge drives coming your way, as the Trump White House is reportedly readying a plan to have Congress axe all federal funding for National Public Radio and the Public Broadcasting Service.",Sure-Wishbone-4293,2025-04-15T16:04:52,230
"Great.  More telethons on PBS.  I have not watched in ages, but as a child of the 80s, I did enjoy the educational and science shows back in the day before things got too politicized.",bw2082,2025-04-15T14:49:58,152
"NPR is definitely more heavily biased than PBS, which is probably somewhat based on their formatting and audience. However, PBS has been heavily left leaning for decades. In the 1980s, they hosted Milton Friedman's Free to Choose Program, which was about free markets, capitalism, and limited government. They also hosted William F Buckley's 'Firing Line' which was an explicitly conservative talk show until the late 90s. Cant quite say the same for them now.   NPR has long had a liberal bent, but in the last 5-10 years it is almost universally progressive in its story selection, narration, argumentation, and host bias. Everything from DEI, post-colonial movements, BIPOCs, etc. Their coverage of Israel-Palestine has been particularly one-sided. Their response to the Hunter Biden laptop story really struck a nerve when they did an ""explainer"" on why they didnt cover the story and why they didnt focus on the media's shortcomings with hubris like ""Here's why we don't think this story is important.""    I dont think institutions like the media can be in the public domain because they are naturally susceptible to bias, audience capture, and ideplogical pretexts. I would also question the concept of a ""public"" audience because the country has become more divided and less cohesive as a consumer block. What they may consider a ""public good"" like transing the kids or DEI programs, many of us would strongly disagree with their take. ",milton1775,2025-04-15T17:12:54,64
I watch a lot of PBS and I'm ok with that.  Tax payer dollars shouldn't be funding openly political networks,Blown89,2025-04-16T03:38:44,19
"When I was a kid, the amount of Political news was only a few segments in news broadcasting. Now it's 24/7 everywhere you go, and if it's not political the topic always goes back to politicial. Like warehouse fire in downtown, find out how it's because of climate change and how Trump's policys caused it.   NPR is one of those 24/7 not fair or balanced broadcasting. I stopped listening when Car Talk and Priarie Home Companion went away.    Bring back real radio or just play music.",4thdegreeknight,2025-04-15T18:13:30,28
"If NPR changed it's name to New Progressive Radio they'd have to change none of their content at least... NPR should be the radio CSPAN, instead it's radio DNC. Should have been defunded a long time ago",NoVacancyHI,2025-04-15T14:50:30,22
"Cool.    Just like all fascists he's um... dismantling a ready-made propaganda arm?    Who thought a free nation should have state broadcasting anyway? Such a ridiculous concept.    PS. They never retracted their stories saying COVID came from bat soup, ice caps would be gone by 2000, Trump was a Russian plant, etc. so fuck em.",rasputin777,2025-04-15T17:58:15,5
[deleted],[deleted],2025-04-15T14:54:48,-5
"Honestly, I thought the winning would get old after a while. Turns out I was wrong.",scully360,2025-04-15T15:08:43,-14
Fantastic news.,____IIIII___ll__I,2025-04-15T15:27:39,-12
"I'm happy to see NPR funding axed. It's so partisan and left leaning that I can't believe taxpayers have funded them to date.  PBS is alright, will be slightly sad to see them go, since they do put out decent programming.",T0XxXiXiTy,2025-04-15T18:37:17,3
Subaru drivers are in full panic.,CantSeeShit,2025-04-15T18:54:08,1
I understand and 100% support cutting NPR. I don’t understand PBS,cofcof420,2025-04-15T19:19:12,9
"By very definition these two should be examples of unbiased information. If they can’t live up to that, then they should be defunded.",uponone,2025-04-15T19:27:03,-1
[removed],[deleted],2025-04-15T20:07:46,1
Good.,fdrowell,2025-04-15T20:38:20,-3
"Finally. Cannot happen soon enough.   Don’t get me wrong, I grew up on Sesame Street to some extent but there really is almost no reasonable justification for why we are spending tax dollars to fund media companies.",deadzip10,2025-04-15T20:49:23,-7
"1. NPR is left leaning. 2. I value much of their work as I do Radio Free Europe, like 0.000001% of my neighbors. 3. Even if I love it, is it a constitutionally established publicly fundable group? Hm.",mikemaca,2025-04-15T20:57:37,-1
[removed],[deleted],2025-04-15T21:29:07,1
"Good, they can go without public funds, they can fund their own propaganda.",sailedtoclosetodasun,2025-04-16T08:02:31,2
"It's a shame it's come to this.  I grew up on Mr. Rogers, but PBS & NPR are indoctrination outlets now.",phdibart,2025-04-15T16:38:03,-6
This funding should have ended years ago!,Sure-Wishbone-4293,2025-04-15T16:02:02,-11
You just struck a nerve with the insane liberals.,Siciliantony1,2025-04-15T17:08:08,-11
"NPR is definitely more heavily biased than PBS, which is probably somewhat based on their formatting and audience. However, PBS has become more left leaning in recent decades. In the 1980s, they hosted Milton Friedman's Free to Choose Program, which was about free markets, capitalism, and limited government. They also hosted William F Buckley's 'Firing Line' which was an explicitly conservative talk show until the late 90s. Cant quite say the same for them now.   NPR has always had a liberal bent, but in the last 5-10 years it is almost universally progressive in its story selection, narration, argumentation, and host bias. Everything from DEI, post-colonial movements, BIPOCs, etc. Their coverage of Israel-Palestine has been particularly one-sided. Their response to the Hunter Biden laptop story really struck a nerve when they did an ""explainer"" on why they didnt cover the story and why they didnt focus on the media's shortcomings with hubris like ""Here's why we don't think this story is important"" in their headlines.    I dont think institutions like the media can be in the public domain because they are naturally susceptible to bias, audience capture, and ideological pretexts. I would also question the concept of a ""public"" audience because the country has become more divided and less cohesive as a consumer block. What they may consider a ""public good"" like transing the kids or DEI programs, many of us would strongly disagree with their take. ",milton1775,2025-04-15T17:13:00,-5
PBS = Public BullShit,Ironman650,2025-04-15T15:44:08,-27
It's a lose lose. Either funded by commie government or bought by rich fegs,Svenray,2025-04-15T15:26:23,-34
