Comment,Author,Date,Score
he knew he was going to tank the economy so he had to sell now,RealStitchyKat,2025-04-03T10:49:39,181
Lmaoooo every time I wanna forgive people for this atrocity the man does something that make me go hell no like mf literally elected a grifter into one of the most important job in America to stick it to other who are only asking them to be a little more civil to other human beings I’ll never forgive mfs for this shit,Spirited-Living9083,2025-04-03T11:28:02,97
Rug pull!,IIDn01,2025-04-03T10:38:16,65
![gif](giphy|oiZDdz4iRS0p52Ip7o|downsized),[deleted],2025-04-03T10:43:59,92
I feel so sorry for all you DJT buyers,[deleted],2025-04-03T11:06:22,47
How is Truth Social worth billions?  Where does the money come from when he sells his shares?  How is he going to profit billions from something obviously not worth billions?,ZacoyaRyder,2025-04-03T14:44:26,15
The griftiest grift in all of griftdom!,btribble,2025-04-03T14:31:47,11
“Trump kicks off bribery tool to avoid tariffs” - fixed that for you,nana-korobi-ya-oki,2025-04-03T13:54:42,11
"Just a small sale equating to half its market cap, nothing to see here. /s",burrito42,2025-04-03T12:57:59,9
it is all part of the tarriff grift - just follow the $$$,BoysenberryGullible8,2025-04-03T14:50:31,7
I guess he couldn’t handle the truth,Puresparx420,2025-04-03T14:15:53,6
Anyone who invested in him deserves to  lose.,lorilightning79,2025-04-03T19:13:30,5
Oh please let some liberal buy it and we can use it to smack his ass back to the stone age.,Alice_600,2025-04-03T20:08:11,3
Anyone who buys even a single share of that stock is just about the dumbest person that ever lived. You have to be completely brain dead to invest your money in that company at this point.   The only reason to buy even a single share of his stock is as legal bribery. Keep track of who buys it and demand democrats investigate if they win in 2026.  There is simply no reason to buy that stock if trump is selling his. That company is worthless and will declare bankruptcy after he sells.   This sale will be open bribery. ,Ashamed_Job_8151,2025-04-04T00:19:10,3
"So maga complains about democrat politicians making ""millions"" in politics yet ignore this? And the others making millions on their side?",Privatejoker123,2025-04-04T01:56:52,3
MAGA🇺🇸🇺🇸,Any_Price2924,2025-04-03T20:05:11,2
Is it just me or is Donald Trump a Cunt?,dbw1111,2025-04-04T06:45:50,2
Seems like WSB could really mess with this.,HippyGrrrl,2025-04-04T08:20:11,2
Another worthless company that Trump bombed 💣 💣,RedRoom4U,2025-04-04T12:13:19,2
TIME FOR A REVOLUTION!!!,Scotties62,2025-04-04T02:46:04,1
So is this the dump portion of the old pump and dump?,Fitz_2112b,2025-04-04T05:50:17,1
"Elect a clown, expect the circus ",South_Victory_1187,2025-04-04T08:31:32,1
Corruption through and through!,Practical_Coffee_650,2025-04-04T00:54:12,13
"I feel the same way. At this point, I want nothing to do with Trump supporters. They wish the worst on Democrats, while I just wanted them to open their eyes. The problem is, their eyes were never closed. They know who and what he is; they're just as rotten. Fuck 'em.",Ironmancal2131,2025-04-03T12:41:36,54
On top of him currently rug pulling clearly with Trump and Melania coin.,BestBettor,2025-04-05T05:37:50,2
"Yeah, totally. Breaks my heart.",Comfortable-Guitar27,2025-04-03T11:16:35,32
I DON'T FEEL SORRY FOR STUPIDITY ONE IOTA,Scotties62,2025-04-04T02:44:46,5
"That's just it, it's only worth a few billion as long as he doesn't dump the stock. Once he dumps it, it's all worthless.  The rug pull was there the whole time.",lastres0rt,2025-04-03T18:23:39,11
I don’t get it tho.  They’re gonna suffer as well,madtax57,2025-04-03T19:58:55,6
THIS 100%,Scotties62,2025-04-04T02:41:37,0
I \*almost\* feel sorry for the rubes who fell for those.  Almost.,IIDn01,2025-04-05T15:18:46,1
"So sad, thoughts and prayers. Anyway, what’s for lunch?",swordrat720,2025-04-03T11:49:20,31
Why is it worth billions even with him holding the stock?  I would assume a few million at the most.  It is an imitation Twitter that only Trump and his hardcore followers use.  What ever made it worth billions?  All of that just from ad revenue?  What am I missing?,ZacoyaRyder,2025-04-03T18:35:35,5
Not in their minds. Somehow they feel a cloak of protection - they are going to learn that fire burns baby.,anony-mousey2020,2025-04-03T22:36:00,8
"I can't afford lunch anymore, he put tarrifs on that too 😅🤣 So what can Americans do ? Have citizens surround Mar-fuckin-Lago and the White House on the same day-",RiverGreen7535,2025-04-03T15:11:21,6
"[It's a long story](https://youtu.be/L_ZBrAwDp44?si=I4TIYbLIFuAvgqJ_), but basically: It's only worth that much because people will pay \[Insert current stock price here\] for a share of Bribery Inc. so long as there's only so much on the market. The vitals on the company are essentially made up from a shell company; that's how it was able to go public so quickly and avoid submitting actual paperwork.  He owns SO MUCH of the current stock that if he sells it, the value will crash just from flooding the market with unwanted product.   It WAS thought he was going to need that money to keep his ass out of jail from all the money he owes for... y'know, TAX FRAUD, but apparently this country decided to learn that lesson the hard way.",lastres0rt,2025-04-03T18:59:32,8
Not a bad idea.,Jaybird0501,2025-04-03T19:28:22,2
You prolly won’t find him at either location. He’ll probably be golfing.,Mongoose-7909,2025-04-04T21:02:12,2
"Like a bribe without calling it a bribe?  Instead of handing him money for a favor, they buy millions of stock and/or crypto?  Which then makes it seem more valuable than it actually is, which then tricks small-time investors into throwing money at it?  Except the retail investors actually think they're making a valid investment?  The whales know they won't get the money back because they are doing it as a bribe?  Is that correct?  Pardon my ignorance.  I'm just trying to get my head around this mess.  Edit:  Great video.  I (kinda) understand now. It's not really worth anything.  Trump does not create anything of value or provide any useful service.  He moves other people's money around and skims.  That is his specialty.",ZacoyaRyder,2025-04-03T19:01:47,4
THIS YES,Scotties62,2025-04-04T02:47:32,1
