Comment,Author,Date,Score
How are Democrats still not getting it…,JugDogDaddy,2025-04-28T20:11:16,259
Surprised to see Cory Booker among these assholes...,JustAGirl319,2025-04-28T20:47:08,92
Fuck trump... Literally everything trump wants should be NO... This bending over will not earn you any good will... fuck trump,RunDownTheHighway,2025-04-28T19:51:28,151
"Democrats like this undercut the argument to vote for Democrats to oppose Republicans. It's the most short-sighted political idiocy I've ever seen.  Has the party been infiltrated, does leadership have no power, or is the plan to just agree with Trump?",Immediate_Cost2601,2025-04-28T21:37:13,75
With no actual opposition party what's the fucking point to any of this?,ElegantAnything11,2025-04-28T20:33:45,69
"WTAF? Do they just not care about re-election, every one of em should be voted out.",nunyabiz3345,2025-04-28T21:08:39,38
"It’s for an ambassadorship to China. Trump is not going to nominate anyone better. This is just a rage bait to bash Democrats, like always. Blame Republicans for these terrible picks.",theenigmaofnolan,2025-04-28T21:14:58,56
[Michigan Democrat files articles of impeachment against Trump ](https://thehill.com/homenews/house/5271810-michigan-democrat-trump-impeachment/)  Just watched Jessica Denson cover this. They only need 19 people to flip from the last time to make this happen. Nineteen! It isn't impossible.   https://www.youtube.com/live/O5CbPODGAeo,LastConcern_24_7,2025-04-28T22:00:15,17
"Gotta be honest, given what this job is, I don't envy them. Would not want to be the US ambassador to China right now",Rosebunse,2025-04-28T21:36:13,6
They should be confirming nothing and no one and voting against every Republican bill until Trump stops raping the Constitution.,Autodidact2,2025-04-29T08:22:24,4
WHAT. THE. FCUK???,baryoniclord,2025-04-29T08:36:45,6
And Democrat approval numbers drop another 3 points...,victorbarst,2025-04-29T08:39:40,7
"Here are the 14 Democrats who voted in favor (including one independent who caucuses with the Democrats):  Cory Booker (NJ)  Chris Coons (DE)  Tammy Duckworth (IL)  Ruben Gallego (AZ)  Maggie Hassan (NH)  Andy Kim (NJ)  Angus King (I-ME)  Amy Klobuchar (MN)  Gary Peters (MI)  Jack Reed (RI)  Jacky Rosen (NV)  Janne Shaheen (NH)  Elissa Slotkin (MI)  Mark Warner (VA)  Perdue faced mild scrutiny over his practices as the CEO of a failed North Carolina textile company, whose jobs he admitted to outsourcing to countries such as China.",ladymorgahnna,2025-04-29T00:16:53,9
Embarrassing. All the Democrats who capitulate to this regime should never be forgotten for their assistance in the dismantling of the country,Beginning-Skill-9662,2025-04-29T07:45:23,8
I don't get it? Why the hell would they? Was there an alternative? I would think we would shoot down anything furiously? What the hell! ?,RobNY54,2025-04-29T01:57:53,6
Duckworth being in there is very disappointing. It’s time the Dems that bend the knee get primaried. Both houses. Even if it’s a Dem darling like duckworth,Abbey_Something,2025-04-29T05:16:51,4
Desperate,IdahoDuncan,2025-04-28T20:37:35,5
"Ambassador to China has a history of outsourcing jobs to China, but we want to bring jobs home and started a tariff war with..... China?  🤔 another day caught up in the idiocy of it all.  And Booker lol what a clown show. Filibuster for over a day, then vote with these idiots anyway.",philafly7475,2025-04-29T06:26:10,3
Politics involves trading favors and sometime compromising in order to gain something else-like a vote for a bill. Thats the only reason I can imagine for these votes-but Im not happy about them!,wildblueroan,2025-04-28T21:06:25,9
The denial phase. We have leaders with their head in the sand.,Ecstatic-Will7763,2025-04-29T07:52:01,2
Explain to me again why we should vote for these milquetoast fucks?,HaxanWriter,2025-04-29T07:08:52,3
"Their overlords ordered them to.  Edit: Guys, if you can’t be honest about your leadership, then “dissension” within the ranks is the least of your “problems”.",JennyAndTheBets1,2025-04-28T22:13:01,4
"Perdue is particularly bad. If I were being generous I’d guess they think he’ll be particularly bad and ineffective on China and he’ll get through anyway so they want to stack Trump’s government with bad actors instead of fighting for better nominees.  But let’s be real, that would be too evil genius for our crew of Dems.",rjrgjj,2025-04-28T23:02:35,2
Because nobody GAF who the fake ambassador to China is. It’s a vanity job. And they don’t want the GOP senate to retaliate when the next Dem becomes president.,Gr8daze,2025-04-28T22:26:53,2
Sometimes you strategically advance a weak opposition candidate for your win.   Most of the time that works to your advantage.   Most,Popular-Drummer-7989,2025-04-29T07:14:09,1
It's bizarre. Maybe those 14 are buddies with him and wanted to him have a cushy ambassador gig?,mlawus,2025-04-28T20:35:59,76
They're not. Inaction is just as bad,TwoGimpyFeet69,2025-04-28T20:29:12,20
They're on the payroll,ilostmygps,2025-04-28T20:28:02,34
They are doing exactly what was expected. Opposition theatre.,MF_Ryan,2025-04-29T08:52:42,4
He'll never be the nominee for good reason.,Immediate_Cost2601,2025-04-28T21:37:46,72
"Duckworth, Slotkin, Klobuchar, Warner, Gallego…  I really wonder what’s motivating them",Prior_Coyote_4376,2025-04-28T22:03:47,52
It's a class war and they see their allies as the campaign donors....,ElegantAnything11,2025-04-28T22:34:36,23
Unless the democrats primary someone else (hint: they won’t) then your alternative will be a republican fascist. I’m not saying I support them or this but we have so little alternative. I’ll choose these morons over another Matt Gaetz or Marjorie Taylor Green.  I don’t know how we fix this.,zenmogwai,2025-04-29T09:55:35,2
Why would we give them unnecessary votes?,Prior_Coyote_4376,2025-04-28T22:04:17,34
I'm surprised they could find someone willing to do the job right now.,toes_hoe,2025-04-28T23:24:53,0
They would first need to start the articles in the judiciary committee to get it to the floor for a vote. But that’s not happening so it’s dead in the water until next Congress.,freexanarchy,2025-04-28T23:18:20,14
Do you think 19 Republicans are willing to risk their safety and their families?,Dave_N_Port,2025-04-28T22:28:10,15
"Because it's just an ambassadorship and they used to work with the guy, most likely.",blueindsm,2025-04-29T09:32:39,0
"Booker, Duckworth,  Klobuchar make me think there's good reasons.",Laura9624,2025-04-29T10:38:20,1
Calm down. It's an ambassadorship.,blueindsm,2025-04-29T09:32:54,0
This is far too cheritable a read unless they are bei g public about exactly what they are getting for these terrible votes.,Then_Entertainment97,2025-04-28T22:14:41,5
"Part of the problem is that these deals happen behind closed doors. If there’s going to be a compromise, say it openly. People don’t trust us when we play games like this.",Prior_Coyote_4376,2025-04-28T22:04:54,6
"You mean like McConnell did to the Dems in the past. (See Obama nominee SCOTUS Merrick Garland)   So you think the Dems need to be scared and capitulate to Trump?  JFC, this is why I hate being a Democrat.",Dave_N_Port,2025-04-28T23:18:18,10
But they will retaliate and have. They will not vote with dems and they prove this all the time. They literally blocked Obama from nominating new judges. WTF.,Ironxgal,2025-04-29T08:06:08,1
When will this start?,Ironxgal,2025-04-29T08:04:39,5
"The fact that the nominee was a senator. Senators usually support their own. Yeah if those people had more of a backbone they would’ve voted no, but most of them were probably personal friends with the guy",IGUNNUK33LU,2025-04-29T07:44:56,20
![gif](giphy|3o6gDWzmAzrpi5DQU8),No_Reach8985,2025-04-28T22:48:17,26
I feel like there's a reason.  These aren't crazy senators.,Laura9624,2025-04-29T09:38:35,2
Who knows? But these are some good senators. There's a reason.  Rules are complicated.  Maybe because Trump has an even worse ambassador in mind.  A little funny to have him as ambassador dealing with China.,Laura9624,2025-04-29T09:45:22,2
It doesn’t matter,theenigmaofnolan,2025-04-28T22:07:07,-18
Merrick Garland is a feckless loser.,DJMagicHandz,2025-04-29T04:44:07,0
"No. I just think it doesn’t matter who ambassadors are and it’s not worth giving the GOP ammo to deny future Dem appointee confirmations.   You know, just like I said in the post you replied to.",Gr8daze,2025-04-28T23:43:14,-2
Not true.   https://www.senate.gov/legislative/nominations/Biden_cabinet.htm,Gr8daze,2025-04-29T10:21:43,1
"Exactly, so vote against them. This isn't rocket science.",Then_Entertainment97,2025-04-28T22:13:22,45
Yes he is but we didn't know that back then,Dave_N_Port,2025-04-29T11:38:53,1
The post that says the Dems should fear Republican repercussions?,Dave_N_Port,2025-04-28T23:57:48,6
"Perhaps they believed this idiot would be the best of Trump’s terrible choices, and holding up a confirmation for an ambassadorship does nothing to help.",theenigmaofnolan,2025-04-28T22:25:52,-15
Yes because that’s how politics in DC works. Do you think they should do that over an appointment that is basically meaningless? If so please explain your logic.,Gr8daze,2025-04-29T00:00:53,-1
It doesn't hurt anything either. Don't vote for bad nominees. Simple as.  Stop making excuses for this crap.,Then_Entertainment97,2025-04-28T22:27:39,21
"Yes, they should have voted against an election denier's confirmation just as the Democrats should have voted for any of all Trump's nominees.   Are these appointments meaningless?   10 Democrats voted to confirm Ratcliffe for CIA Director  19 Democrats voted to confirm Rollins for Ag Sec  7 Democrats voted to confirm Wright for Head of Energy  7 Democrats voted to confirm Noem for Head of Homeland Security  25 Democrats voted to confirm Burgum for Interior Sec  17 Democrats voted to confirm Chavez-DeRemer for Sec of Labor  All Democrats voted to confirm Rubio for Sec of State  24 Democrats voted to confirm Collins for Sec of VA  22 Democrats voted to confirm MTV's Duffy for Sec of Transportation  15 Democrats voted to confirm Bessent for Sec of Treasury  5 Democrats voted to confirm Greer as US Trade Rep  It shouldn't matter if the appointment is ""meaningless"" or not..don't vote to confirm terrible nominees.",Dave_N_Port,2025-04-29T00:54:59,4
Sure. My senator voted against this and I’m happy he did. It’s not important however and this article only exists to trash Democrats and help Republicans,theenigmaofnolan,2025-04-28T22:29:31,-2
The only one I would quarrel with there is Noem and perhaps Duffy.   You seem to think Democrats should just vote against Republican nominees on general principle. That’s not how the senate works. If they’re qualified they get a yes vote.   That’s the way it works when a Dem is president too.   https://www.senate.gov/legislative/nominations/Biden_cabinet.htm,Gr8daze,2025-04-29T10:20:42,1
Calling out senators for voting for a republican nominee is *checks notes* helping republicans?,Then_Entertainment97,2025-04-28T22:31:46,11
"If you want to blast these Dems for voting for Trump’s Chinese Ambassador, I don’t know what to say, besides criticizing such a perfunctory vote helps Republicans by painting Dems as feckless, when they could be taking meaningful actions. I don’t believe any vote for Trump’s nominees is a betrayal.",theenigmaofnolan,2025-04-28T22:36:47,6
What meaningful actions?,Then_Entertainment97,2025-04-28T22:38:01,3
Its not like Trump would nominate a Democrat.  Got to move on.,Laura9624,2025-04-29T10:34:30,1
Like blocking crazy bills like the SAVE act. It’s the Senate. It’s powerful.,theenigmaofnolan,2025-04-28T22:40:34,2
What if I told you that they can do both?,Then_Entertainment97,2025-04-28T22:41:15,4
