Comment,Author,Date,Score
What *really* needs to be investigated is insider trading at the Trump White House and among Republicans on Capitol Hill.,clamorous_owle,2025-04-11T23:42:11,22
"Well, she’s shown herself to be a shit lawyer, so …",urlock,2025-04-11T23:20:07,17
Ah the incompetent parking lot lawyer is shilling hard for Trump because no else will have her sorry ass.,[deleted],2025-04-11T23:50:18,13
Governor Murphy responded that NJ follows the law but he will not allow people to be pulled over or stopped for no LEGAL reason. I’m proud of my governor for his stance on this. How many more people are going to be taken without due process?!,Choice-Pudding-1892,2025-04-12T06:35:59,10
How much information does Trump have on these people? Where exactly do you find people so willing to follow orders and question nothing? Do they not know the history of Hitler's rule? ,Lebarican22,2025-04-11T23:48:31,6
She looks like a dumb Alfred E Neuman.,DoTheRightThingG,2025-04-12T00:27:03,6
If her past is any clue then she’ll lose.,Serendipatti,2025-04-12T07:56:59,3
"Why don't the Dems do shit like this when they're in power? Republicans commit the same acts, just more of them and more often, but for the ""good of the country"", they don't prosecute. Disgusting",blackie_4,2025-04-12T07:08:56,3
She escaped persecution in Iraq to come to America and prevent people from coming to America to escape persecution,blellowbabka,2025-04-12T09:31:39,3
"So trump gave this low rent, strip mall ""attorney"" a position in his cabinet. More unqualified garbage that are just tools for trump's ""revenge"".",LivingIndependence,2025-04-13T16:18:29,1
"The entire congress needs to be investigated. I am a liberal, but I don't believe anyone should profit from insider trading. Party has no place in this.  We need to uphold the law, and we need term limits for Congress and the Supremes.",hairless_resonder,2025-04-12T14:17:29,3
You're exactly have the point there furthermore this is the same law that Trump was trying to challenge in his first term and lost I do have a feeling that's what's going to happen again,AceCombat9519,2025-04-12T13:33:52,1
"I forget who said it, but the answer is 'ambition'.    Where else but the current Admin can some of these people climb so high?",crucial_geek,2025-04-12T09:41:21,3
"He handpicked the most craven, cruel and heartless cretins he could find. People who can stomach the ""dirty work"". I mean just look at Patel, Bondi and Hegseth.",LivingIndependence,2025-04-13T16:25:58,2
"Immigrants who pull up the ladder and then give the middle finger to other immigrants, deserve a special place in hell",LivingIndependence,2025-04-13T16:27:57,1
They truly believe his erratic behavior will lead to gold instead of them being attached to a sinking ship.,Lebarican22,2025-04-12T09:59:51,3
Maybe they will find sunken treasures?,crucial_geek,2025-04-12T22:53:17,2
