Comment,Author,Date,Score
"If he's the Democratic Party nominee, I'd vote for him. Period.",YallerDawg,2025-05-08T14:11:04,97
"Since he runs a very red state, he knows how to approach the right and the left. This may be what the U.S. needs.",jvlpdillon,2025-05-08T14:51:36,62
Good. He’s awesome,Kind-City-2173,2025-05-08T14:12:31,28
He’s definitely the safest choice imho,alittledanger,2025-05-08T15:04:30,18
"I mean, I like him a hell of a lot better than Newsom at the moment. Im excited to see any kind of campaign platform he puts out",blightsteel101,2025-05-08T15:44:19,15
"If he can win in Kentucky as governor, he could win the state as President which would change the entire calculus.  I also believe its possible a Democrat would win a senate seat running at the same time.",Raspberries-Are-Evil,2025-05-08T16:02:50,17
"Thats my governor! He's fucking awesome, I remember his last election the gop literally had nothing on him so they tried to lie about him supporting some kinda trans surgeries or something and he smartly put out an ad saying it was bullshit and pretty much killed the entire narrative and easily won re election",FickleSystem,2025-05-08T16:17:43,14
"I like the idea of Beshear running. I'd vote for him in the primary, unless someone else really amazes me.",Torracattos,2025-05-08T14:19:33,19
Idk anything about him ik he’s gov in a strong red state. but whoever is the nominee he or she needs to have charisma,SquidwardIsTired,2025-05-08T16:21:37,6
He would have my vote in a heartbeat. 100%,Dsarg_92,2025-05-08T14:46:49,14
"He’s one I really want to see in the primaries.   He seems like an amazing guy, smart, talented… but boring AF. Please don’t come for me! I think he’d make a great VP to a firecracker president.  But I personally believe we will need a spitfire candidate who isn’t afraid to speak their mind, because you can’t fight MAGA with thoughts and prayers. 🤷🏼‍♂️",Ok-Stress-3570,2025-05-08T22:34:20,5
"Rust belt, west coast, and New England tour asap. Virginia, Ohio, North Carolina, Tennessee, Missouri, Illinois, and Indiana know him well.",IndianaGunner,2025-05-08T16:05:21,4
"He’d be an amazing choice! He’s already proven that he can beat republicans in their own territory by becoming a governor of a deep red state. Hell, this may even make Kentucky a seriously competitive state during the election. I’d love to see him run :>",CactusSpirit78,2025-05-08T19:53:26,3
I literally can't think of a better candidate on this earth.,Frickin_Brat,2025-05-08T14:53:57,8
I like him. ,Fun_East8985,2025-05-08T15:24:52,3
It's a smart play,Shadowtirs,2025-05-08T15:30:56,3
Him or Mark Kelly would be great choices.,Seal69dds,2025-05-08T20:08:23,3
"He was on Jon Stewart's Weekly Podcast last week. I really enjoyed the interview; he started off kinda poli-speaking and was a little stiff. But after about 20 minutes with Jon, Andy loosened up a bit and seemed a bit more candid. I recommend giving the episode a listen",Slyrunner,2025-05-09T06:15:52,3
I love him but IMO he has a long way to go before he would have the national presence needed to be a serious candidate. I also have doubts about a deep southerner’s ability to appeal to all the states (as a southerner myself). But I do support him getting started and hope he can pull it off.,Freebird_1957,2025-05-08T16:37:43,5
"He’s gonna run and he’s gonna win. The DNC has basically hand-selected him as far as I understand it, much like they did Obama",actualgarbag3,2025-05-08T14:21:27,9
I’ll be happy if there are even primaries in 2018.,DavidG-LA,2025-05-09T03:07:48,2
Let him compete in an open primary and let the best candidate rise to the top. Last thing we need is another anointed candidate we have to fall in line behind,lostpilot,2025-05-09T03:08:28,1
"I'm old -- here's an anecdote. My father to my yellow dog democrat mother. ""I guess you would vote for John Dillinger?"" Mother:""If he ran as a democrat. """,phastback1,2025-05-09T19:35:48,1
"Honestly, at this point, I don’t feel like I have the luxury of picking who I want or who I feel most passionate about -we need to pick whoever is going to fucking win!!",SoundSageWisdom,2025-05-10T17:56:30,1
"100% He's managed to win in MAGA County, USA without abandoning any core Democratic principles.",BigDaddyCoolDeisel,2025-05-08T16:06:55,34
"Me too.  Of course, I would vote for an amoeba if it was the Democratic Party nominee.",daveashaw,2025-05-08T16:06:42,19
It’s hard to imagine a Democratic Party nominee I wouldn’t vote for over a Republican anymore lol,Prior_Coyote_4376,2025-05-08T18:42:14,9
He really does. He's fantastic.,Frickin_Brat,2025-05-08T14:53:28,10
Newsom is the very definition of “Smug Californian Stereotype”….,Grand_Recipe_9072,2025-05-08T16:00:17,14
Nobody wants Newsom except Pelosi,MaskedRaider89,2025-05-08T17:40:02,10
"I actually like Newsom, hes absolutely one of the best talkers dems have hed destroy any republican in a debate and does well on right wing media, but the Republicans have already got it in ppls heads that hes some boogeyman that's destroyed California(he hasn't)and would make America like California so that and the fact that they'd hammer him on the fires means he'd have a giant hill to climb",FickleSystem,2025-05-09T17:24:35,2
"Harris coulda done the same thing.  But choose not to.  Not saying that is what cost her the election, but just sayin'.",crucial_geek,2025-05-09T17:08:26,3
Mine too!,MetalMamaRocks,2025-05-08T15:10:09,3
"I think if things if continue to remain the same, the only way a Republican will win in 2028 is if a) a Haley or Christie type on the ballot and / or  b) whoever the Dem candidate is they can't clearly differentiate themselves from both Trump and Biden.   The only way Vance or Rubio could win is if things actually get better.   Strange things are certainly happening right now, but all the current Admin is doing is  assuring that MAGA, and the GOP for the most part, lose.",crucial_geek,2025-05-09T17:17:26,1
Beshear with Kelly as VP would put us in a good position to win the presidency and bring some sanity back to this country. I think Tim Walz though could be great too.,Torracattos,2025-05-09T00:27:47,1
"Yea it was good, and my only issue with him is,in these times, dems need a fucking pitbull that can attack republicans and call out the bullshit and not hold back, Shapiro and Newsom are awesome at doing that, Andy can come across as way too pc at times but then again, he happened to beat maga twice here in ky being that way, but would it translate nationally is the question",FickleSystem,2025-05-09T17:40:09,1
"At the same time, him being southern could help him in areas like Georgia, as he might appeal to more voters there.",CactusSpirit78,2025-05-08T19:55:11,3
Did kamala or Obama have a national presence? Did Walz?,fucktard_engineer,2025-05-09T01:28:53,1
"He has plenty of time, and actually, I see him more on tv doing interviews than any other potential dem candidate besides Newsom",FickleSystem,2025-05-09T17:32:17,1
"Who in the Deep South even considers Kentucky 'Southern'?  Anyways, Clinton is from Arkansas, and won, twice.  Obama is from Chicago and despite many concerns from Dems was able to convince Southerners to vote for him.  Twice.   Also, the primaries, debates, and campaign trails are the 'get to know me' parts.",crucial_geek,2025-05-09T17:33:09,1
They didn’t hand pick Obama. The establishment was all in on Hilary in 2007.,Gdub420-,2025-05-08T23:35:29,3
