Comment,Author,Date,Score
Bunch of rocket scientists...,metskyfan,2025-04-04T13:00:29,5
"But that is not what tRump is saying, while out on the golf course.",bernd1968,2025-04-04T18:21:18,4
scarce smell handle racial ghost fear sophisticated aback worthless memory   *This post was mass deleted and anonymized with [Redact](https://redact.dev/home)*,blellowbabka,2025-04-04T18:22:45,2
Bring it. The only way out of this mess is for it to be too painful for the cult to keep sipping that Kool Aid.,[deleted],2025-04-04T21:51:52,1
American suffer and Trump enjoys a round of golf.,OhioRanger_1803,2025-04-04T18:54:56,2
Not a smart way to achieve his goal.,OhioRanger_1803,2025-04-04T18:54:27,2
May their retirement account feel the pain.,OhioRanger_1803,2025-04-04T21:54:52,2
So true,bernd1968,2025-04-04T18:58:30,1
touch lavish merciful cake library shocking sloppy adjoining air outgoing   *This post was mass deleted and anonymized with [Redact](https://redact.dev/home)*,blellowbabka,2025-04-04T19:00:25,3
Hell Trump didn't go to the dignify transfer for US soldiers. He went golfing.,OhioRanger_1803,2025-04-04T19:04:16,2
True,OhioRanger_1803,2025-04-04T19:02:55,1
