Comment,Author,Date,Score
I guess he'd qualify right up there on the disability list.,Flashy-Increase-2075,2025-04-15T10:46:10,44
Cool. I’ll be watching an Office rerun.,Flare4roach,2025-04-15T10:52:39,17
… and no one cared.,classicman1008,2025-04-15T10:51:39,33
How brave of him to do that in his condition.  Those advocates must be so proud of one of their own.,219MSP,2025-04-15T10:52:33,13
"demolosers have been stealing from Social Security for years, and now they want to stand up for it?  lol.  And who better to roll out from under the rocks to address the issue.   Time to grab the popcorn and chair.  Or maybe a pillow and blanket for the snoozefest.",Ironman650,2025-04-15T10:42:37,10
Speaking to his own people,cathbadh,2025-04-15T13:05:13,2
"""minor speech""",bw2082,2025-04-15T11:06:36,0
Who better to speak on the topic of disability than a man whose speech is disabled and distorted?,OzoneLaters,2025-04-15T13:06:52,5
He qualified since at least 2018,Reuters-no-bias-lol,2025-04-16T06:08:20,1
It's a STUTTER. /s,Sodola321,2025-04-15T17:58:56,2
