Comment,Author,Date,Score
Are they even allowed to protest?,nybadfish,2025-05-03T16:59:24,46
China's economy is a shell game.,Conservative-Point,2025-05-03T15:36:07,19
What happens to the global economy if CN collapses? ,roaming_art,2025-05-03T19:06:19,9
I'm surprised that the Chinese aren't just paying them with their funny money.,Key-Monk6159,2025-05-03T13:55:29,26
"Once a communist, always a communist. China is trying to present themselves as a reformed “westernized” country but then you got shit like this happening.",Adagio-Adventurous,2025-05-03T15:34:31,12
China is crashing!! I don't understand why ppl around the world wont listen to Gordon!! He literally pointed it out since clearly 2000s that China crash is imminent !!! Such an accurate prediction!!,ericDXwow,2025-05-03T15:26:37,11
![gif](giphy|8fen5LSZcHQ5O),superdave123123,2025-05-03T15:21:47,5
![gif](giphy|J8FZIm9VoBU6Q),Chogo82,2025-05-03T13:44:08,8
Cue the far left's outrage at Trump for hurting the poor Chinese workers in 3..2..1...,PartyOfFore,2025-05-04T11:51:50,1
From my understanding it's South China that has protest.  If they reach the North then there might be a real problem.,red-african-swallow,2025-05-03T18:42:03,18
"A rough period where the west rapidly re-industrializes, and then a return to the high standard of living we used to have before we exported our strength to China, and high product quality we had and currently only enjoy on firearms due to them being made in America.",ChristopherRoberto,2025-05-03T19:31:04,30
"Never listen to people associated with F\*lun G\*ng. But China's still in a bad way, here. They can't take sustained pressure.",ChristopherRoberto,2025-05-03T19:51:40,3
