Comment,Author,Date,Score
She is amazing!! Great speech.👏,Such_Lemon_4382,2025-04-01T22:57:24,46
won by a lot too!,Ok-Fly9177,2025-04-01T23:13:01,22
Let’s hope this is the start of more good to come,miz_mizery,2025-04-02T01:40:59,22
"Damn, this ""richest man in the world "" part really got me ! We have some hope for humanity! Thank you voters ! You deserve a massive THANK YOU!",pianoavengers,2025-04-02T03:14:54,16
Fantastic!,Fairie_Kat_Queen,2025-04-01T22:39:50,12
I think I hate Elon more than Trump. what a night,froobest,2025-04-02T07:38:46,13
![gif](giphy|l3q2XhfQ8oCkm1Ts4|downsized),RoughZealousideal331,2025-04-01T22:44:51,20
Fucking fantastic! Let’s keep this momentum going😉,Impressive_Wish796,2025-04-02T08:05:29,7
Thank you Wisconsin for getting out and voting !!,whitewtr22,2025-04-02T08:20:06,7
She suddenly so hot.,ChummusJunky,2025-04-02T07:55:35,7
Filthy Florida. I’m so glad to have never stepped foot in that shithole.,bow2yrsensei,2025-04-02T10:53:54,2
Congrats Susan! You deserve it!,WendySteeplechase,2025-04-02T11:17:12,1
![gif](giphy|3o7aCWJavAgtBzLWrS|downsized),imafan_gobrrr,2025-04-02T07:07:53,1
Right?,botany_bae,2025-04-02T09:18:28,1
