Comment,Author,Date,Score
"Why the f.ck is nobody doing something against this , before you know it ..one of these idiots will launch a nuke for fun",[deleted],2025-04-28T14:59:34,15
Bruh… and didn’t data get leaked to Russia via doge????,Affectionate-Order58,2025-04-28T15:44:22,14
Trump sold America for less than $300 million.,Johnqpublic25,2025-04-28T16:30:58,8
Greeeeat... what could go wrong? I'm sure Big Balls has our best interests at heart and no history of leaking our secrets to adversaries  ... oh wait...,Strict_Inspection285,2025-04-28T16:30:25,5
Oh my god DO SOMETHING ABOUT THIS. ,Torracattos,2025-04-28T18:04:13,3
"What's Julian Assange up to right now?   And who knows what will show up on ""dark web?""   We don't know who these guys are, what they have access to, what grievances they have, and no idea how and what they get paid or if they have any background checks whatsoever. This is a recipe for disaster.",YallerDawg,2025-04-28T16:32:41,2
"It would be very interesting to know what exactly happened back in January to cause career civil servants to simply step aside and give Elon and the Incel Nerds access to everything, because it actually doesn't make any sense unless what happened constitutes multiple felonies.",tc100292,2025-04-28T23:24:00,3
Because the departments with the power to do something about this have all been shut down shuttered etc and their employees terminated.    There is no oversight. This is intentional.,Higher-Ed,2025-04-28T22:31:18,2
The world would be a better place.,oscar-the-bud,2025-04-28T20:26:39,0
Last thing we need leaked is our nuclear information to other countries like Russia or North Korea especially during this time,Affectionate-Order58,2025-04-28T15:44:48,3
"I giggled. I don’t agree, but the doomer in me giggled.",Absent-Light-12,2025-04-28T23:31:02,2
But I guess it’s fine because Pete’s wife and brother probably already know where everything is too,Affectionate-Order58,2025-04-28T15:45:26,3
