Comment,Author,Date,Score
Please add war crimes to the impeachment articles and extradition orders to send him to the Hague.,Tu_t-es_bien_battu,2025-04-06T10:53:49,76
"Imo democrats should be documenting every constitutional violation by this administration. If they retake the house the very first thing they should do is pass a bill that undoes the damage Trump has caused by, among other things, clawing back government services from private companies. Then second thing they should do is pass the entire backlog of articles of impeachment. If the senate is still controlled by republicans they can figure out how they want to ignore both.",normalice0,2025-04-06T09:58:18,132
Hopefully it will do .... something....couldn't do less then the last couple impeachments...,Ownuyasha,2025-04-06T09:50:34,14
Interesting when the fascist right does it there are no consequences,ButterscotchIll1523,2025-04-06T12:00:55,9
Bring impeachment charges EVERY WEEK for EVERY unconstitutional thing he did the week prior.   Invite major news orgs.,ZoomZoom_Driver,2025-04-06T14:21:42,10
"Where is Senator AL Green? Haven't seen or heard about him since ""the dump speech.""",Butterflyteal61,2025-04-06T10:37:05,13
"Rewritten Headline: “Congressman to file articles of impeachment against executive over misconduct, citing Congress’s duty as a co-equal branch in the system of checks and balances.”  This version: 	•	Removes emotional or partisan cues. 	•	Highlights the constitutional rationale. 	•	Keeps the focus on institutional roles, not personalities.  The mainstream media continues to be part of the problem of shaping narratives and manipulating people’s perceptions.",SoftwareHot,2025-04-06T13:38:00,5
"Unfortunately, this isn't going anywhere. Mike Johnson is not bringing up an impeachment hearings.",Mynuszero,2025-04-06T14:11:55,3
Don't just vow to do it-DO IT! DO EEEEEETTTT NAAAOOOOWWWW!,Standard_Olive_550,2025-04-06T19:17:59,3
The next protest is 4/19. I don't want to hear about your Easter plans. These are fighting words! Stand up! Fight back!,Extension_Whole_5234,2025-04-07T00:03:32,3
I can't wait to read them!,Walk1000Miles,2025-04-06T11:56:17,2
"That's actually a good point, since he is using a war time law to send people illegally to foreign prisons he would be technically committing war crimes",Miri5613,2025-04-06T11:02:52,44
"While I agree in theory, I don't think that'd be possible...  No service is going to let you create a document that long...",Prometheus_303,2025-04-06T10:39:43,32
[deleted],[deleted],2025-04-06T10:24:05,1
It sure seems that way,Awkward-Attorney7165,2025-04-06T14:59:28,4
"Yes. Remember when Majorie Taylor Greene and other Republicans said awful things while President Biden and Presiden Obama were speaking?  They were never thrown out. They should of been, IMO.  It's very disconcerting to think this type of behavior is status quo for them.",Walk1000Miles,2025-04-07T14:03:47,2
"Different democrat bringing impeachment articles every week, to show they're committed too.",primax1uk,2025-04-07T07:21:14,2
"He's a representative, not a senator.",ezrs158,2025-04-06T11:15:11,6
Rep Al Green spoke at the 'Hands Off!' protest on Saturday in DC,primax1uk,2025-04-07T07:21:51,3
Excellent ideas!,Walk1000Miles,2025-04-06T11:55:36,13
He also supposedly bombed Tribal Yemeni civilians who were celebrating Eid- he claimed they were organizing to attack.,HildegaardUmbra,2025-04-06T17:05:06,4
"“What you’ve just said is one of the most insanely idiotic things I have ever heard. At no point in your rambling, incoherent response were you even close to anything that could be considered a rational thought. Everyone in this room is now dumber for having listened to it. I award you no points, and may God have mercy on your soul.”",swordrat720,2025-04-06T10:39:18,10
Your reply has nothing coherent to do with my statement.,normalice0,2025-04-06T10:28:20,5
Cool!  Thanks,Butterflyteal61,2025-04-07T08:29:11,1
What did that little dipshit say? They deleted their comment,clonked,2025-04-06T15:47:04,2
"I couldn't make sense of it, actually, but it was something about Trump undoing Bidens executive orders.",normalice0,2025-04-06T16:36:06,3
