Comment,Author,Date,Score
"Cool? I’d go with stop trying to be freaks. A little freakiness here and there is ok, but come on! LOL",Right_Independent_71,2025-05-03T11:24:30,18
"The problem with Democrats being ""authentic"" is that they are authentically intellectual bankrupt at this point.  Trump snatched away their working class advocate story which was in their wheelhouse for many years, now all they are left with in the marketplace of ideas are empty shelves stained with DEI.",SeemoarAlpha,2025-05-03T11:16:49,27
"The left is the party of being woke, and political correctness. That will never be cool, it requires force and people hate being force to belief and do stuff they don't like.",Timely_Car_4591,2025-05-03T12:35:15,10
"I didn’t think Democrats were cool in the first place.  But yes, if you TRY to be cool, you do look foolish.",mdws1977,2025-05-03T12:15:29,8
It’s cringe AF.,Iamstillhere44,2025-05-03T13:16:56,6
"I read it as warns ""communist""",CloudExtremist,2025-05-03T13:52:00,5
"Because yes, the Democratic brand is cooked. Worse: It’s lame,"" Lewis added.",Sure-Wishbone-4293,2025-05-03T12:58:35,6
 But that’s all they got….for sure don’t have a platform that is productive for American citizens.,KevtheKnife,2025-05-03T12:57:44,3
Cool? Stop victimizing criminals.,Empire2k5,2025-05-03T15:26:34,3
"That’s the thing though, Dems aren’t trying to be cool. They are just naturally foolish.",Wolf687,2025-05-03T13:42:55,3
Lolllll ohhh Jesus 🤦‍♂️,Blue_Cheese_Olives,2025-05-03T13:52:31,2
Well I think they have that covered.,DreadPirateGriswold,2025-05-03T16:16:47,1
"When anyone says anything to “being authentic” in social media, they are full of sh*t and only want clout and clicks.",Iamstillhere44,2025-05-03T13:17:56,2
He could have been telling himself in the mirror.,Velocipot,2025-05-04T07:55:20,1
"That's their brand. Professional victims, and when they can't convince Americans that they are oppressed, they find people who can squeeze the narrative for them. They want problems that are impossible to solve to keep hatred alive.",Velocipot,2025-05-04T07:56:56,2
