Comment,Author,Date,Score
"Awesome! Need more of this!  Stop letting companies get away with slave labor. Punishing the people using illegal immigrant labor is just as important as securing the border itself.   When no one wants to hire them, it will reduce the number of crossings.",GeorgeWashingfun,2025-05-01T09:49:58,348
"Needs to me more than just a fine.  Their business license needs to be pulled.  this isn't an instance of ""they gave us documents that reasonably appeared to be genuine"".  Make an example out of them.",pimanac,2025-05-01T13:54:46,65
Good. This is the only real way to ensure illegal immigration doesn't continue,cathbadh,2025-05-01T10:23:08,144
Enforce the laws.  Thank you!,j3remy2007,2025-05-01T09:47:53,139
Finally,crash______says,2025-05-01T13:19:42,16
Good!,MeLlamoKilo,2025-05-01T09:53:05,43
Good,craytsu,2025-05-01T13:46:27,15
Somewhere a federal judge is getting ready to overturn this,atcmaybe,2025-05-01T09:49:35,92
This is the way,d2r_freak,2025-05-01T10:30:05,25
Based.,blandunoffensivename,2025-05-01T10:24:36,20
The managers who hired them need to go to jail too.,Quirky-Marsupial-420,2025-05-01T12:35:49,16
"Don't automatically yank their business license, put them on probation and give them a chance to clean their act up. But the fines should be increased to 2X of whatever it would cost to hire a legal worker for one year for each illegal that was hired. If the business reoffends then pull their license.    Give them a carrot with one hand, but hold a stick in the other.",ureallygonnaskthat,2025-05-01T20:33:37,16
If nothing else if a company absolutely needs the foreign labor they should be going through the government and getting those employees visas.,atomic1fire,2025-05-01T20:07:29,4
Somewhere a media clown who used to work for the government is getting ready to call this a scandal.,D_Ethan_Bones,2025-05-01T09:53:38,62
I'm betting Illinois. Anyone else?,Hearts-Heroes,2025-05-01T12:43:35,7
Haven't heard from Hawaii Judge in a while. He's got to be due.,ngoni,2025-05-01T20:20:02,2
