Comment,Author,Date,Score
"Come on, I'm sure Trump requests a white doctor.",mostlynights,2025-04-11T13:52:10,62
I knew this really a joke when I saw the black person. But I totally believe the rest of the image.,noseymimi,2025-04-11T14:51:35,21
I thought the light on the wall would be orange. 🍊,clamorous_owle,2025-04-11T14:04:27,18
Yeah like a black woman would be allowed to get that close to him,clarky2o2o,2025-04-11T16:19:32,12
Lol..this made me laugh! But yeah needs to be a white doctor.,Butterflyteal61,2025-04-11T17:47:41,7
Hacked up a lung 🫁,bapeach-,2025-04-11T14:34:28,7
"Nah…it’s solid bone, mucus and dead hair bits in there. No way light would get through.",Ornery_Razzmatazz_33,2025-04-11T20:06:52,5
"I bet she’s seeing circuits, electrical circuits from a positronic brain..",Koren55,2025-04-11T16:11:28,4
"She said “How funny, I just see a big white dot when I look in your ear”",Serendipatti,2025-04-11T18:50:20,3
Clear path,metskyfan,2025-04-12T08:38:26,2
Getting that bright light therapy. It worked for covid he's hoping it will work for syphilis.,idigholesnow,2025-04-12T21:22:41,2
Isn't that thing a bit of a farce. Every president in history came out in perfect help.  I mean everyone knows trump is an old fat ass. But he's still gonna come out in 'perfect' health right?,Mars_target,2025-04-12T17:44:43,1
He’s not stupid. He knows EXACTLY what he’s doing,afroafroguy,2025-04-11T15:40:58,-8
A white male doctor.,Carrmann,2025-04-11T15:06:58,34
He can't rape male doctors.,opturtlezerg5002,2025-04-11T19:35:14,10
