Comment,Author,Date,Score
I commend the visionaries who take the lead on this kind of stuff but count me as one less to save. I would rather die on earth then go live on another planet.,Funny-Apricot-0712,2025-05-06T08:16:34,28
"While I am not a NASA Scientist, I have watched and researched a bit.  We need to establish a Moonbase first. There is oxygen and water available on the moon. It is in the rocks but it is there. Once you have a large enough base to live in, you have hydroponics for food, plenty of air and water. Next you setup mining on the moon which due to all the meteor impacts is also very rich in minerals.  THEN once this is done, you can build a ship in lower gravity making it easier. Taking what we learn from establishing a moonbase and launching to Mars.  Simple theory, lot of work in reality.",ComputerRedneck,2025-05-06T05:44:08,26
"Settling Mars needs to be an afterthought. All the time and resources spent sinking a bunch of mass into the bottom of another planetary gravity well would go much further building habitats and infrastructure in/on/around the moon, our Lagrange points, and the asteroids and other rocky/icy bodies that are nearby.  After that, the asteroid belt is the next logical place, followed by some of Jupiter's moons. Mars *might* be tied for third place, but realistically once we're living in space there wouldn't be much point.  Research outposts and vanity projects aside, settling Mars within a meaningful time frame doesn't have much an argument for it.",Alpha-Sierra-Charlie,2025-05-06T13:00:22,4
"How would Mars maintain an atmosphere? It's magnetic field is non-existent. Solar wind would rip it apart.  Unless we can somehow turn Mars into a giant magnet, it ain't happening. I appreciate Elon's enthusiasm though.",TheThunderOfYourLife,2025-05-06T06:47:13,16
"'We choose to go to the Moon in this decade and do the other things, not because they are easy, but because they are hard; because that goal will serve to organize and measure the best of our energies and skills, because that challenge is one that we are willing to accept, one we are unwilling to postpone, and one we intend to win, and the others, too.'",vampirepomeranian,2025-05-06T10:41:36,3
Next thing we know The Expanse becomes real life somewhat.,ITrCool,2025-05-06T06:56:48,6
"Ok, but long will it take Amazon to deliver my order to Mars?",Strange_Chemistry503,2025-05-07T05:54:15,1
"While I am not a NASA scientist, first we need to find a derelict alien ship with weird eggs on it then hatch them haphazardly for study and profit",SpecialistNote6535,2025-05-06T07:07:10,40
Lot of work from Kennedy's moonshot speech to the actual moon shot.  If the motivation and dedication is there it can be done. ,beamerbeliever,2025-05-06T10:14:16,3
"Theoretically if you terraformed Mars to have an atmosphere, the atmosphere would stay viable for thousands of years, and if you could terraform it once, you could continue to add atmosphere at the rate it’s being stripped away. Theoretically.",jpj77,2025-05-06T09:34:12,6
Domes.,ITrCool,2025-05-06T06:56:27,10
