Comment,Author,Date,Score
Taking bets on how long before he gets pardoned!,Chick-o-Sticks,2025-04-25T14:28:42,12
This is going to hurt his Cameo career.,yrnkween,2025-04-25T14:28:31,7
">…U.S. District Court Judge Joanna Seybert evidently wasn’t convinced.  >“Where is your remorse? Where do I see it?” she asked as she sentenced him to 87 months behind bars. “It’s always someone else’s fault.”  >The New York Republican served in Congress barely a year before becoming just the sixth member of the House to be ousted by colleagues.  >He admitted to deceiving donors and stealing the identities of nearly a dozen people, including his family members, to fund his winning campaign. His plea deal included agreeing to pay roughly $580,000 in penalties.  >“From the moment he declared his candidacy for Congress, Santos leveraged his campaign for his own enrichment and financial benefit,” U.S. Attorney John Durham, whose office prosecuted the case, said outside court.",progress18,2025-04-25T14:08:05,4
"*Is Gay, Does Crime*  &nbsp;  ""Wait not like that!""""",andysay,2025-04-25T14:13:50,2
Oh no!  Anyway.,tc100292,2025-04-25T14:22:59,1
Watch the orange pos pardon him.,daggeroflies,2025-04-25T14:43:09,1
Buh bye,Ahleron,2025-04-25T14:54:25,1
Probably going to get pardoned by POTUS.   A simpler sentence would of been to extradite this prick back to Brazil and have him serve a prison sentence there in Accordance with a treaty signed in January of 1961 and went into effect in February of 1965.,Viking_Musicologist,2025-04-25T15:14:51,1
I guess poor Santos couldn't afford a huge law team like the Golden Grifter.,Tiny_Structure_7,2025-04-25T15:38:09,1
In El Salvador?,Equivalent_Soil6761,2025-04-25T19:32:27,1
Finally...a republican gets his due.,1130coco,2025-04-26T00:43:38,1
"He is gay tho, I don't believe he will get a pardon for that single reason lol.",Kannazuki1985,2025-04-25T15:30:35,5
My exact thought.   Corrupt president likes to have corrupt people around him.,[deleted],2025-04-25T15:14:17,5
