Comment,Author,Date,Score
Noice!,TheUnitFoxhound6,2025-04-22T15:52:25,439
Great start! Let's hope all petroleum-based food additives are banned.,StillTruthSeeking,2025-04-22T16:08:09,470
"Just like a non-nutritive cereal varnish?  It’s semi-permeable. It’s not osmotic. What it does is it coats and seals the flake, prevents the milk from penetrating it.",DreadPirateGriswold,2025-04-22T17:18:08,179
Great news. Common sense legislation.,MapleMonstera,2025-04-22T17:11:53,230
Can we reduce sugar and hfcs? At least create a limit..   Being a fat bastard is the number one health risk in the USA… please limit sugar use…,25nameslater,2025-04-22T17:24:58,183
Dyes are only the tip of the iceberg too.  The FDA allows the use of chemicals that even the Mexican Government won't allow in the use of food.,Thats_Dr_Anthrope_2U,2025-04-22T17:04:28,114
Back to grinding cochineal insect for red food coloring.,Cobra__Commander,2025-04-22T23:37:49,15
Big Dye gonna be mad!,shocky32,2025-04-22T17:21:42,27
good,Erotic-Career-7342,2025-04-23T02:44:21,7
What will the leftist spin be on why this is a bad thing?  EDIT- on another sub I’m already seeing substantial chatter calling this a fascist move. So I’ve answered my own question.,Moist-Percentage7240,2025-04-22T16:19:59,142
It was widely accepted that these were carcinogens in the 70s and was in the news quite a bit. Many of us stopped buying products that listed these as ingredients.,goat-head-man,2025-04-22T17:22:14,26
Now leftists have to figure out why they love synthetic food additives all of the sudden.,retnemmoc,2025-04-22T22:11:57,23
RFK is looking like one of trumps best choices so far,_Diggus_Bickus_,2025-04-22T16:10:12,119
"Check out the Yuka app. It's free to sign up, and you can scan barcodes on an item.  It will give you a score out of 100 showing how many awful chemicals are in the food or drink and what it can do to you.   It's been very eye-opening, to say the least.  Things I normally thought wouldn't be necessarily bad, turn out to be very bad for you.",Rybo13,2025-04-22T18:46:31,16
It took them this long to admit that?,Iamstillhere44,2025-04-23T06:44:05,3
Why not now if they’re poisonous? Like wtf?,Braves1313,2025-04-22T17:34:28,21
Wonder how the left is going to try to spin this as a bad thing,Tasty_Explanation_20,2025-04-22T16:52:51,8
