Comment,Author,Date,Score
"US authorities arranging for a charter flight to bring them to US, where they will be welcomed at the airport and given government support. Meanwhile, non-whites are kidnapped on the street and imprisoned with no contact with friends, family, or legal allowances. Racists are fucking up America *again.*",moreobviousthings,2025-05-09T06:06:14,32
"Ohhhh gotcha, so the asylum seekers are terrible but these fucks are fine. Cool. Got it 🤷🏼‍♂️",Ok-Stress-3570,2025-05-09T02:53:49,22
"South African Elon Musk preceded them.   [Musk, Thiel and the shadow of apartheid South Africa](https://archive.fo/Y1Uz9)",clamorous_owle,2025-05-09T00:52:36,13
Trump is open arms to white south Africans but vehemently against anyone nonwhite entering the country.   Yall better pay attention.,SapToFiction,2025-05-09T08:52:22,8
"White skin-OK, Brown skin-get out.",LotsofSports,2025-05-09T10:56:26,6
Someone get Roger Murtaugh on the phone. We’ve got some diplomatic immunity to revoke.,BippidiBoppetyBoob,2025-05-09T12:22:05,4
Hope someone keeps tabs on them. Elons bring its army over - will need to send them back asap,Infinite_Nebula8976,2025-05-09T09:02:20,3
Not welcome here,Kind-City-2173,2025-05-09T11:23:53,3
Grreeeeaaaaat  A bunch of racist imports to fellate trumps ego,PloddingAboot,2025-05-09T12:46:09,3
Next arrivals: Afghanistan men facing persecution from the women in their country. 🙄,Hippy_Lynne,2025-05-09T06:08:05,3
What the f? Ever hear of reaping what you sow?,mrg1957,2025-05-09T13:34:40,1
You guys remember when the Republicans accused the Democrats of flying in refugees and settling them in red districts so they could throw the elections in their favor???  Pepperidge Farms remebers.,Ayste,2025-05-09T14:05:26,1
"Ya gotta be white to make it alright, a little rhyme for ya'all.....",Shoddy_Concern1332,2025-05-09T14:51:34,1
They will certainly be part of his militia when the shit hits the fan....  The US military will have some serious choices to make very soon.,Shoddy_Concern1332,2025-05-09T14:54:13,1
"Ummmmm.... rich, white WASPs are now persecuted asylum seekers??  Wtaf???",Minute-Can6829,2025-05-09T16:28:13,1
White Europeans hate Trump.  When they immigrate here they vote Democrat.  Trump found the one group of people who will immigrate here and vote Republican and they are literally the South African version of the Klan.,juni4ling,2025-05-09T19:51:02,1
![gif](giphy|THTkGKQVGnGZmo6AJd),Interesting_Whole_44,2025-05-09T21:21:41,1
Alright so can everyone admit that it’s just fucking racism like we’ve all been saying????,Fun-Entertainment158,2025-05-09T21:38:30,1
Proof of two things:  Trump is a puppet and paying back favors to Musk  &   It IS IN FACT white spremecy and that was a Nazi salute.,Curious_Ad8262,2025-05-09T22:53:05,1
Make sure we antagonize the crap out of these clowns.,Browncoat_28,2025-05-09T23:40:47,1
Those guys aren’t white.,urlock,2025-05-09T09:01:38,5
"Yes but they share all of rump's values. Sexism, theocracy, corruption and authoritarianism.",Hippy_Lynne,2025-05-09T17:50:58,1
