Comment,Author,Date,Score
That’s AI. They are all dressed the same.,oscar-the-bud,2025-04-06T07:45:05,11
"One of them should be holding a sign that reads, ""What's a tariff?""",binaryj,2025-04-06T09:26:18,10
Someone needs to take that Sharpie from the Felons tiny hands.,bakeacake45,2025-04-06T09:43:49,6
 Pinguin Power!,Due_Break_7079,2025-04-06T09:46:55,7
Our ridiculous administration at work.,michaelswank246,2025-04-06T10:40:57,7
Every single one more intelligent than the Republican Party put together.,Iflydryandsly,2025-04-06T17:01:07,4
Haha,DeGodefroi,2025-04-06T13:05:54,4
Clearly they are being paid by George Sorros,Strict_Inspection285,2025-04-06T13:46:08,6
Our ridiculous administration at work.,michaelswank246,2025-04-06T10:41:12,2
National Socialist. NAZI,Aggressive-Web132,2025-04-07T16:22:52,1
It’s obviously just a black tie event with a strict dress code.,gringledoom,2025-04-06T09:11:01,14
"Oscar that photo is in black and white, hence why the look “dressed alike”. The protest marches all over the country and abroad happened!! Get over urself.",RatedS59,2025-04-07T21:18:17,1
That penguin would educate trump.,oscar-the-bud,2025-04-06T10:29:57,8
If you doubled your IQ you’d still be in single digits,Aggressive-Web132,2025-04-06T18:00:37,-2
Did all those penguins get paid?,oscar-the-bud,2025-04-07T22:12:59,1
Found the republican. Did you get someone to write that for you?,Iflydryandsly,2025-04-06T18:02:55,3
If you doubled yours it'd still be zero.,AmTheWildest,2025-04-06T23:49:07,2
