Comment,Author,Date,Score
I’d pay good money to see her literally hit Trump.,SallyJane5555,2025-04-28T13:00:21,118
To be followed up with trump musing “can I arrest a whole city? Probably”,freexanarchy,2025-04-28T13:06:06,16
"In what is expected to mark her most extensive public remarks since losing to Trump last fall, Harris in a speech in San Francisco on Wednesday plans to urge voters to push back on Trump’s economic policies and what she will cast as ongoing threats to American institutions and global leadership, according to a person directly familiar with her plans and granted anonymity to discuss them. She also plans to expand on her “[courage is contagious](https://abcnews.go.com/Politics/barack-obama-kamala-harris-criticize-trump-white-house/story?id=120499816)” theme, the person said.  Her remarks will come during a keynote address to Emerge America, a candidate training program that backs Democratic women, at its 20th anniversary gala. Trump the same week is celebrating his first 100 days in office of his second term.",PapyrusKami74,2025-04-28T12:51:10,24
I hope she stays/ runs  in  Calif.,MelissaMead,2025-04-28T22:50:38,2
I think it’s time for us to get ghetto.,mlineras,2025-04-28T13:49:11,5
[removed],[deleted],2025-04-28T13:48:51,-24
[removed],[deleted],2025-04-28T14:41:22,-20
Trump to hit Harris ten dozen times this afternoon on Truth.  Fight more,NSYK,2025-04-28T13:11:00,-13
"yeah, disappointing headline",Ok-Fly9177,2025-04-28T13:02:12,30
We need to include dem men  in that training program..... we need  to take back the young white male  vote with role models.,MelissaMead,2025-04-28T22:48:34,6
"""Accepted""",zombiereign,2025-04-28T19:06:24,4
"She won the majority of delegate votes, otherwise she wouldn’t have been the nominee.",chriseargle,2025-04-28T15:45:35,14
"I gave you an upvote, but I believe your comment is about ready to get voted down into oblivion. People can’t agree that she wasn’t a great candidate to begin with , they will find everything and anything to say she was rooted against, it was sexist, it was racist - but she wasn’t a popular candidate at all in the 2020 election before she was vice president pick. They picked her to be Biden’s vice president because she was not a threat to him or the DNC, then all the sudden the DNC expects everyone to be super excited for someone that was vice president to a very weak president.   It’s not a surprise that we lost, but it’s like people bitching about the refs after a sports game when they lost by multiple scores. Sure their refs could affect a few points, but they don’t hand teams blowouts",Lucky-old-boy,2025-04-28T14:17:40,-4
👏👏,2020surrealworld,2025-04-28T14:41:55,-3
Not true at all. I watch them and Obama lectures and speeches all the time. Always so inspiring and uplifting.,Nodebunny,2025-04-28T15:51:32,12
We need a real primary this time.,ConiferousTurtle,2025-04-28T19:05:42,2
Do you mean a primary without an incumbent on the ballot? *looks around*,chriseargle,2025-04-29T14:45:11,1
I mean a real primary where the party stays out of it and let the voters decide.,ConiferousTurtle,2025-04-29T15:35:51,1
"We **are** the party. **We** voted for the Biden/Harris ticket in 2020 and 2024. **We** voted for the Clinton/Kaine ticket in 2016. If you can’t accept what we the voters in the Democratic Party decided, be honest about it.",chriseargle,2025-04-29T15:44:22,1
