Comment,Author,Date,Score
![gif](giphy|MZvTJHP0xz5ishFpYJ),k9wrath,2025-04-19T16:27:15,11
(Blasts truck horn twice),PlatformStatus8749,2025-04-19T14:22:44,7
Beep beep beeeeeep!,Such_Capital_6984,2025-04-19T15:08:30,6
Hoooooooooooooooooooooonk!,OrneryLetterhead8609,2025-04-19T15:15:18,5
HONK HONK HONK HONK HONK,TobyDaMan8894,2025-04-19T16:19:23,5
There has never been a bigger schlub than this.,MacRockwell,2025-04-19T16:20:25,3
Ugh Imagine the odor he leaves in the car 🤢🤮,purpletulipgarden,2025-04-20T03:19:15,2
Do we know the specs on the springs on the beast? Can we measure the hieght change from when his in to when he gets up?,threedubya,2025-04-19T14:26:41,3
That is one hell of a car door.,VacationImaginary233,2025-04-19T17:21:42,1
![gif](giphy|VGu7IkRPBYOwcGIvP2),IloveHitman4ever,2025-04-20T11:44:57,1
![gif](giphy|tJbHV3uYmRdFANAZMe|downsized),DJMagicHandz,2025-04-20T16:26:37,1
