Comment,Author,Date,Score
I would love for some to explain why taxpayers should subsidize healthcare for illegal aliens.,cossbobo,2025-05-01T17:19:39,42
Happening in every state. Illegal aliens using ERs as free clinics - because why wouldn’t they?,Highwiind-D4,2025-05-01T17:24:05,24
"""iLLeGaL ImMiGraNTs aRE NOt A dRAin oN SoCIeTY!!!!""   - typical leftist",Pinot_Greasio,2025-05-01T17:29:12,21
"“But they aren’t costing the tax payer anything.  In fact, they contribute to taxes!!”  I’ve actually heard leftists say that.  🤯😆",Narrow-Trash-8839,2025-05-01T20:31:29,8
Send the bill to the Democrats,Lepew1,2025-05-01T19:08:23,4
"The left’s answer will be a million adjectives to basically say it’s “mean”.   To the left anything but unlimited free shit is “mean”, so not a surprise.",cliffotn,2025-05-01T17:21:28,24
Emergency care should be done out of human decency.  Then they should be deported.,49thbotdivision,2025-05-01T21:25:24,10
"Subsidizing their own replacement*  Americans pay $15,000–$25,000 to have a child because they’re forced to subsidize all this nonsense. Meanwhile, illegal aliens skip the bills, and are incentivized to have children for anchor baby benefits and so they can enroll their U.S.-born child in every government program under the sun.",Highwiind-D4,2025-05-01T17:36:48,21
Yep. The media was even willing to discuss it 20+ years ago and we knew it was a massive issue back then.   https://www.nytimes.com/2002/08/25/us/hospitals-feeling-strain-from-illegal-immigrants.html,reddog093,2025-05-01T21:40:04,10
And we can bill their country of origin for good measure. Give them some incentive to not let their citizens enter our country illegally.,Helio2nd,2025-05-02T00:40:39,11
