Comment,Author,Date,Score
"Remember during COVID when leftists thought everyone should stay home and magically enjoy the lights somehow staying on, the trash somehow being picked up, and the food somehow still being grown/prepared/delivered?   Yeah this is that sort of energy.",777_heavy,2025-05-01T21:43:21,81
Democrats love their cheap/slave labor,Graardors-Dad,2025-05-01T23:15:21,39
What an elitist prick. I guess all the unemployed Americans who could benefit from those jobs can just sit and spin?,Briguy28,2025-05-01T20:30:30,55
"*""I don't want to live in a country with Democrats, so long as their views are represented somewhere else in the world.""*",deciduousredcoat,2025-05-01T21:12:38,22
This is what is wrong with the democrats. Everyone who isn’t Ivy League educated is beneath them.,Iamstillhere44,2025-05-01T20:50:26,23
He's becoming even more unhinged.,Siciliantony1,2025-05-01T20:03:37,30
clue phone for Mr Carville;  you can still buy tshirts made in china or any other country.  just pay the cost.,j3remy2007,2025-05-01T20:33:13,20
Interesting that he argued about manufacturing and drilling oil as both were neutered under dem policies,Spike205,2025-05-02T05:50:15,3
Then move somewhere else,plitspidter,2025-05-01T20:07:12,17
![gif](giphy|3NtY188QaxDdC),ComputerRedneck,2025-05-01T19:48:28,6
What's wrong with a American made T-shirt. What a s&(-thead,Silverado153,2025-05-01T22:33:06,6
