Comment,Author,Date,Score
"""The effort by the right wing worked,"" Psaki says.  Lol. She's insinuating that the media reporting on Biden's decline actually made it happen. And of course she didn't see it just like Jean-Pierre didn't. She's exactly where she needs to be now, at MSDNC smack in the middle of the liar's slot.",social_dinosaur,2025-05-03T07:07:03,67
"She was paid to lie for the Biden administration to the public. Now she found a a professional goldmine. “Look right into the camera, dear and just say whatever we give you. Try to provoke and don’t worry about truth so much.“",Flare4roach,2025-05-03T08:01:53,67
Why is she still relevant? ,SlavaAmericana,2025-05-03T06:51:11,25
The best part is we know she will eventually admit it,AppState1981,2025-05-03T14:53:00,4
Jen Psaki Is Everything That's Wrong With Dems and the Corrupt Media As She Doubles Down on ~~Hypocrisy~~ Lying.  FTFY.,triggernaut,2025-05-03T08:10:43,18
Peppermint Patty resurfaces,runsonpedals,2025-05-03T07:34:03,8
I just don’t see the incentive to lie these days for her. She was paid for it before but it wasn’t fooling many and it’s not fooling any right now (hopefully).,skarface6,2025-05-03T09:01:03,5
"This is new how?  She was Hillary's paid liar during the Obama administration, she just lies about more than foreign policy now ...",Felaguin,2025-05-03T13:20:29,4
She’s the Hilaria Baldwin of talking heads,Holiday-Tie-574,2025-05-03T13:08:31,2
Jennifer Psaki: Proof that Satan is alive and well.,Miles-Standoffish,2025-05-04T01:21:42,1
Standard playbook for Democrats and the propaganda machine. Never admit to lying. Never admit to being wrong. Repeat the same talking points over and over and eventually people will believe it.,RandolphE6,2025-05-03T13:22:23,1
“Republicans pounce”,halfhere,2025-05-03T09:07:15,24
We’re going to have to circle back to that…,cliffotn,2025-05-03T12:09:54,13
She never was😊,melie776,2025-05-03T07:45:18,20
The Trump admin should start every press conference by putting people on record,AppState1981,2025-05-03T14:54:16,3
"It would affect her credibility as a pundit now. Sure, we all know she's lying but as long as she never admits it, the handful of rubes that like her will continue to believe her.   I think they also need to keep the lie going because it confirms their worldview that Everything Under Biden=Good and Everything Under Trump=Bad. Admitting Biden was out for ice cream for his entire presidency might make some people open their eyes.",dom650,2025-05-03T10:36:26,7
Touché,skarface6,2025-05-03T17:45:02,3
