Comment,Author,Date,Score
Of course Jen. You and the rest of the PR team must have just decided it would be fun to not do interviews during an election year.,BlueFalconer,2025-05-03T07:12:14,211
"How come she ""never saw it"" but it was evident to the rest of us as early as 2020 during Joe's ""basement campaign""?",wanttostaygottogo,2025-05-03T06:22:32,158
I wonder how long it will be before she did see it.,AppState1981,2025-05-03T06:13:16,123
"""I'm not a doctor. Aging happens quite quickly,""  About 82 years quickly.",777_heavy,2025-05-03T06:16:50,42
"I saw it in interviews before he was elected. If she didn’t see it, she is brain dead.",gittenlucky,2025-05-03T07:29:32,35
"Friendly reminder that Potato President was completely unaware that one of his puppet-masters had him sign a deal to [stop selling natural gas to Europe](https://x.com/JollyRogX/status/1886815085072453792) for *months*.  This cost the U.S. untold amounts of dosh in LNG sales, and made Europe just buy more LNG from Russia lol.",NoTime_SwordIsEnough,2025-05-03T08:01:05,22
![gif](giphy|EouEzI5bBR8uk|downsized),jfoughe,2025-05-03T08:10:07,16
She was always more effective on lies and spinning topics than KJP.,AndForeverNow,2025-05-03T07:12:39,19
This blatant and egregious lying is why no one believes them,Funny-Apricot-0712,2025-05-03T07:50:31,14
"Why continue to lie? Yeah, it’ll be admitting that you lied before but, you know, we all know that.",skarface6,2025-05-03T08:10:44,9
"I mean, what’s she supposed to say? “Oh yeah we knew he was completely senile the whole time, but it didn’t matter because he wasn’t the one running things anyway…”  She has no choice but to double down on the lie. ",North_Moment5811,2025-05-03T12:44:56,4
"He's gone, why bother lying about it still? It was blatantly obvious, claiming ""I never saw it"" only paints you as somebody that walks through life completely oblivious to everything around you.",Rocket_Surgery83,2025-05-03T15:04:23,4
![gif](giphy|ehJ5YeJz0ycBa|downsized),Fools_Errand77,2025-05-03T07:53:46,11
Jen Psaki is a liar,easternseaboardgolf,2025-05-03T08:03:31,10
That's 100% a lie. And she knows it.,BossJackson222,2025-05-03T08:16:47,6
Jen is a paid liar so no surprise there.   For those that are partisan advocates they rationalize it as those in religious cults excuse anything that puts their leaders in a bad light.,Key-Monk6159,2025-05-03T09:54:54,3
That b*tch is lying.,VerusPatriota,2025-05-03T08:44:02,5
She probably never saw him. When she was in the Oval Office Biden was napping.,StedeBonnet1,2025-05-03T09:00:43,4
And Jen Psaki has never lied.,Jurclassic5,2025-05-03T13:25:38,2
We all saw it.,JTuck333,2025-05-03T16:28:12,2
And I insist that she's a lying fool.,Hearts-Heroes,2025-05-03T13:34:51,1
"If they’re talking, they’re lying.",Reaganson,2025-05-03T14:02:35,1
"As Kurt Russell brilliantly delivered in The Hateful Eight, “Horse shit!”",According_To_Me,2025-05-03T14:06:56,1
Same day as James Carvelle said Ds can’t get away with lying like the Rs because they will get called out on it. Pure gaslighting.,shocky32,2025-05-03T16:43:23,1
Orange lady bad,SonnyC_50,2025-05-03T17:07:03,1
"Maybe she's playing a semantics game. If he was already that bad in 2020, then he didn't diminish over his presidency. But even then that's a lie.",Ok-Entertainment7741,2025-05-04T00:38:57,1
She clearly doesn’t know what the word diminished means.,55caesar23,2025-05-03T06:32:58,1
"Perhaps she needs to have her eyes checked, or have a cognitive exam, because I am 2500 miles from DC and a I saw Biden’s dismissed mental acuity in 2019.",jcr2022,2025-05-03T09:25:32,1
Hey Jen:  ![gif](giphy|uKPkgG7Utcd6E),cliffotn,2025-05-03T10:40:45,32
"She says she never SAW him disabled, not that he wasn't actually disabled. They kept him locked in a closet.",DickCheneysTaint,2025-05-03T22:57:57,2
"She's ""lying"".",newgalactic,2025-05-03T08:00:13,67
She was “see no evil” next to speak no evil and hear no evil?,skarface6,2025-05-03T08:11:35,27
This is what liberals do. Lie.,MMcDeer,2025-05-03T16:02:28,6
She will have to circle back to you on that.,Reuters-no-bias-lol,2025-05-03T06:27:38,91
When she writes her book in a decade after the well dries out. ,Blahblahnownow,2025-05-03T06:53:59,58
When they tell her she's allowed to have someone write a book about it for her for free money.,kaytin911,2025-05-03T08:25:56,13
"""I'm not a biologist."" The leftist appeal to authority is anti-intellectual.",kaytin911,2025-05-03T08:27:23,26
"And there's our answer. Wrap this up boys, this case is closed",Syzygy-6174,2025-05-03T07:45:59,11
Nobody wants to admit to being part of the conspiracy.,Scerpes,2025-05-03T12:07:53,5
We all did.,LatterShake6728,2025-05-03T08:01:35,5
"The ""Ginger Goebbels.""",LatterShake6728,2025-05-03T08:01:59,7
Their entire administration was a propaganda operation.,kaytin911,2025-05-03T08:31:43,8
Claiming she never saw it is as blatant an admission of complete incompetence as I have ever seen.,OzoneLaters,2025-05-04T10:30:15,1
Diminished - like her credibility.,Scerpes,2025-05-03T12:08:48,2
"Omg, LMAO, that is definitely something she would say",warXinsurgent,2025-05-04T17:58:05,2
While saying she never said what she said.,AppState1981,2025-05-03T08:45:40,9
"Whether it was a blatant lie, or she legitimately couldn't see it.... Either route tells me that she doesn't need to be in any position where key decisions are to be made.",Rocket_Surgery83,2025-05-04T10:43:10,1
