Comment,Author,Date,Score
"I don't ever remember a time when federal disaster relief would be predicated on the predominate political affiliation of the affected region. Now we've gotten to the point where any federally administered program can be withheld if a local politician dares challenge Mad King Trump. Since DOGE is basically dismantling the federal government, except for the Executive branch, I guess this will be the norm. Say hello to the 19th century.",LaVie_en_Prose,2025-04-02T18:53:06,96
Stay out of my state you fat orange parasite,Willdefyyou,2025-04-02T22:50:06,43
"That “petulant child” is 77 years old, a former DA, state rep and state Attorney General.   The Trumpists have trouble dealing with women, especially when they have actual qualifications and experience.",basiliscpunga,2025-04-03T02:50:01,30
But what about Hillary's emails? smh,wynter-summer,2025-04-03T00:37:24,14
"Can't be Trump that's writing these emails when he reads on 5th grade level. ""Me mad you won't bow down, no money for you!""",N_shinobu,2025-04-03T06:39:51,7
Impeach Trump,CKStephenson,2025-04-03T06:41:36,6
Arm yourself and defend maine.,Glitter_Outlaw,2025-04-03T16:10:35,2
He's such a petulant child 🙄 didn't his mommy and daddy give him enough attention???,RedRoom4U,2025-04-09T09:46:21,1
[deleted],[deleted],2025-04-02T20:00:03,70
In 19th Century America the term “Honor System” meant when you did shit like this you could be challenged to the Field Of Honor and have to get shot at.,Old_Baldi_Locks,2025-04-04T06:32:08,2
"We can all work together today to start that process. Boycott companies that support Trump and Project 2025, and participate in protests around your area. The more people who stand together against this POS POTUS the stronger we are.",woodwog,2025-04-03T08:17:22,7
