Comment,Author,Date,Score
>“Enough is enough. I no longer feel protected or respected as a Judge in this administration.  Sounds like someone else is doing some seriously illegal things behind closed doors...,sowellpatrol,2025-04-26T17:08:10,117
"Lefty judge threatens not to fulfill the office she was selected to, meaning she should be impeached, and replaced.",ITrCool,2025-04-26T19:37:05,44
She can keep the other judge company.,ApricotNo2918,2025-04-26T17:04:44,64
Can an elected official be fired for refusing to do their job?,Key-Monk6159,2025-04-26T19:31:51,24
"Sounds good, one more lefty judge not ruling on things they shouldnt or setting free criminals who should be in jail",ComputerRedneck,2025-04-26T16:54:17,51
go ahead... sounds like a resignation from the court to me!!!,DJSpawn1,2025-04-26T18:14:00,23
"Bro, admitting judges is like, the one thing Congress manages to actually do regularly. And they're evidently horrific at vetting them. I hope there's some serious reform in the process. It's too partisan.",Scamandrius,2025-04-26T23:46:45,7
Do it.  We dare you.,cchris_39,2025-04-27T03:41:10,6
Protected from what? I thought nobody was above the law??,Funny-Apricot-0712,2025-04-26T18:35:56,66
My thoughts exactly,sowellpatrol,2025-04-26T20:48:11,17
