Comment,Author,Date,Score
"Why are Democrats ignoring the science?  Women are getting broken bones, concussions, suffering brain damage by letting these men into their sport.  Why are we even letting a pencil neck attorney tell us about the safety of what's going on in sports?  Democrats are always quick to point out how unqualified someone is to speak.  And let's not forget about ""believe all women"" and ""You don't get an opinion unless you have a vajay-jay"" crowds.",j3remy2007,2025-04-18T08:46:12,74
Let the left continue to die on this hill of delusion.,Ms_Jane_Smith,2025-04-18T10:58:22,12
"They don't see a safety concern because they don't believe that there are any men playing in women's sports. They don't see ""men,"" they see ""trans women.""",theboss2461,2025-04-18T09:30:17,21
"Democrats: ""So long as the women stay in the kitchen""",AppState1981,2025-04-18T08:53:08,32
Lol. I wouldn't want to face young men's spikes in volleyball.,indefiniteretrieval,2025-04-18T09:20:47,10
Demasses still trying to oppress women i see. That'll improve their polling numbers.,Rip1072,2025-04-18T09:04:03,13
"Let’s put him in a ring with someone above his class and weight, and see how well he can protect himself.",MutedSugar3983,2025-04-18T11:05:20,3
Of all the hills to die on...,Scamandrius,2025-04-18T09:23:06,18
You have to remember that these lunatics think women can be men and vice versa.  Women can get seriously hurt going up in a contact sport at this level. This ain't your U10 recreational league sporting event that you have at the local Parks and Rec department that you signed up your kid for $20 a season.,pbnjandmilk,2025-04-18T11:59:00,3
Ok then is he willing to accept legal responsibility if there is?,Hectoriu,2025-04-18T16:36:39,2
"At this point, Congress is going to have to pass legislation stating there are only two genders.",bw2082,2025-04-18T10:13:57,4
"“There are no concerns about individuals who are just choosing which gender they want to give themself in order to participate,”  Notice how he specifically didn’t say men in women’s sports.  But the issue is more fairness, not safety in most cases, when men participate in women’s sports.",mdws1977,2025-04-18T09:17:13,4
[removed],[deleted],2025-04-18T09:13:11,4
Weve litterally aeen women paralyzed or killed because men were where they shouldnt be.,ultrainstict,2025-04-18T09:57:29,2
"It’s legit hilarious that they won’t give up on this point, we can hammer them with it til the end of time.  ",hesdoneitagain,2025-04-18T10:08:53,1
"Its an argument I will never understand. ""Dont ban it, it never happens"" Well, if it doesn't happen, and we want to continue for it not to happen we should ban it.",Tough_guy22,2025-04-18T10:18:53,1
That's exactly what a FASCIST would say,Brahms23,2025-04-18T10:06:55,0
ACTUAL regard. 😂,____IIIII___ll__I,2025-04-18T10:12:21,0
"Its not “their science”, it contradicts the thing that gets them the most divisive voter base",Xander_hades_,2025-04-18T09:12:54,31
dude should be forced to compete in a boxing match with Tyson and told he's not allowed to voice any concerns over any perceived imbalances.,Slartibartfastthe2nd,2025-04-18T09:42:37,16
This.  They are playing word games.,Lustan,2025-04-18T17:07:26,6
