Comment,Author,Date,Score
To be fair I don't think either of those companies were doing too good BEFORE the Trumpocalypse.,Wrong_Confection1090,2025-04-04T16:17:51,8
"It's difficult to celebrate the market tanking when so many people's retirement funds are tied up in it, through 401k's or pensions.",Mindless_Listen7622,2025-04-04T16:30:15,5
"""This is why Crypto is so important!""  (bitcoin has lost like $20k in value)",Kitakitakita,2025-04-04T17:20:05,2
"All that red, matches those stupid fucking hats.",Voglio_Caffe,2025-04-04T17:27:36,1
The main trump maga voter has no investments.,smell-my-elbow,2025-04-04T18:08:26,1
More...MORE!  ![gif](giphy|HFe8qjKRQNlLQkbjXM|downsized),Abraxas_Templar,2025-04-04T18:11:41,1
Trump and his cronies are shorting the market. Just watch him retreat in a week once he’s bought up crashed stocks,BuckeyeMike1999,2025-04-06T10:16:55,1
Companies? They are the largest indexes in the world. Most the world’s GDP is intertwined with those three indexes.   https://finance.yahoo.com/markets/world-indices/  This is really bad. If this trend continues all next week then we are looking at 2009 crash level and perhaps larger. 💀,WhiteAndNerdy85,2025-04-04T16:56:13,3
I’d be laughing if I hadn’t just lost $50k since yesterday.,Significant_Camp9024,2025-04-04T17:49:56,2
"When I hear crypto or bitcoin, this is my brain. Snake Oil!! Step right up! By the gallon or by the drop! Snnnaaake Oil!",420printer,2025-04-05T01:06:10,1
"If you'll read at the bottom you'll see DJT and TSLA, which are companies.",Wrong_Confection1090,2025-04-04T17:02:09,4
"You're braver than me, I'm afraid to look at mine.",Mindless_Listen7622,2025-04-04T17:52:16,2
I lost $65K yesterday. I haven't checked it yet today,QuarterObvious,2025-04-04T18:19:53,2
Ah. That was cutoff on mobile. Yeah. Fuck both those companies.,WhiteAndNerdy85,2025-04-04T17:05:46,5
full one rotten arrest panicky impolite nail spoon worthless boast   *This post was mass deleted and anonymized with [Redact](https://redact.dev/home)*,blellowbabka,2025-04-04T18:07:19,2
I’m a glutton for punishment. My advisor just sent out a “don’t panic” email. Too late.,Significant_Camp9024,2025-04-04T17:59:28,1
Don’t check. I’m done for a while.,Significant_Camp9024,2025-04-04T18:31:39,1
