Comment,Author,Date,Score
What a knucklehead!,IhaveAthingForYou2,2025-04-18T19:29:10,85
Anyone surprised?  I'm not.,VIII_Terror,2025-04-18T19:21:53,81
Minnesota has the worst governor...,Feeling_Maize_2,2025-04-18T19:55:06,81
[deleted],[deleted],2025-04-18T19:34:41,28
Is Tampon Timmy a coconspirator?,chances906,2025-04-18T19:36:48,35
Hope the dude gets prison time as well as having to pay for repairs.,Merax75,2025-04-18T20:12:34,22
Can you imagine being so emotionally unstable that you see a Tesla while walking your dog and feel justified in keying it?,777_heavy,2025-04-18T20:34:38,23
[deleted],[deleted],2025-04-18T19:35:36,29
Oh wow... they actually have him booked. I kinda thought all democrats had immunity or something.,AdagioVast,2025-04-18T20:40:23,14
"Never thought I'd see justification for random acts of vandalization of private property by any major political party.  If you are a Democrat and were on the fence about them after the debacle in the fall this needs to get you off it.  Don't need to go red (God forbid), just don't support these chumps any longer.  This is insanity.",Thats_Dr_Anthrope_2U,2025-04-18T19:25:06,30
"Dylan Bryan Adams, a 33-year-old fiscal policy analyst for the North Star State, was arrested on suspicion of keying multiple Teslas in Minneapolis while out walking his dog in an act of destruction caught on vehicle surveillance, according to a Minnesota-based crime watch account.",Sure-Wishbone-4293,2025-04-18T23:52:46,7
Not very smart,Legitimate-Text-8010,2025-04-18T19:41:40,14
"I'm sure there's some lurkers here so I'll probably try to keep this brief.  Not only is this dumb because you shouldn't be damaging other people's personal property, but this person is allegedly opening up a can of worms for Governor Walz because he'll no doubt bare some of the outrage if the accusations are proven to be true.  You can't think about what feels ""right"" or ""fair"" when you work in what amounts to a PR role that requires you limit the possibility of damage to your boss's reputation. Your ""mistake"" becomes something your boss's campaign can inherit.  The damage to privately owned teslas and tesla dealerships strikes me as tantrum behavior and it doesn't make anyone safer or help political platforms.",atomic1fire,2025-04-18T22:06:39,7
Shocked!!!!!!!  I’m not.,classicman1008,2025-04-18T20:19:20,4
"Wow, tolerance and acceptance is expensive. Is that what it looks like to coexist? Sure glad they’re being so open-minded, imagine what they would do if they weren’t.",komatsu-D355a,2025-04-18T22:50:53,3
Tampon encouraged this behavior.,Highwiind-D4,2025-04-18T21:23:52,4
"These people are not mentally well. What grown adult actually thinks vandalizing a car is a good idea, no matter how much it gives them the self righteous feels?",No-Control3350,2025-04-18T21:59:11,2
Captain Obvious enters to chat to show his great surprise.,pcm2a,2025-04-18T21:02:09,2
Another mentally weak person who cannot control themselves. Just gross.,intrigue-bliss4331,2025-04-19T09:20:05,1
"You've got some explaining to do, Tampon Tim.",____IIIII___ll__I,2025-04-18T20:24:29,2
CECOT candidates,Lanky_Acanthaceae_34,2025-04-18T21:39:04,0
"Charge Walz for incitement or something, he’s been stoking the anti musk rhetoric",plitspidter,2025-04-19T06:01:39,1
NY would like to have a word with you sir/mamn,Archduke_Of_Beer,2025-04-18T20:24:06,31
"What do Democrats get right? They have the same old cultural issues that they don't want to give up, but what do they even try to do for the common man? They have nothing and they're not likable people.",ChimChimCheree69,2025-04-18T23:44:25,13
"Yup, a big leftist idiot❗️👀",GiediOne,2025-04-19T00:01:17,3
"Not to mention, the majority of Tesla buyers historically have likely been democrat.   You're attacking your own party, morons.",Papa_Ganda,2025-04-19T07:52:17,1
Can confirm she’s awful. Her only silver lining is that she’s managed to make both sides despise her.,777_heavy,2025-04-18T20:33:42,16
"Well, I appreciate the liberal zoning laws they’ve implemented in heavily blue cities which allow us to build more affordable housing for the common man.  [Oh wait no lol.](https://www.wsj.com/politics/policy/how-zoning-ruined-the-housing-market-in-blue-state-america-3fa94568)  Sorry man. I’m coming up short.",zip117,2025-04-19T06:06:10,7
And this may even cause brands to steer clear from activism entirely.  Get associated too much with one cause or political party and risk becoming a magnet for outrage.  Literally all a company has to do is just be boring and unassuming now.,atomic1fire,2025-04-19T10:50:40,1
