Comment,Author,Date,Score
Great. If you’re old enough to be in the military you’re old enough to have weapons.,Easterncoaster,2025-04-20T20:14:01,84
As it should be,Provia100F,2025-04-21T07:41:21,6
"Ahhh, that's what freedom smells like. Burning cordite.  I don't see the hangups. You can drive, you can vote, you can live by yourself with your own domicile that needs protecting just as much as anyone's. You can fight and die for your country. This is a good change.",Dungeon_Pastor,2025-04-20T23:04:51,10
Good,charmingcharles2896,2025-04-20T18:29:31,18
Now let them buy cigarettes and alcohol. This tiered age cutoff shit is so 1990s.,sledge07,2025-04-21T13:09:49,2
Dumb,agk927,2025-04-20T18:15:41,-34
Absolutely!,Sure-Wishbone-4293,2025-04-20T22:20:32,6
"It's dumb to say that you're old enough to vote, pay taxes, and die for your country, but not old enough to exercise your constitutional rights.",Saint_Genghis,2025-04-20T19:46:13,52
We trust 16 year olds with 2000+ pound metal box’s going 70+ on roads.,Lord_Gibby,2025-04-20T18:54:00,52
No step. If you're old enough to serve in the military you're old enough to own a handgun.,deathlokke,2025-04-20T18:34:16,42
"Fake ass conservative here, fellas.",BohdiOfValhalla,2025-04-21T07:56:06,3
Care to explain?,TheThunderOfYourLife,2025-04-21T13:37:01,1
"Old enough to own and carry rifles and shotguns, but not pistols?",Provia100F,2025-04-21T07:40:51,0
[deleted],[deleted],2025-04-20T22:21:10,-3
Right on “Saint”!,Sure-Wishbone-4293,2025-04-20T22:22:34,3
"Heck that's low. Most cars are 4,000lbs with larger trucks coming in at 8,000lbs+ with the ability to tow 10s of thousands poinds...",thatfordboy429,2025-04-20T22:29:44,6
