Comment,Author,Date,Score
"I'm a cradle Catholic. He's spent a lot of time in Peru, he is sympathetic to the plight of poverty in South America. As we all should be. It's not surprising he's critical of Trump's immigration policy. After all, we were once strangers in Egypt.  It doesn't mean we can support them, or that those who came here illegally don't have to go back. They need to help fix their own home.   But we should still have common human decency towards all of God's children. I'm glad the Pope feels the same. I don't really care what he re-tweeted, he is the vicar of Christ on earth.",blandunoffensivename,2025-05-09T00:35:34,1026
"So? Every single one of us has differing opinions with Trump on at least one thing, I guarantee it. Why make a big deal out of it?",CountBleckwantedlove,2025-05-09T14:59:07,29
"Didn’t care about the popes view on politics before, don’t care now…",BerniWrightson,2025-05-08T19:55:05,389
"It’s disheartening for sure but I have faith that the cardinals prayed hard and chose the most qualified successor, regardless of his politics. We will see what happens",Total_Decision123,2025-05-08T21:58:18,60
Good thing that's his focus and not the attempted genocide of Christians.,Beware_the_silent,2025-05-08T20:15:47,-48
[removed],[deleted],2025-05-09T05:55:19,1
"It doesn't matter about his old posts, it's about the future, if Trump and the Papacy can find common ground, that'll be seen as a huge win.",Economy_Diamond_924,2025-05-08T22:22:28,-17
"""Pope shared social media posts"". There's the problem right there. I hope people can see the true light one day.",allison_c_hains,2025-05-08T22:39:19,-42
That’s a nice tax exempt status the church has there. It would be a shame to lose it,CCCmonster,2025-05-08T20:41:18,-144
"I'm Catholic and the hypocrisy of the Catholic Church is laughable. They criticize the United States for its ""anti-immigration"" policy but the Vatican has the toughest anti-immigration policy in the world. Open the doors to your church's to support the immigrants but the majority of them don't. It's ""cool"" to criticize Trump but at the expense of your beliefs. ",NiceChemical,2025-05-09T13:56:51,-8
"Stay in your lane pope. I’m already sick of this guy. Sorry Jesus, it is what it is.",Funny-Apricot-0712,2025-05-08T23:10:52,-91
The anti-religious liberals in my town are already saying he has a past of covering up pedo stuff. No idea why they would care.   I'm certainly not going to spend personal time looking into it.,Cool_Cat_Punk,2025-05-08T21:24:02,-73
LMAO... showed this to my catholic friends and they're just sighing & facepalming rn.,jerrycostanzakramer,2025-05-08T23:55:42,-41
[removed],[deleted],2025-05-09T07:45:21,-208
"Do you know the immigration policies of Vatican? Do you think you can just show up without a visa and they will let you in? Do you think they will just welcome you with open arms, give you money and housing so you can live free there? ",Blahblahnownow,2025-05-09T09:48:07,-114
"Welcome to the New Pope, Same as the Old Pope.",Rush2201,2025-05-09T06:38:50,52
"Well, literally me and a billion other people do.",NotRadTrad05,2025-05-08T21:45:18,323
It’s literally a cult.  The history is interesting and all but they are literally in costumes.  ,n337y,2025-05-08T22:17:42,-30
I don’t bc Francis appointed 2/3 of those elector cardinals.,Funny-Apricot-0712,2025-05-08T23:32:27,-77
[deleted],[deleted],2025-05-08T21:15:47,-42
[removed],[deleted],2025-05-09T16:45:24,1
Looks like the brigade found and came for you haha.,frostyfire1990,2025-05-09T07:27:31,-19
">It doesn't mean we can support them, or that those who came here illegally don't have to go back. They need to help fix their own home.  Did you not read the comment you're replying to? The pope is pope to billions, including immigrants, and not just Americans. While we're at it, it harms the deposit of faith to put political affiliations above our Christian sensibilities. Nothing about having strong border protection prevents us from loving our neighbors or recognizing their humanity.",Astroviridae,2025-05-09T08:22:17,221
Can you read?,blandunoffensivename,2025-05-09T08:54:54,77
Did you miss the part where I said you can be sympathetic while still enforcing your laws?,blandunoffensivename,2025-05-09T09:53:38,200
Have your politics suddenly changed because there's a new pope or would you say that you still hold the same values and beliefs that you did at this time yesterday?,JoeWinchester99,2025-05-09T01:29:46,91
"Why? There’s nothing you can do to make him change his mind or make him resign. If he said not to vote conservative, would you listen? I’m not Catholic so I am genuinely asking.",r2k398,2025-05-08T22:08:59,31
How embarrassing.,Hrendo,2025-05-09T08:53:15,3
So you agree that anyone that feels like it can just move to the Vatican and live there? I mean it is a country and the pope wants all immigrants legal or illegal to be able to live in the us. Unless he feels the same about the Vatican his views are just hypocritical.,Threepark,2025-05-09T06:16:40,1
"Nah it's just you. Don't lump other catholics in. When it comes to the catholic church, the pope's words are the words of the lord himself. When it comes to politics, he's just another ordinary person.",frostyfire1990,2025-05-08T22:56:22,-17
I am one of the billion too. I want to see the Catholic Church correct course and once again realign with the conservative guilt tripping agenda we’ve always had until Francis came along. I hate where the church is heading and I will leave it if I feel they stray too far from what I know to be Catholicism.,Funny-Apricot-0712,2025-05-08T23:15:12,-17
"How foolish of you to care what one phony public figure thinks about politics. It's like caring what Kanye West thinks about politics.  The pope has nothing to do with anything. Nothing to do with Christ, or Christianity.",North_Moment5811,2025-05-09T06:37:21,-13
bango.,ObadiahtheSlim,2025-05-09T07:14:12,-4
"That’s was not the previous Pope’s position. I don’t know a lot about Catholics but from what I understand they have a duty to follow his lead whether you agree with it or not.   Therefore even if you say that we can still be enforcing our laws, that’s not what the Pope is suggesting we do.   Are you allowed to have a conflicting belief with the Pope, especially when its clear that the Pope is being hypocritical with his position when Vatican is enforcing their immigration laws vehemently but expecting Americans to just roll over and let everyone in?  Perhaps my limited understanding of the impacts of the Pope’s  position and attitude towards certain topics are erroneous.  ",Blahblahnownow,2025-05-09T10:05:35,-52
"This pope's views have been consistent with other popes and with Catholic social doctrine, so I wouldn't assume that they've changed their views. ",SlavaAmericana,2025-05-09T07:49:28,104
Why would I want him to resign? Why wouldn't I have obedience? Why would I want the Church to conform to me instead of me conforming to the Church?,NotRadTrad05,2025-05-08T22:12:08,201
