Comment,Author,Date,Score
No way there have been enough deportations yet to effect modelo sales significantly.,UltraAirWolf,2025-04-14T07:32:52,96
Iirc Modelo was the best selling beer in the country for a few years recently,Bmartin_,2025-04-14T07:49:59,16
Modelo got a sales bump after the Bud Light fiasco. This is probably just a return to normal.,The1Sundown,2025-04-14T05:22:47,106
"Modelo is good stuff. Hard to find good beer over here, please don’t come for me 😂",McFicklas,2025-04-14T08:13:48,18
I’m a fighter. Modelo is a reward I hardly care about.,ITrCool,2025-04-14T06:23:13,13
So what!,Sure-Wishbone-4293,2025-04-14T05:01:24,10
"Tried a couple of varieties, didn't care for either, went back to Miller Lite.",squunkyumas,2025-04-14T04:06:01,8
An interesting side effect.  Wonder what the Freakonomics folks think about this correlation.,j3remy2007,2025-04-14T06:05:06,1
That explains the increase in Modelo commercials the last 4 years. Somebody was buying it.,social_dinosaur,2025-04-14T06:55:41,2
"Can't they just sell the beer someplace else then? Those people still exist, they're just *not here* anymore.",D_Ethan_Bones,2025-04-16T16:28:51,1
I call this a bs story it replaced bud light for many across the country and consumes a huge section at food lion and Walmart here in North Carolina.   My problem you can’t find negra modelo anywhere anymore.,jackdog20,2025-04-16T21:28:58,1
"I mean...can we see a direct correlation between increased illegal entry -> increased modelo sales? If not, shut up or we'll boycott your ass too.",Daniel_Day_Hubris,2025-04-14T09:15:32,1
Odd.  I only ever see snooty white libs drinking Modelo.,letmeinfornow,2025-04-14T04:38:44,-14
Maybe people’s taste buds just improved.,Crohn85,2025-04-14T08:53:20,-4
Not to mention plenty of pale walkers enjoy modelo myself one of them.  Deportation are a drop in the bucket in sales.,codifier,2025-04-14T08:35:28,35
true,Erotic-Career-7342,2025-04-14T21:37:55,3
"Aye, and Bud Light sales are back up. While I can see the pro-US sentiment having some effect, there's only so much market share to go around. ",WPWeasel,2025-04-14T06:14:34,24
[removed],[deleted],2025-04-14T16:29:02,1
Miller lite and high life truly aren’t bad. I like lite more than mich golden and bud light. High life is decent. I still reach for Pabst blue ribbon(pbr) and hamms more often though. 5% and tasty for an American adjunct lager(AAL) and generally a dollar or more cheaper than the others. Not gut rot either.,Open-Chain-7137,2025-04-14T21:37:04,1
