Comment,Author,Date,Score
"I've been waiting for someone to raise cain about this! Finally! Go, Jasmine!!!!!!!!!!!!!!!!!!!!!",Puzzleheaded_Two6805,2025-04-22T09:50:52,16
"I don't even mind him golfing, I mind him needing to go to Florida every time to do it.",Rosebunse,2025-04-22T11:17:54,6
plus all his other sporting event naps.. golf has been his cheapest outings so far.,smoke1966,2025-04-22T10:57:02,6
That alone should be impeachable !,Santi696969,2025-04-22T10:56:40,3
And that's just Trump golfing. Not even taking into account all other forms of stealing and the massive financial damage he has caused already. The parasitism of these types is mind-boggling.,FavorableTrashpanda,2025-04-22T12:07:06,5
More than I’ll ever pay in taxes across my entire life unless I win the lottery.,AngryAccountant31,2025-04-22T14:37:08,2
bu....bu.....bu....he isn't taking a salary!  He is the most selfless president ever!!!!!!!,AdAccomplished6870,2025-04-22T17:45:08,2
This is good. Dems should tone down the “dictatorship” rhetoric and just attack his economic face plants and wasteful habits.,Such-Tank-6897,2025-04-22T22:32:43,2
"It's possible his golfing has saved us billions because when he's golfing he's not breaking stuff, tanking the markets etc",Loud_Judgment_270,2025-04-22T19:06:11,1
That woman is a national treasure.,Many-Composer1029,2025-04-22T22:45:22,1
"The more I see her, the more I like her.",I_love_Hobbes,2025-04-22T23:40:17,1
Shouldn’t DOGE be looking into this?,quizteamaquilera,2025-04-23T03:59:08,1
Remember the headlines when there were unsubstantiated claims that Obama’s trip to 🇮🇳was going to cost billions and naval forces had to be redirected to that area?  Republicans made everyone think the sky was falling back then.  We see this now and republicans aren’t saying anything.,Answerologist,2025-04-22T16:30:47,6
"No, but his minions are the ones doing the actual breaking. He just plays the king part and signs papers to make it look like it’s him.   Project 2025",Negative_Amphibian_9,2025-04-22T23:17:25,1
