Comment,Author,Date,Score
 Thumbnail looks like tiger woods in a surfer wig,PAYSforPREMIUMcable,2025-04-28T15:16:51,778
![gif](giphy|MPLpvJcsWvrkk|downsized),mwatwe01,2025-04-28T15:41:17,150
*It's like déjà vu all over again*,Farmwife64,2025-04-28T15:09:16,238
is anyone surprised? they've attempted to impeach **every** republican president since eisenhower except for 1.,reaper527,2025-04-28T15:16:02,296
[removed],[deleted],2025-04-28T15:35:44,103
"The more the left uses lawfare against President Trump, the stronger he becomes. It’s his superpower. ",Long_Jelly_9557,2025-04-28T15:15:04,191
"""Donald Trump has repeatedly demonstrated that he is unfit to serve as President and represents a clear and present danger to our nation’s constitution and our democracy,""  Oh, like the Biden administration arresting people for going to church during COVID shutdowns? What's the point in the separation of church and state if it's just going to be violated by democrats?  Democracy? Like how Kamala was selected to be the primary? ok...  People's rights were violated throughout the entire 4 years Biden was in office.  Millions upon millions of illegal immigrants were let into the country by airplane and buses.  People got sued because they didn't want to serve someone, but then democrats refuse services to Christians, and nobody bats an eye.  Judges and lawyers got on camera threatening Trump and anyone that supports him with violence. They told people to ""take to the streets"". They shot at Trump, cursed at him, and tried to blow him up.  They gave death threats to Elon Musk and burned down Tesla factories and business locations. They damaged private property.  They gaslit and lied to the entire nation for 4 years about the economy and Biden's mental state/abilities.  Tell me more about violations of the Constitution and threatening democracy...  These are just tidbits of examples of how far off the rocker democrats are.",caffeinatedgoober,2025-04-28T15:31:30,238
![gif](giphy|WRRIEjIXvWFUlOIFi0),Peria,2025-04-28T15:34:22,48
I can hear Mike Johnson snoring right now. He probably is tired of these people bringing up articles of impeachment that he isn’t going to entertain.,Dazzling_Pink9751,2025-04-28T19:38:10,14
Been there done that..... NEXT,Wonderful_Ad5651,2025-04-28T15:22:25,67
They learn nothing.,RickyPickyRick,2025-04-28T18:43:04,13
"Thanks for the campaign ad to get traditionally non motivated off year voters to get motivated.  This is whats at stake. Vote like your political life depended on it, because if the left gets power in the house this will be non-stop.",PK275,2025-04-28T20:21:06,7
"I'm pretty fuckin sure nobody takes that guy seriously anymore.  Not even his own constituents, even though they voted for him. Guy's a grade-A prick, even by democrat standards. [Committed fraud while head of his drug lab, too.](https://www.detroitnews.com/story/news/politics/2018/03/29/worker-thanedar-spiked-drug-feds/33406953/?fbclid=IwY2xjawJ9HSVleHRuA2FlbQIxMQABHgG3YSpQr03SRO2DEMbdj-fS_w_WadByWAytG2edqFX1SAfCBm4KPdssFq4p_aem_6ryTBjZXlN5F7QYkeZemKg)",JoshTheTrucker,2025-04-28T21:48:30,3
🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱,Blue_Cheese_Olives,2025-04-28T15:23:25,36
Hey I think I've seen this one before.,TheSleepyTruth,2025-04-28T15:31:19,20
Sounds like a whiny baby who gets to be primaried next election.,Cronamash,2025-04-28T15:35:05,18
Trump should request a restraining order against this stalker.,thinkingisthehardest,2025-04-28T21:02:16,7
They will never learn.,TheLimeyCanuck,2025-04-28T15:36:39,13
I listened to his video just because I was curious how stupid he was going to sound. I had to play it at 2X playback speed or else I was going to pass out.,MT_2A7X1_DAVIS,2025-04-28T21:24:45,2
"""His unlawful actions have subverted the justice system, violated the separation of powers, and placed personal power and self-interest above public service.""  All the left wing activist judges out there looking real juicy.",Consistent-Chicken-5,2025-04-28T17:55:54,4
All a charade and cheapens the office he holds by acting this way.,Merax75,2025-04-28T15:48:52,7
![gif](giphy|xl2xUQFClasGvasjsd),MacSteele13,2025-04-28T15:52:33,10
This is nothing but a waste of time and money. In the end the taxpayers will be the ones to suffer.,bulldog522002,2025-04-28T16:23:55,7
 Cool. So what did everyone have for dinner tonight? We had short ribs slow cooked all day with mashed potatoes and black eyed peas.,RollTider1971,2025-04-28T17:51:31,4
It all started with Clinton. Now literally every president is going to have articles of impeachment filed by the other party forever.,Res_Novae17,2025-04-28T17:31:31,4
The losing will continue until the lessons are learned,Imissyourgirlfriend2,2025-04-28T16:40:48,4
Yay! Second verse the same as the first.,WanderingZed22,2025-04-28T15:57:21,2
For what? Being a decent President?,TheThunderOfYourLife,2025-04-28T16:35:02,1
Here we go again. ,EvilEmu1911,2025-04-28T18:24:04,1
How many times is Trump going to be impeached in the next 3.75 years?,Squeezer999,2025-04-28T18:30:26,1
Embarrassing.,goober1157,2025-04-28T18:45:25,2
"Sucks that he’s from my state, hate him.",charmingcharles2896,2025-04-28T15:35:11,-1
Democrats are a joke.,YDKJack69,2025-04-28T16:50:08,1
This 💩 is getting old.,melie776,2025-04-28T16:55:23,3
/yawn,skarface6,2025-04-29T06:59:49,1
Bro looking like random character generator result.,Chikaze,2025-04-29T09:39:41,1
Looks like a Key and Peele skit.,ReachLanky2676,2025-04-29T21:31:12,1
"Another moronic liberal.  Just imagine how great things could be for our country if these liberals would stop obstructing.  I get they are mad that their fraud and waste was exposed, but isn't there at least one decent democrat out there?",EverySingleMinute,2025-04-28T17:03:47,0
I’m sure Mike Johnson will get right on that.,ElectricTurtlez,2025-04-28T16:05:55,2
So?,Mega_Dragonzord,2025-04-28T18:36:40,1
Shri's preferred pronouns is them and they.,jmills74,2025-04-28T15:52:48,-1
"Wow, *new* and *exciting.* I wonder if they're going to really outdo themselves and say he's a Nazi Putin puppet as well?",Rush2201,2025-04-29T06:26:39,1
"I don't want him to be impeached (and removed) but at the off chance they are successful, vance would take over and I really really like him. Just a shame he wouldn't get the chance at a full 8 years.",duckfruits,2025-04-28T16:24:27,-4
Looks like a bad Tiger Woods PGA Tour create-a-character,[deleted],2025-04-28T15:21:16,109
Looking like a Key & Peele character playing a white guy.,chidedneck,2025-04-28T15:55:32,29
I thought it was a Jordan Peele skit,Marrked,2025-04-28T15:25:32,32
I can't unsee it.,JurassicParkFood,2025-04-28T15:38:19,5
Lol,prey4villains,2025-04-28T16:39:03,3
He looks AI generated,indefiniteretrieval,2025-04-28T17:54:29,0
"American people are absolutely sick and tired of impeachments.  Weird thing to say, but, seriously - left and right are both sick of impeaching over and over.    It’s virtue signaling and a political stunt.  And Americans are getting sick and tired of lame ass stunts.",cliffotn,2025-04-28T15:40:52,170
😂😂😂😂😂,Piss_in_my_cunt,2025-04-28T15:45:48,10
"Was gonna say...  they ""should've gone for the head""...  but they did... & he still got stronger lol.  Their only hope now is to go back in time... & drink a Pimm's cup...  or somethin'....",bozoconnors,2025-04-28T15:36:45,20
"""Oh, like the Biden administration arresting people for going to church during COVID shutdowns?""  That was Democrat governors, not the Biden admin. Trump was still president at the time.",Ok-Entertainment7741,2025-04-28T19:05:41,47
Preach!,idle19,2025-04-28T15:43:06,29
