Comment,Author,Date,Score
"They're suddenly very good at spotting cognitive decline, and they care about it.",onemanmelee,2025-05-04T20:11:57,437
Awww did MSNBC tell you what to think today Rosie?,SouthernNumismatist,2025-05-04T20:15:41,138
Meanwhile they were silent on Biden’s the entire time he was in office.,MCKlassik,2025-05-04T20:28:10,69
i thought this guy was moving to england?,troubledtimez,2025-05-05T10:16:54,5
Guess she can smell her own. /s,KevtheKnife,2025-05-04T19:58:32,44
Who gives a fuck what Rosie thinks.,sWo97,2025-05-04T20:29:33,35
Does anyone care what Rosie O’BonerKiller thinks?,BerniWrightson,2025-05-04T20:04:01,49
But they still can't see Bidens....,Rocket_Surgery83,2025-05-04T20:18:57,17
I suggest Rosie O’Donnell has been in “cognitive decline” for 20 years.,thesysadmn,2025-05-04T20:47:55,13
"I mean, sure.  And so is she and anyone else over 60.  so what.",j3remy2007,2025-05-04T20:04:26,13
"Comedian Rosie O’Donnell continued her yearslong feud with President Donald Trump over the weekend, suggesting that Trump is in “cognitive decline.”  Are you a Doctor Rosie? Why the delay in diagnosing Biden? Are you coming back from Ireland to fix this issue?",Sure-Wishbone-4293,2025-05-04T21:00:20,8
Why does she care if she isn't here anymore? Isn't Trump why she left? STFU already.,social_dinosaur,2025-05-04T21:00:22,7
Liberals always look for any magic phrase that they think makes other people believe them.   They think the words cognitive decline from the Republicans affected the left and the Democrats. What they don't know is that that was the truth.,DreadPirateGriswold,2025-05-04T21:40:52,7
She only wishes.,Iamstillhere44,2025-05-04T20:07:06,4
She never learns.,TheLimeyCanuck,2025-05-04T21:43:49,4
"Oh, please… Rosie is a dried up sack of $&@. Trump runs circles around her.",MrsKiwi66,2025-05-04T21:57:29,4
"Let me guess, she’s become an expert as she had four years of experience spotting it.",Blarghnog,2025-05-04T21:59:38,4
"So if President Trump is in cognitive decline, joe biden must have been a walking vegetable?",Long_Jelly_9557,2025-05-04T21:50:40,3
Oh the irony,newcolours,2025-05-05T03:12:57,2
I don’t want to hear from a liberal about cognitive decline. They couldn’t spot Biden who was CLEARLY declining faster than the economy was declining.,marksman81991,2025-05-05T05:31:35,2
Rosie has been in cognitive decline for 10or 12 years. The,WWII-Collector-1942,2025-05-04T21:04:07,3
"It must be exhausting having to play mental gymnastics each and every waking moment. I cannot fathom how your political leaning is the only characteristic trait you have where it’s all you think and talk about and exist for. God forbid, you have a multitude of personality traits and hobbies and defining characteristics let alone the content of your character shining through above all else.   This is the problem. The Left aren’t willing to talk or engage with our neighbors or community members freely as they have stipulations. I’m sorry but that’s simply no way to live.",Capital_Connection67,2025-05-05T00:48:06,2
Biden is still sharp as a tack on the other hand.,Phenzo2198,2025-05-04T20:35:16,1
"She looks like a rotting corpse, jesus christ. WHERE ARE HER LIPS?!",Daniel_Day_Hubris,2025-05-04T21:12:01,2
Amazing they said nothing about Biden but suddenly they experts,Crisgocentipede,2025-05-05T00:35:53,0
Pretty funny this has been thinks anyone gives a rats fart about her thoughts and opinions. Especially since she left the country.,Tasty_Explanation_20,2025-05-05T05:02:44,1
Sharp as a tac.,GentryMillMadMan,2025-05-05T05:55:04,1
Came here just to say Ha ha ha ha ha! (D)usional. lol,nonnativespecies,2025-05-04T22:53:49,0
Rosie is so knowledgeable about such things…,Grimaldehyde,2025-05-04T20:58:15,-3
I guess her having weekly sessions with a psychiatrist all of a sudden makes her an expert.,3DoorsOfKryptonite,2025-05-05T00:52:18,0
Coming from someone who's been in cognitive decline since the 90's.,SirLongwood-ThePenal,2025-05-05T00:50:36,55
Yup. All the liberals who were silent abound Joe Biden...,MMcDeer,2025-05-04T20:39:32,94
They've always cared and are very keen observers.  /S  🤣  Their cognitive bias and selective memories is amazing.  Good thing the mainstream media memory holes reality for them.,Thats_Dr_Anthrope_2U,2025-05-04T20:41:14,23
All while working on giving Ireland its next famine.,____IIIII___ll__I,2025-05-05T00:23:42,27
Not a peep! They are hypocrites!,Sure-Wishbone-4293,2025-05-04T21:01:17,15
"""Only Rosie O'Donnell.""",onemanmelee,2025-05-04T20:12:15,16
Nope !,bulldog522002,2025-05-04T23:10:10,2
Tbh no one would care what she said if she hadn’t left 😂,Nervous-County2713,2025-05-04T21:44:52,6
