Comment,Author,Date,Score
Tom Tomorrow- [The never-ending story](https://www.dailykos.com/stories/2025/5/5/2320149/-Cartoon-The-never-ending-story),Georgiachemscientist,2025-05-10T10:02:07,19
Mike Stanfill  [“I Don’t Know.”](https://ragingpencils.com/2025/5-5-25-constitution-confusion.htm)  [The $100 Million Dollar Parade](https://ragingpencils.com/2025/5-9-25-beans-again.html)  [What Is Christianity?](https://ragingpencils.com/2025/5-7-25-why-christianity.htm),croolshooz,2025-05-10T10:02:50,14
Pulitzer Prize winning Ann Telnaes:     [We know Trump has no respect for democracy](https://anntelnaes.substack.com/p/we-know-trump-has-no-respect-for?img=https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2F82d58b04-06a3-4d2b-a6e8-18159a74f61f_1800x3225.jpeg&open=false),freddiethebaer,2025-05-10T10:37:16,1
Mr Fish - [Excuse Our Mess](https://clowncrack.com/2025/05/09/excuse-our-mess/)  [Love and Resistance](https://clowncrack.com/2025/05/06/love-and-resistance/)  [Mother Knows Best](https://clowncrack.com/2025/05/06/mother-knows-best/),Georgiachemscientist,2025-05-10T10:05:49,14
Jeff Danziger- [the Trump Gang](https://www.gocomics.com/jeffdanziger/2025/05/10)  [Searching for approval](https://www.gocomics.com/jeffdanziger/2025/05/07)  [Replacement Shows](https://www.gocomics.com/jeffdanziger/2025/05/06),Georgiachemscientist,2025-05-10T10:12:55,1
Paul Duginski - [Nobody knows more....](https://www.dailycartoonist.com/wp-content/uploads/2025/05/duginski-0508.webp),Georgiachemscientist,2025-05-10T10:25:50,1
Jack Ohman - [Two Dolls](https://www.gocomics.com/jackohman/2025/05/07)  [Worthless Junk](https://www.gocomics.com/jackohman/2025/05/08)  [I don't know](https://www.gocomics.com/jackohman/2025/05/06),Georgiachemscientist,2025-05-10T10:10:41,1
[Dunno](https://imgur.com/gallery/iZsAgr1)  [He’s No Bargain](https://imgur.com/gallery/jBOIpi7),SirDrawsAlot,2025-05-10T10:26:46,1
Brian McFadden - [Trump's Tariff Rations](https://www.dailykos.com/stories/2025/5/9/2321426/-Cartoon-Trump-s-tariff-rations),Georgiachemscientist,2025-05-10T10:03:34,12
Barry Deutsch  - [The Trump Voter](https://www.dailykos.com/stories/2025/5/7/2321080/-Cartoon-The-Trump-Voter)  [One Big Family](https://www.dailykos.com/stories/2025/5/5/2320654/-Cartoon-One-Big-Family),Georgiachemscientist,2025-05-10T10:15:45,1
Pedro X. Molina:  [Breaking news!](https://www.gocomics.com/pedroxmolina/2025/05/09)   [Trump’s plan](https://www.gocomics.com/pedroxmolina/2025/05/08)   [Solemnly swearing](https://www.gocomics.com/pedroxmolina/2025/05/06),freddiethebaer,2025-05-10T10:37:23,1
