Comment,Author,Date,Score
"How is this not conflict of interest, this is forcing people to use X, and next he will say you need a blue dot for $8 month. If the Democrats aren’t jumping all over this then all will be lost.",h20poIo,2025-04-11T17:52:22,216
this will result in everything going bad. fucking fElon needs to gfhs,vGraphsAlt,2025-04-11T17:27:41,56
"Yeah, because old people are notoriously good at technology!  This is fantastic, I mean only the bestest of best ideas ever!",No_Size9475,2025-04-11T17:54:23,51
"Fuck that noise, I canceled my twitter several years ago.",herbfriendly,2025-04-11T17:46:59,35
This is classic Trump stupidity. Not everyone has or wants a Twitter account. I have no desire to subsidize Elon Musk or expose myself to the rampant hate and vitriol on the platform.,[deleted],2025-04-11T17:36:41,68
WTF?! I have relatives on Social Security who don’t use Twitter or any other social media.,Serendipatti,2025-04-11T18:24:35,30
"I refuse to use X, fuck them all.  X is not a secure govt site , fuck this.",MelissaMead,2025-04-11T18:43:15,19
So that Elon can receive socialism $?,Own-Resource221,2025-04-11T18:27:58,11
Crazy how republicans fiscally fuck everything up and then democrats have to swoop in later to fix it all.,DreadnaughtHamster,2025-04-11T21:42:32,12
I don’t see anything wrong with this at all! Great idea!!!  /SARCASM DAMMIT!!,Ivanagohome,2025-04-11T18:13:02,10
"I will NEVER be on that hate filled Nazi platform.  So, I guess if I need to know something, they can email or snail mail me.  Something is really sus about Elon force driving traffic to his failing platform.",Kyrin999,2025-04-11T18:55:30,11
"I am pretty sure this is illegal and breaking a 'reasonable accommodation"" law or something.   Now, if they were using all social media accounts including Bluesky,  then maybe.  But honestly, the vast majority of people on SS are most likely only on Facebook.   On the flip side, I am sure that the standard run of the mill media outlets will be reposting the tweets to keep everyone up to speed.    On the other hand, what is wrong with an email blast?  If they have someone who can post to Twitter then they have someone who can send an email.",crucial_geek,2025-04-11T19:04:12,11
This makes sense because so many seniors are on X. 🙄,TeddyAndPearl,2025-04-11T19:24:48,8
Sounds about right. What a sh**show.,TrishaThoon,2025-04-11T17:44:12,14
I refuse to use a website named x so stupid,supmaster3,2025-04-11T19:03:26,6
I will NEVER go back to Twitter.,russlebush,2025-04-11T19:12:26,5
Great.... another propaganda pipeline! 🙄,_flowerfox,2025-04-11T21:26:38,6
WTF??? I'm not on twitter and don't want to join.,MetalMamaRocks,2025-04-11T22:24:06,6
The dumbest thing I’ve ever read,rubyshoes21,2025-04-11T18:39:01,5
Wow I thought that was sarcasm at first.,SignificantCod8098,2025-04-11T18:39:04,5
Honestly if there’s a silver lining to the Trump disaster it’s that they’re rather unintentionally making a strong case against turning everything over to Big Tech.,tc100292,2025-04-11T18:56:30,5
Along with hackers to take advantage of Seniors,AKbootjack,2025-04-11T19:52:46,5
I hate all of this (and this admin) but reading the article says press releases and other public statements. Doesn’t sound like this is how they communicate directly to individuals about their benefits but I’m sure that’s coming.,SFGal28,2025-04-11T21:13:53,4
"Sure, why not. We’re already in Hell as is.",burritoman88,2025-04-11T18:58:19,4
I not creating a Twitter account so fuck them.,Skyblue_pink,2025-04-11T19:00:52,3
Everyone I know who is over 60 is definitely on Twitter lol,Songsaboutfruit,2025-04-11T21:04:00,4
AARP got a new president recently. Where is she on this insanity!!!,mbw70,2025-04-11T23:40:34,4
What the fuck?! X is a not a government secured system. Private business profits…,Such_Lemon_4382,2025-04-12T00:26:48,3
This is incompetent on so many levels.,Dsarg_92,2025-04-11T19:03:51,3
What if you don’t have ~~Twitter~~ “X”?,iusedtobekewl,2025-04-11T19:10:18,3
"I thought this was from ""The Onion"".... mercy.",RocDoc007,2025-04-11T21:02:00,3
What’s next? I’ll communicate with my doctor on Snapchat and my accountant on Facebook?,cofonseca,2025-04-11T21:05:57,3
Trying to brainwash more people,cromagsd,2025-04-11T23:54:20,3
Boo,bapeach-,2025-04-11T18:34:12,5
My mom doesn’t even know what X is,Rpizza,2025-04-11T18:50:25,3
"Weird, last I heard, twitter doesn’t exist. It’s got a new name but who even cares what that is.",interstatebus,2025-04-11T18:48:21,2
"Soon, they will legalize suicide. But at a cost.   Can't afford to live here anymore? Check out permanently! Just sign over everything you have left! Because Uncle donnie cares!",[deleted],2025-04-11T18:49:39,2
What the ...,ComplaintKindly5377,2025-04-11T19:20:47,2
Yes like Nazi Musk had no hand in insisting they use X! I hate X and have not been on for years now they are saying I don't have a choice. Nice little coupe for Musk!!,DenialOfExistance,2025-04-11T20:45:18,2
"Head on over to ""Nazi's are Us"" to get your Social Security info.",Original-Randum-Dude,2025-04-12T06:37:23,2
Ridiculous,Calypsoobrian,2025-04-11T18:36:37,2
I thought it was called X??,toastyhandshake,2025-04-11T18:24:54,2
WTF?!,MrPKitty,2025-04-12T06:25:01,1
Don't worry folks. Soon Elon and the fatass loser in the white house will have a falling out and SSA will no longer be posting on X. Instead they will be on Truth Social.,[deleted],2025-04-13T21:03:48,1
These people don't know how hard it is for elders to use their Google email but he wants to control people SS on his platform. He's trying to boost his platform by forcing people to download it.,Exotic_Active2744,2025-04-14T00:20:17,1
Who says elderly people know how to even use Twitter??,Better_Bridge_4454,2025-04-14T09:01:42,1
Twitter doesn't exist. Final transmission received.,Dineffects,2025-04-12T00:26:27,1
This should be fucking illegal.  I don’t have a fucking twitter account.  I never want a fucking twitter account.  My government shouldn’t be using fucking twitter.,[deleted],2025-04-11T19:31:22,134
It’s egregious and even more so because X doesn’t allow people to read account tweets without signing up for an account. I will not sign up and my bet is that the majority of seniors aren’t going to sign up.,70sBurnOut,2025-04-11T22:05:32,10
Feels like dems are mostly taking a nap,Own-Resource221,2025-04-11T18:28:52,33
"Those fucking cowards? If they didn't jump over all the other far more serious shit what makes you think they'll do anything over this? Schummer and Fetterman are readying their ""This ain't that bad"" tweets as we speak.",RonanTheAccused,2025-04-11T22:42:03,3
Easiest way spy on communications and connect to Grok. Congress is a joke,realistdreamer69,2025-04-12T00:43:49,3
"Twitler has banned so many people from X as well, not everyone could if they wanted to.",fietsvrouw,2025-04-12T07:42:05,3
"Expect some disappointing, half-assed, cowardly statement to the effect of:   *While X might be the free-speech platform enjoyed by millions of working Americans, this isn’t what our founders intended.“",tripping_on_phonics,2025-04-12T08:35:06,1
