Comment,Author,Date,Score
This needs to happen. The fact that one single sharpie wielding madman can unilaterally decide to cause this much termoil in a democracy is insane.,Strict_Inspection285,2025-04-07T14:11:27,104
It’s gonna get a veto WH already says this. House won’t put it on floor either,[deleted],2025-04-07T14:05:50,102
It's a start.  But the House will never pass it.  The President will never sign it.,whitingvo,2025-04-07T14:15:17,45
Just impeach him that would solve the problem and then some,Flashy_Rough_3722,2025-04-07T14:31:56,15
"Before you get too excited, two-thirds of members of both the Senate and the House would have to approve the bill to override Trump's veto. The 48 Democrats in the Senate would support it but 19 Republicans would have to join them. It's worse in the House where all 215 Democrats would support such a bill but 64 Republicans would have to join them. How likely is this?",Zeon2,2025-04-07T14:17:10,13
Great! Can we work on executive order power next?   And also give the Heritage Foundation a permanent expulsion from DC?,G-Unit11111,2025-04-07T14:58:05,4
"Hey Congress, can you stop with the shuffling of papers around to look busy? I’m done with decorum and symbolic gestures. It smacks of a campaign talking point. It’s DOA and you know It.",New_Average_2522,2025-04-07T16:01:00,3
"Do you want the bad news? House won’t pass it, Trump won’t sign it.",freexanarchy,2025-04-07T14:36:47,3
It won't make it past the House and if it does he will veto it.   I guess on the plus side at least a few GOP reps are remembering they were born with a spine.,lnc_5103,2025-04-07T14:58:18,3
About God damn time.,Silent_Section_6409,2025-04-07T14:21:13,2
I guess a good thing about Trump being off his rocker is that it allows for the loopholes to be fixed (or at least identified and later fixed when sanity is restored).,Heart_Throb_,2025-04-07T14:45:28,2
"Who here hit the streets on Saturday? What were we protesting about? Who are we trying to convince? What do we want to happen? All I see below are a bunch of wasted democratic voices telling me how pointless the fight is. Stop talking out of both sides of your mouth, stand up, and make it count. We need to be convincing.",benganis,2025-04-07T16:19:47,2
I thought they gave away the ability to do this in the CR that passed a couple weeks ago.,Zahrad70,2025-04-07T17:14:24,2
Dude is fucking up my small business. Can’t wait for him to… sleep perpetually.,splitplug,2025-04-07T19:25:59,2
Meanwhile we have Monty Hall is White House.,metskyfan,2025-04-08T11:04:40,2
Let’s put this in context: this bill is DOA in the house. Johnson will kill it in committee so let’s not even spend time thinking that this will fix the tariff issue.   Its benefit is simply to put republican senators on the record voting for it.,Mountain_Fig_9253,2025-04-07T14:39:11,3
"If this is used, by default it recognizes what T did was legal and within the dimensions of his power.  In reality what T did was AGAINST the law and T just TOOK AND ASSUMED power that was not his to take!",Mlg3260,2025-04-07T14:41:05,2
Good luck getting republicans on board and 47 will just veto it unfortunately :(,Logical_Bite3221,2025-04-07T16:13:51,1
Problem is that Johnson will adjourn the house to keep this from hitting the floor.,NaiveCryptographer89,2025-04-07T18:19:00,1
Not goof enough the president should have no power to unilaterally impose tariffs ever and all existing tariffs unilaterally imposed by the president should be nullified,N0b0me,2025-04-07T22:23:27,1
Does anyone think that this White House will respect such a law? ,TheNetworkIsFrelled,2025-04-07T22:33:02,1
Never pass in the House and Trump said he will veto,[deleted],2025-04-07T23:24:53,1
Why is it even possible for a president veto of a bill about limiting executive power,estormaviorel,2025-04-08T18:34:32,1
"They better make sure they get a veto proof majority. I bet they won't. But, still happy to see some progress.",Independent-Stay-593,2025-04-07T14:20:58,1
And you think the  Speaker of the House will bring it to the House floor.,Clearbay_327_,2025-04-07T14:21:51,1
I mean it’s already too late,Edgimos,2025-04-07T14:39:39,1
Trump will veto.  We lost. There are not enough Republicans to 2/3rds to override.,Raspberries-Are-Evil,2025-04-07T15:21:43,1
It's dead in the water,thavillain,2025-04-07T15:21:56,1
"It’ll pass the Senate, House won’t even take it up. If the House does and passes it, Trump still veto. And there’s no way enough republicans will grow a spine and overrule the veto.",annaleigh13,2025-04-07T14:16:36,0
Bennet is a democrat (yay). Unfortunately this will never get past the 60 votes needed in the senate to come up for a vote. Same hurdle in the house. Wasted effort.,RickieBob,2025-04-07T14:42:54,0
"This will never get through the Senate and Congress. It may get through the Senate. It will never get through the House. And even if it does, Trump will veto it.",Choice-Pudding-1892,2025-04-07T14:56:57,0
Even if a bill gets through congress do you honestly thing Trump will sign it give me a break and when he does veto it you are going to find enough republicans to override his veto.  This is what the people voted for let them live with the consequences maybe next time they will take their vote more seriously.,gutty976,2025-04-07T14:31:02,-1
They will eventually…if this bullshit keeps up. They will have to.😃,Such_Lemon_4382,2025-04-07T14:09:08,64
Congress can bypass the President’s veto if 2/3 in both chambers vote in favor.,Majestic_Electric,2025-04-07T14:14:32,16
"There's a separate senate bill by Grassley that is similar. Gop member of the house is also introducing a similar bill there. They won't have a choice - sooner or later they'll have to vote on one of these. Yes, it'll be vetoed, so the real question is, can they get the support needed for anoverride of the veto",Ahleron,2025-04-07T15:37:49,3
Then we must override the veto threat and get both branches of congress to push back on the criminally insane overreach of the “day 1 dictator”.,benganis,2025-04-07T16:00:22,2
Doesn’t matter if the President won’t sign it. Congress can override his veto if 2/3 in both chambers vote in favor.   Getting the House to vote for it is the bigger issue here.,Majestic_Electric,2025-04-07T14:17:48,35
I’d love to see that happen but I just don’t think that JD is any better tbh. It’s like his minion. Ones out of office and the next rat is in the race.,mlineras,2025-04-07T17:37:12,3
"I believe that 45 democrats + 2 independents means that it would be 20 republican senators necessary. Regarding the house which currently has 433 (because of the deaths in AZ7 and TX18,) 2/3 of 433 is 288.67 = 289. And 289-213 =76 Republican reps necessary. So 96 republicans total.",DreDre7301,2025-04-07T18:19:23,2
"You should call them, seriously.",benganis,2025-04-07T16:55:46,1
I believe for the CR that the Dems were recommending to remove the tariffs that have already been implemented and didn’t mention future tariffs.  I could have misunderstood though.,itsmeriss,2025-04-07T20:25:58,1
"Also, even if the bill passes the House, I seriously doubt that they'll have enough votes to override his veto.  Good try, and they need to keep putting it on the record on who did what.",Forkuimurgod,2025-04-07T14:49:21,2
Actually the courts will be ruling on this soon too. Both can occur.,Such_Lemon_4382,2025-04-07T14:54:00,2
A Republican helped wright this I believe…,Such_Lemon_4382,2025-04-07T17:10:47,1
"Sorry man but republicans will never admit they were wrong, and they will never break from Trump. So we’re out of luck.",Pale_Temperature8118,2025-04-07T14:10:08,69
"Even if this bill passes, Trump will just veto it and there won’t be enough republicans willing to jump ship and overturn the veto",youtheotube2,2025-04-07T20:41:51,3
Even if they put it on the floor Trump will veto it.,Spaceman-Spiff,2025-04-07T20:50:37,3
Mr. Johnson seems pretty content if you asked me,Hvckett-Dv,2025-04-08T07:17:58,1
Do you really think that will happen?,Vanman04,2025-04-07T15:54:13,3
"Not wrong, but there's not enough Republicans to get to the 2/3 number.",whitingvo,2025-04-07T14:19:36,15
At least though it can be made clear a way out was proposed.   Then if it wasn’t taken it can be blamed on all those that didn’t stop it.   Of course this will be the last town hall any republican ever does.,franking11stien12,2025-04-07T14:13:38,12
"They will break from Trump when that is politically beneficial. Make Trump and his agenda toxic, and you will get him removed.",Describing_Donkeys,2025-04-07T15:10:28,9
They will if their rich donors call them screaming because their stock portfolios are in the toilet.,TeamHope4,2025-04-07T14:28:31,25
Even Rafael Cruz is speaking out against trump on the tariffs. This seems possible.,Garth_AIgar,2025-04-07T14:16:25,27
Look I get that we are all nihilistic about situations nowadays but the GOP is already making moves to check Trump on his powers. There’s a bill in the Senate and House both being proposed by GOP members. There is absolutely a reality where this trash can of a party wakes up and realizes they will be the ones that will have to deal with the consequences of Trump’s political fallout.,ImpinAintEZ_,2025-04-07T15:48:13,11
