Comment,Author,Date,Score
"Im going to go and take a nap, please wake me up when America is great again",TheMiddleShogun,2025-04-02T17:51:31,86
"Trump is claiming that moving from tariffs to taxes are what led to the Great Depression.  He wants to take us back to pre-WWI.  Seriously, he thinks this is going to work out and that he will go down in history as the greatest President of all time.  But, apparently no one told him that life is far more complicated these days and we are now a fully connected and global economy.",crucial_geek,2025-04-02T18:15:19,41
Why the hell did American business support this stupid old fuck?,Diligent-Bluejay-979,2025-04-02T18:57:54,22
"That pic aged like milk, the Dow futures dropped over 1000, S&P about 200 and the Nasdaq about 850.",thegreatsquare,2025-04-02T18:04:33,16
This country is fucked something has to change and fast,greg_botts,2025-04-02T18:12:55,14
More proof that Trump is a very stable genius. /s,GarthZorn,2025-04-02T18:11:49,9
They’re eating our retirement! They’re eating our savings!,Pxlfreaky,2025-04-02T19:55:27,9
Here we gon😡,New-Cupcake4479,2025-04-02T18:19:22,3
Why wouldn't we have a trade deficit with small countries?  We have 26% of the world's gdp despite being 5% of the world's population. Our place in the world has helped out our economy tremendously. We arent the worlds suckers,Antique-Egg,2025-04-02T18:28:58,3
Black Tuesday repeats itself 100 years to the date almost.,Edgimos,2025-04-02T21:17:29,3
"And all we'll get is, ""A little disruption is a great thing... "" or something from this fucking con man...  And to think there are people out there who continue to openly support this man..",_ChicagoSummerRain,2025-04-03T07:22:08,3
Tomorrow should be fun.,Eric848448,2025-04-02T22:38:34,2
Quick! Someone check Tesla’s stock price! 😆,Majestic_Electric,2025-04-02T20:32:13,1
Trump has some level of intelligence. He sees the stock market going down. It’s intentional. Whether that’s because he’s getting his buddies to buy low or to tank America because Daddy Putin said so it’s unclear.,Joshhwwaaaaaa,2025-04-02T21:06:01,-1
That will be a heck of a long nap.,Miri5613,2025-04-02T17:53:17,28
"Good luck my friend, they have a depression to get through first.",Project_Rees,2025-04-02T18:23:24,14
Doing the Rip Van Winkle?  https://en.wikipedia.org/wiki/Rip_Van_Winkle,WhiteAndNerdy85,2025-04-02T18:32:09,6
"That sounds like it should be a coma, not a nap",1000thusername,2025-04-02T19:28:30,3
"“Wake me up, when we’re Great Again” in the style of Green Day",zetky91,2025-04-02T18:40:01,3
See you in 2029.,Majestic_Electric,2025-04-02T20:35:08,3
You are gonna need to take a long nap since none of us are gonna be able to afford housing and food if we're up.,Forkuimurgod,2025-04-02T18:43:13,2
Have fun Rumpelstiltskin,burritoman88,2025-04-03T04:54:37,1
Global economics doesn't work like a business. This is what he's trying to do while not understanding it.,Project_Rees,2025-04-02T18:27:30,13
"They thought he’d just give them a big tax cut, like the Republicans have done since the 80’s. 😛",Majestic_Electric,2025-04-02T20:34:09,9
"We had that moment 148 days ago, America chose this.",MrsChanandalerBong,2025-04-02T18:50:33,12
Very strong stable genius.,Epicritical,2025-04-02T21:11:18,1
It took an after hours hit.,13508615,2025-04-02T21:05:28,1
Some will call it a Great Depression.,Prayray,2025-04-02T18:35:44,14
"He doesn't understand anything, as far as I can tell. He spends part of his rambling speech ""explaining"" what groceries are.  Total revelation to me! /s  In a sane country, he'd already be in a ""Memory Unit"" in a nursing home.",Vet_Racer,2025-04-02T19:05:57,13
He couldn't run a casino and now he is trying to run our country into the ground.,LotsofSports,2025-04-02T19:16:04,7
"I don't think that he gets that the rest of the world will keep on freely trading with each other as usual, and some countries may surpass the U.S. in GDP.   Or that companies may start to invest elsewhere.  A part of his game seems to be to get foreign business to invest and build in the U.S., but this could backfire.  It is also a possibility that U.S. companies move to do more business in other countries.  GM and Ford could just start shipping more vehicles directly from Mexico, Brazil, China, or Eastern Europe to the rest of the world as examples.  This would bypass U.S. export penalties and other U.S. centric cost spikes and would be less of a political headache.   So, even though they may still be headquartered in Detroit, they can move production, profit, and maybe even R&D outside of the U.S.  I am not saying that this exact scenario would play out, but these countries, just like Trump and Musk, really do only care about their bottom lines and participating in the global economy is what they do.  3M, Honeywell, Boeing, Raytheon, Target, Exxon, and on and on are players on the global market.  Fuck, even Musk relies on the global economy.",crucial_geek,2025-04-02T21:39:56,3
"Well now they will get the cut, but not just taxes, top line sales, employment, customer traffic.  It will be the best cut in history /s",Sabrvlc,2025-04-02T20:55:12,2
Absolutely. We are 100% in the FO phase of FAFO. Yay us!,jr-junior,2025-04-02T19:37:16,6
"It’s going to be the greatest, HUGE, the best depression you’ve ever seen",Dependent-Cherry-129,2025-04-02T18:37:11,14
"More like GREATEST Depression   - the president, probably",mad-i-moody,2025-04-02T18:44:28,5
"It's a great depression, everybody says its great , the best. Nobody has seen anything like it. They say I make the best depressions ever.",Project_Rees,2025-04-02T18:57:13,6
"Well, this is what happens when you entrust national economic security and growth to a bunch of crypto bros who still live in a fantasy world where crypto is king despite having 17 years to prove a single use-case.",crucial_geek,2025-04-02T21:44:22,2
He couldn't run 3 casinos. Bankrupted all of them,Walkingstardust,2025-04-03T08:24:53,1
"I heard a word today, depression, it's a wonderful and beautiful word.  Some say Thank You Mr. Trump for doing this.  And I say I've never heard of this, this word, but some say it's good, so it must be good.  /S",Sabrvlc,2025-04-02T20:54:00,3
