Comment,Author,Date,Score
[deleted],[deleted],2025-05-08T10:30:03,218
Cool. Do it again for this month. And every month for the rest of the year.,Uller85,2025-05-08T14:14:32,26
That is good news!,chrismireya,2025-05-08T10:21:35,51
I hope it all gets rescinded in Congress. That money can go towards some of the revenue in replacement of tax cuts.,Dazzling_Pink9751,2025-05-08T15:26:45,20
"$51 billion saved in April. When was the last time any administration saved any money?   Thank you, DOGE and President Trump.",MaBonneVie,2025-05-08T11:44:02,31
Space man bad doe,VIII_Terror,2025-05-08T10:43:31,16
Over 52 posts denied so far.  The left sure hates saving the taxpayer money.,vampirepomeranian,2025-05-08T15:44:17,4
We’re one step away from anyone criticizing Elon Musk being put in death camps.,esqadinfinitum,2025-05-08T11:13:13,38
This is fantastic but realistically this needs to be about tripled it in order to get a head of debt service and start paying down the principle. It's a great start but it is just that.,Kahnspiracy,2025-05-09T01:45:38,10
"People seldom vote for cuts in this era, it's increasingly popular to act like government is a big game that has winners and losers and the object of the game is to *get something out of it.*  This game will come crashing down eventually if too many people play it like that, but the people playing it like that just think of themselves as life's big winners and as long as the spending orgy continues that's exactly what they look like.",D_Ethan_Bones,2025-05-08T12:21:38,9
Anything that is actually positive for the US.,the445566x,2025-05-08T22:21:25,15
They'll start deporting American citizens any day now,VeryPokey,2025-05-09T01:25:43,13
Bill Gates did that today so maybe he’ll be sent there,atcmaybe,2025-05-08T11:30:45,-24
