Comment,Author,Date,Score
"Ugh, if I actually had 5 million I would use it to leave this country and set up a little village of friends and family elsewhere. Preferably somewhere that still thinks human rights are pretty cool.",INFJosephine,2025-04-03T22:35:04,106
Sleazy. Wouldn’t expect anything less from him.  Short live the King!,Out_For_Eh_Rip,2025-04-03T22:07:03,78
"The hilarity to me is that his supporters think he is playing 4d chess. Everything he does is exactly what I’d expect an 7 year old to suggest as a solution. It’s shockingly simple minded, obviously introduces significant issues/contradictions, may even be unethical, and lacks any overall strategic plan.",Quiet-Competition849,2025-04-03T23:16:33,29
Remember when he signed the stimulus checks?  It’s all about HIM.,ArdenJaguar,2025-04-03T22:38:34,21
People forgot that they had to wait for the stimulus cheque longer than necessary cause dump was adamant he wants his name on it and the Congress needed to be involved he is the worst narcissist I've ever came across and I'm a mental health nurse that worked for forensic servicesfor decades !,Witty-Gold-5887,2025-04-04T00:54:34,18
George Soros can now buy citizenships for all of ISIS.  Tell your MAGA parents.,1Rab,2025-04-03T22:45:14,15
Once Trumpism is over these cards will be as useless and any of his other 'collectibles',Miri5613,2025-04-03T22:44:48,12
![gif](giphy|xUNd9IMywss6NTIghO),Spirited-Water1368,2025-04-03T22:48:07,12
Idolatry,IcyGarbage538,2025-04-03T22:39:51,11
Where can I buy shares of Brawndo?,DeltaShadowSquat,2025-04-03T22:40:44,11
Don’t leave Russia without it.,gitarzan,2025-04-03T22:52:22,11
"There was a similar program in place before Trump.  The idea is that if people with money come to the US, they'll invest or spend it here.  But only he would put his stupid face on the card.",adavis463,2025-04-03T23:16:34,9
imagine spending 5 million dollars to get a legal document that looks like that. embarrassing,SorrowAndGlee,2025-04-04T00:50:46,8
Are American citizens allowed to sell their citizenship? Seems fair,CartographerKey7322,2025-04-04T00:55:52,6
The next admin (if we have one) should declare it counterfeit currency and not honor it.,Oceanbreeze871,2025-04-04T01:35:41,6
"I just don’t understand. Why would anyone vote for this guy? In 2016, I guess I understood. But I truly can’t see the other side here in 2025.  He routinely has the worst ideas, implements them, and the extreme right celebrates, consequences be damned.   No one should be able to “buy” citizenship.",Done327,2025-04-04T03:01:08,5
This is an Onion article right?    Right?         Right?,Yyc-LAX,2025-04-04T00:22:45,7
Is this a government or a fucking MLM company ?,CompetitionExternal5,2025-04-03T23:58:48,4
Ain't nobody buying that crap when there ain't no jobs and every American out there EATING DOGS AND CATS because of extreme economic fallout.,john917918,2025-04-03T23:36:26,3
He is such a ridiculous weirdo,DoTheRightThingG,2025-04-04T01:33:34,3
He is such a ridiculous weirdo.,DoTheRightThingG,2025-04-04T01:33:40,3
