Comment,Author,Date,Score
"Actually the last thing the world, especially America, needs right now is Iran with nuclear weapons.  For they WILL use them.",mdws1977,2025-05-05T21:11:29,62
">As pressure mounts for yet another regime-change war — this time with Iran — it is imperative that the U.S. resist calls for escalation.  **What I clicked for:** reasons **why** we *must restrain ourselves* when dealing with the #1 most hostile of all our adversaries. **What I got:** a few dozen paragraphs of *Trump-admin-in-general*, with a paper thin restatement of 'dont do this!' and then that's the end of the article. It reads like a giant checklist of names that have to be mentioned for an article to be hot enough for today's internet.  There isn't foreign policy in this text, there's just play-by-play updates narrating a camera focused on people *in this country instead of that one.*  >Yet under the growing influence of the more nationalist and non-interventionist America First movement, this longstanding alliance is beginning to fracture.  This does not influence my opinions on the ayatolah's revolution regime in one direction or the other, it just makes me begin to suspect the writer is mass-producing text that only needs to mass-produce clicks.",D_Ethan_Bones,2025-05-05T21:14:48,32
We don't even need boots on the ground to severely weaken them. They are absolutely a dangerous nation to have nuclear weapons.,YesItIsAnAltAcc,2025-05-05T23:29:14,20
"Iran has been anywhere from ""a few weeks"" to ""a few months"" from having a functional nuclear weapon since 2003.   Going to war with Iran is not America First.",Highwiind-D4,2025-05-05T23:08:57,38
All we'd have to do is fly a few B2 sorties and destroy Iran's uranium stockpiles and centrifuges. Israel would be glad to take it the rest of the way.,social_dinosaur,2025-05-05T21:20:44,21
"No, the last thing we need is Iran sneaking a nuclear bomb into Manhattan and turning New York into a radioactive death zone.  Don’t let members of a suicidal/homicidal cult have nuclear weapons.",Frescanation,2025-05-06T05:02:10,12
My biggest worry isn’t what we could or would do over there.  It’s the sleeper cells already embedded here awaiting orders.  That pos Biden let everybody in here and we can’t get people out fast enough.,luderiffic,2025-05-05T21:35:02,10
But Israel wants one and we tend to do what they want is to in the region.,Bamfor07,2025-05-05T21:53:39,13
"*The last thing any nation needs is war*  Sometimes war is necessary, and even more rarely, it is justified.  But, there is no geopolitical situation that exists in the world today that necessitates America going to war, and there are even fewer geopolitical situations that exist in the world today where America would be morally justified in going to war.",Shadeylark,2025-05-06T07:28:30,2
Not giving much of a choice.,Scamandrius,2025-05-06T05:49:47,-1
"If there IS a war, it won't be a protracted one. Iran MUST not be allowed to have nukes.",wanttostaygottogo,2025-05-06T07:27:32,-1
"**IRAN CAN NOT BE A NUCLEAR POWER**  It’s non-negotiable.  Also, the article is to the Federalist, that links to Newsweek as a source saying Tulsi said Iran doesn’t have nuclear weapons, but that’s not what she actually says in the video - she said the **IC (international community)** has not assessed that Iran has developed nuclear weapon weapons.  That’s some very squirmy language, I would guess purposefully.  Not hammering Tulsi, I’m saying her wording seems to be walking a tightrope.",cliffotn,2025-05-05T21:15:54,28
"Le sigh... No they won't.  Nukes are like hostages; they're only valuable as a threat.  Iran doesn't want nuclear weapons to use them, because they know that using nuclear weapons would trigger a nuclear response.  Iran wants nuclear weapons to ensure that they can stretch their strength around themselves without the threat of America smacking them down.  Iran wants to be able to do what Russia is doing right now, where they can invade neighbors confident that because they have nukes America can't come running in with guns blazing to save the day.  **Nukes allow Iran to give America the middle finger without having to worry about America smacking them down.  That's why they wants nukes.  It's not about using them, it's about being able to do what they want without America being able to do anything about it.**  Iran without nukes can't get too froggy or else America will do to them like we did to Iraq... Iran with nukes can get froggy and the most we can do to them is what we're doing to Russia now.  That's why Iran wants nukes, and that's why we don't want them to have them... It is not because they'll use them... It's because if they have them we can't use our military against them.",Shadeylark,2025-05-06T07:34:28,5
"Yeah, we drone struck one of their top guys recently, and in the past we destroyed their navy. We don't need boots on the ground ",AtomicPhantomBlack,2025-05-05T21:27:43,13
">All we'd have to do is fly a few B2 sorties and destroy Iran's uranium stockpiles and centrifuges.   It would take most, if not all of our B2s, and two carrier groups including their subs at a minimum.  It would also take just over half of all of our deep penetrating munitions.  It would be the biggest naval action since the first Gulf War, going up against drones and modernish air defenses.   >Israel would be glad to take it the rest of the way.  Israel does not have the capability to do what is needed.  They do not have enough planes, enough of the correct non-nuclear munitions, and definitely not enough air refueling capabilities.  They could hit one site.  Maybe two.  Iran watched what happened when Israel removed Iraq's nuclear program.  Their sites are spread out and buried deep.  Either way the US would then have to spend billions and billions on air defenses to protect them.",cathbadh,2025-05-06T09:35:11,3
[deleted],[deleted],2025-05-06T00:45:01,17
Bud...  Israel's had nukes for a while.,bozoconnors,2025-05-06T08:07:04,2
"> Nukes allow Iran to give America the middle finger without having to worry about America smacking them down. That's why they wants nukes. It's not about using them, it's about being able to do what they want without America being able to do anything about it.  This assumes the Mullahs are reasonable people and not radical islamists.",pimanac,2025-05-06T13:15:47,3
"Exactly. We'd only have a remote role..from 60,000 feet.",social_dinosaur,2025-05-05T21:35:57,5
"For anyone who hasn't seen it on YouTube The Fat Electrician has a video about how we destroyed Iran's Navy in an afternoon, and it's incredibly entertaining. If you're interested search for it on YouTube, it's called Operation Praying Mantis.",Odin043,2025-05-05T21:32:08,9
"Israel has already destroyed Iran's air defense capability, hitting multiple targets in one day. Furthermore, we have 6 B2s at Diego Garcia capable of carrying enough GB 57s to knock Iran's nuclear ambitions back to the stone age. In addition, with CSGs 1 and 8 already on station in the Middle East combat air support would not be a problem.   Edit: clarity",social_dinosaur,2025-05-06T10:31:49,1
"A war chief, not a nuke. Use the context clues.",Bamfor07,2025-05-06T08:09:06,2
