Comment,Author,Date,Score
"You’re leaving out Dan Osborn in Nebraska, which is a much likelier bet than Alaska.",A-Fan-Of-Bowman88,2025-04-23T19:09:04,68
"This easiest path looks very unlikely. Even if we get the selection of candidates, from both parties, suggested it’s still very hard to win all four. I would say only if Susan Collins loses the Maine primary does that race favor the democrats. The rest still favor republicans.",WildMajesticUnicorn,2025-04-23T18:40:02,28
Tim Ryan won’t win shit.,milin85,2025-04-23T18:30:41,27
What about Texas and John Corbyn being beaten by Ken Paxton?,vampiregamingYT,2025-04-23T19:22:25,4
There is no path to 51 in 26,Wonderful_Shallot_42,2025-04-23T18:02:52,14
"Jared Golden absolutely will not win the primary for the Senate. Governor Janet Mills, however? She can and would win. She’s the only Democrat in the state that can take out Susan Collins. Edit furthermore we need his seat. He needs to stay right where the fuck he is. Where he can’t cause any harm as well.",Emp3r0r_01,2025-04-23T20:25:30,3
"Speaking as a North Carolinian, NC has a good chance. Roy is really well liked here and people are frustrated with Tillis.",jesuswasahipster,2025-04-24T08:43:25,3
I think you overestimate Ohio doing anything but whining and staying home.,fletcherkildren,2025-04-23T20:27:39,3
Maine and Alaska both use ranked-choice voting for federal offices.,Eric848448,2025-04-23T20:19:37,2
I really wish more people would look at Roger Marshall and Kansas,NSYK,2025-04-24T14:54:27,2
Just for us on helping people jump the hurdles in place just to cast a ballot..you should be fighting that constitutional right with the same energy as cons and 2a,Big-University1012,2025-04-23T19:23:33,4
Great post!  We need strategies and right action right now. Good breakdown. That’s how eon swung it by 1.6%,Iamnotauserdude,2025-04-23T21:06:14,1
I've seen them blame Obama for 9/11.,IllustriousEast4854,2025-04-23T21:40:41,1
"Tim Ryan isn’t terrible but he’s certainly not a better option than Sherrod Brown. Brown performed 6-7 points better than Harris in the state. He might run for governor tho.   I’m from Ohio and would love for it to become a battleground again. But it really doesn’t seem likely unfortunately, especially with the population decline.   If it doesn’t flip blue in 2026 then you can cement it in your brain as another Missouri-style deep red state.",Done327,2025-04-23T23:05:02,1
"The main thing is to keep the numbers where they are and put pressure on the GOP. And frankly, we are doing that. The fact is, we don't even know what the issues are going to be in a months.",Rosebunse,2025-04-23T23:05:04,1
Tim Ryan....again? Miss me with that shit stick.,c1ncinasty,2025-04-24T00:57:33,1
