Comment,Author,Date,Score
Today is Confederate Memorial Day down here in Alabama. A paid holiday for state workers. Here in the 21st Century.  Alabama is a Red State Republican stronghold. Any resemblance to the Party of Lincoln ended basically when Lincoln was ended.,YallerDawg,2025-04-28T06:59:54,72
The obscenity that is the Lost Cause is still around.,Pretty_Boy_Bagel,2025-04-28T07:44:28,20
Republicans seem to tell themselves that their party is the “true” and “right” side because it was republicans who defeated the confederate south.  It’s remarkable how  completely these parties swapped sides like 100%  It’s also remarkable how people will side with a party simply because they were raised to. Party over Country all the way - that’s their motto. Blind ignorant prideful stubbornness.,LonelyGlass2002,2025-04-29T06:35:12,6
"How about ""history"" not crt",Tropisueno,2025-04-28T08:46:54,13
Lincoln would be furious seeing his own party run by neo-confederates today,DanPowah,2025-04-28T20:41:45,2
Fuck Republicans,Minimac1029,2025-05-03T06:11:09,2
They want to be racist.,h8hannah8h,2025-04-28T17:59:42,1
Preserve their heritage of being loser insurrectionists is more like the truth. And the U.S. didn't need to use military jet fighters or tanks- right Donald t?,EggKey6859,2025-04-29T15:52:08,1
The Southern Strategy ruined the Republican Party.,bongophrog,2025-04-28T13:26:00,21
THEY WHITE-OUT THEIR SINS!!!!,SizeEmergency6938,2025-04-28T07:55:57,10
Not hanging Confederate leaders for treason was a mistake that's haunted us for 160 years and counting.,sanjoseboardgamer,2025-04-28T17:04:14,12
disarm command stupendous deserve encourage chubby like normal payment detail   *This post was mass deleted and anonymized with [Redact](https://redact.dev/home)*,Blightwraith,2025-04-28T09:39:49,31
Exactly. Don't use the language of their propaganda!,WoodenMarsupial4100,2025-04-28T12:27:25,4
Pretty much,GoatmanBrogance,2025-05-04T21:58:04,2
"I know.   But they're against basic history even, like lessons on slavery and the civil rights era because it hurts white kids' fee fees to know about what their ancestors did and their parents are cowards who can't contend with basic facts about the world that they don't like.",Tropisueno,2025-04-28T09:54:37,15
Thanks but will maga and even trump ever know that? Maga probably knows by heart the formula (which is science) for making moonshine,EggKey6859,2025-04-29T15:54:07,1
humorous numerous straight aromatic abounding safe advise lunchroom attraction oatmeal   *This post was mass deleted and anonymized with [Redact](https://redact.dev/home)*,Blightwraith,2025-04-29T16:37:50,2
