Comment,Author,Date,Score
Keep showing these wins!,Wonderful_Speed_4712,2025-03-29T19:29:00,65
Maryland's Democratic Governor Wes Moore is also helping laid-off federal workers:  https://governor.maryland.gov/news/press/pages/factsheet-in-support-of-md-federal-public-servants.aspx,wenchette,2025-03-29T18:59:54,63
"I always find it fascinating how standing up for the common man has been a democratic principle all the way back to the party’s founder, Andrew Jackson.",CactusSpirit78,2025-03-29T19:47:37,46
Lots of blue states with job offers!  https://www.nytimes.com/2025/03/15/us/politics/states-hiring-fired-federal-workers.html  Also a bunch have joined the lawsuit to sue Office of Personnel Management for the firings  https://washingtonstatestandard.com/2025/03/05/washington-ag-joins-lawsuit-over-federal-job-cuts/,seehkrhlm,2025-03-29T22:08:45,11
Cool. Now can you impeach trump for his hundreds of impeachable actions?,Cyberlegend2,2025-03-29T20:01:10,22
2026 can’t be here soon enough. Keep em coming!,Operation-FuturePuss,2025-03-29T20:03:44,7
I guess they really ARE kicking things back to the states.,RobbieFD3,2025-03-29T20:34:41,6
Montanas republican governor signed an expansion to Medicaid and Medicare I believe. Pushed through the senate by democrats and some “helpful” republicans.,CardDeclined41,2025-03-30T00:07:54,4
What’s the big picture look like with these?,Dangerous-Coconut-49,2025-03-29T21:02:09,2
It has begun. Gloriously😌.,Looieanthony,2025-03-30T06:48:58,2
What is the plan to upend the Dem leadership?,TimothiusMagnus,2025-03-30T07:07:49,1
That’s my Guv.  😘. Always working for the people!,Used-Painter1982,2025-03-30T12:00:58,4
Except Andrew Jackson didn’t like that common man if his skin had too much melanin in it,Minimum-Trifle-8138,2025-03-30T02:35:05,12
"Yup, but they lost their messaging along the way and were way out of touch. As shitty as this as is, at least they are stepping up in their states and doing what they can to help their people. We are going to need a hell of a lot more of this.",Excellent_Pirate8224,2025-03-29T20:11:42,20
"Al green who whoever can introduce articles of impeachment over and over but the Christian nationalist majority in the House will not take them up and there is no chance a Senate will ever actually vote to remove a President anymore. When Barry Goldwater was the voice of sanity in the Nixon impeachment convincing him to resign we are so fucked, there isn’t a single Republican with an ounce of his fortitude and he was fucking insane.",SocialistNixon,2025-03-30T00:36:54,7
Impeachment alone is just a flick to the wrist in the US,AmericanBornWuhaner,2025-03-29T20:59:19,9
