Comment,Author,Date,Score
Thank you for the chuckle!,kulukster,2025-05-01T21:18:37,26
That is a good one,bapeach-,2025-05-01T22:34:32,13
"Hehe, wait as soon as Agent Orange hears about the fault",sorceress94107,2025-05-01T20:20:44,13
The fact that I thought this was real for a second speaks volumes about how low my expectations of Trump are.,aaron_adams,2025-05-01T23:12:04,7
Please don’t give him anymore ideas.,itsme_believeme,2025-05-02T01:06:21,7
It’s wild because he really is that petty,NYCHW82,2025-05-01T22:50:42,8
It got an actual audible laugh out of me.,Xploding_Penguin,2025-05-02T00:14:24,7
Would be funny if it didn’t sound so true.  Sigh..,2020surrealworld,2025-05-02T00:27:36,4
"SNL is definitely gonna use this joke in a future Weekend Update segment, lol.",foreverkelsu,2025-05-02T01:59:30,3
Don't tempt him!,RedRoom4U,2025-05-02T02:27:35,3
"Hey murica, you can do this. Its Not for Long and He will do something thats really impeachable (i mean something that even fox news wont be able to talk him Out). Thats when you will get him.",Aggressive-Ball6176,2025-05-02T03:21:02,3
Wouldn't doubt it if he did. He blames Biden for everything,IloveHitman4ever,2025-05-02T07:40:13,3
Who says there isn't a place for the Onion to exist?,GETaylor,2025-05-01T22:07:40,2
greatest achievement of 100days,amir95fahim,2025-05-02T00:29:12,2
![gif](giphy|ECtLJKdGj8jfy),OGodIDontKnow,2025-05-02T05:16:16,2
🤣,Norsewoman-22,2025-05-02T08:27:50,2
Brilliant,Ga-SPCA-alumni,2025-05-02T09:42:54,2
"If someone actually pitches this to trump, I’m pretty sure he says yes.",freexanarchy,2025-05-02T10:12:16,2
No way this is taking until 2055--it's coming next week.,CloakOfElvenkind,2025-05-02T12:02:06,2
don't give him ideas,runciter0,2025-05-02T12:27:37,2
He's going to change the name of New Mexico to New America.,New_Taste8874,2025-05-02T23:02:33,2
JFC if Mango Mussolini is still around in 2055 I won't be,Dustin_Echoes_UNSC,2025-05-01T22:13:13,2
![gif](giphy|tXtrS1wnoyQXR5rpZE),jleestar512,2025-05-01T23:52:02,1
Is this The Onion???,[deleted],2025-05-02T08:04:06,1
A pleasure. We all could use one. 👏🏼,jayraygel,2025-05-01T22:22:38,12
Sad but true. 😑,jayraygel,2025-05-01T23:19:38,4
Hopefully. Everyone knows these 100 days have been a disaster. The right wing is too ignorant to see it,IloveHitman4ever,2025-05-02T07:38:42,2
So crazy that The Onion can’t outdo reality.,jayraygel,2025-05-01T22:24:45,3
![gif](giphy|Ru9sjtZ09XOEg)  Me:,jayraygel,2025-05-01T22:23:41,1
