Comment,Author,Date,Score
"“Yeah….we actually WANT to be reelected next year, so if you’d just remove us from this impeachment nonsense that’d be greeeeeat”",ITrCool,2025-04-30T15:31:21,80
To impeach trump you have to:  1. Get a majority of votes in the House  2. Convince 2/3 of the senate to convict trump   Can’t do all that? Well cry about it,Emilia963,2025-04-30T15:43:49,75
"Here we go again, at this point this is a crime to launch so many failed impeachments.",MadOblivion,2025-04-30T19:55:48,12
I still hope they don’t have any chance of being re-elected.,Sure-Wishbone-4293,2025-04-30T16:12:01,22
"If they win back the House, they 100% will impeach again. Likely multiple times. Their entire platform is to oppose Trump.",space_face_mace,2025-04-30T16:02:06,81
What? You don't think AOC's tiny head doesn't have big woke ideas?,MadOblivion,2025-04-30T19:58:02,-1
">if they win back the House  I doubt it, i assume we will dominate congress for the next 8 years",Emilia963,2025-04-30T16:10:48,-5
For Bartender? Yes!,Sure-Wishbone-4293,2025-04-30T20:13:01,-1
"Incumbent midterms never go well. If the economy isn’t doing good, it might be a bloodbath.",InAingeWeTrust,2025-04-30T17:16:36,43
"Don't believe the polls, they almost always under rate Trump's real numbers while bolstering Democrat numbers.",MadOblivion,2025-04-30T19:57:12,9
"It didn't matter in 2018 when Republicans lost 41 seats, and that was with a roaring economy, real wage gains, etc.",the_house_from_up,2025-04-30T21:59:19,16
