Comment,Author,Date,Score
"Makes me wonder who is worse at picking a VP, Biden or Harris.",Strange_Chemistry503,2025-04-30T09:48:05,391
[deleted],[deleted],2025-04-30T10:46:33,177
"What does code talk to white guys even mean?  As a white guy, Tim Walz had nothing to say that I wanted to hear.",liquidgold83,2025-04-30T10:09:39,256
It's identity politics from the top to the bottom in that party.,HereIGoAgain99,2025-04-30T09:57:31,128
DEI on DEI ,Zealousideal-Dig8210,2025-04-30T09:41:48,107
"And a job well done, sir! 👏🙄",rdenghel,2025-04-30T09:44:31,57
In reality Obama picked a veep that wouldn't outshine him and make him look like not the star of the show. Then Biden did the same thing. Then Kamala did the same thing. And we're pretty far below best available by now.,_Diggus_Bickus_,2025-04-30T10:09:25,51
![gif](giphy|isvPZVjM5Hkac|downsized),Silverado153,2025-04-30T10:05:12,12
"The code switching is less offensive to me than the fact that Kamala thought walz, of all people, represented your average white male.  It's almost as out of touch as a man picking Dylan mulvaney to speak to women.",Shadeylark,2025-04-30T11:10:16,13
Another stunningly bad decision by Harris. Jazz-hands Walz worked out well for us though.,WPWeasel,2025-04-30T09:52:25,38
I feel microagressed.,777_heavy,2025-04-30T10:05:49,26
"From the article:    Walz said Harris chose him, in part, because, ""I could code talk to White guys watching football, fixing their truck"" and ""put them at ease."" The Minnesota governor described himself as the ""permission structure"" for White men from rural America to vote for Democrats.   ""I think I'll give you pretty good stuff, but I'll also give you 10% problematic,"" Walz added when pushed by moderator Brittany Shepherd, ABC News national political reporter, about why he didn't take that message to cable news to reach a larger audience.",Theloripalooza,2025-04-30T10:25:05,20
![gif](giphy|YX63WcGHtXrpXO0HZo),Left4DayZGone,2025-04-30T10:34:21,7
Good job,harbringerxv8,2025-04-30T10:05:39,7
Lol,kgthdc2468,2025-04-30T10:15:12,6
This is the mistake in doing everything by intersectional identity. He is a white guy. But to any swing voter he codes as primary category ‘whiney liberal’,Unlucky-Prize,2025-04-30T10:59:36,8
"As if Tim Waltz would know a white man if he saw one ... He may recognize white skin, but he clearly can't identify men.",Dependent-Aside-9750,2025-04-30T11:02:18,7
So democrats think that the average white guy is a child molesting communist? No wonder they lost.,Tough_guy22,2025-04-30T10:57:32,4
"Is this code talk to white guys or is this the language the wokesters want to hear? So code talking to their own base about how they're ""code talking"" to the whites?   The whole thing is so ridiculous. These people are so broken.",fordry,2025-04-30T11:28:06,5
"Impossible.  ""White Dudes for Harris"" were having Zoom meetings for weeks before he was announced.",serial_crusher,2025-04-30T10:26:28,9
Well he did a bad job because Walz spoke to me and it sounded like blah blah blah blah your the problem blah blah blah I’ll kick your ass blah blah blah.,Bitter-Assignment464,2025-04-30T11:21:53,3
"I don't doubt that Walz was there to balance the ticket as a midwestern white guy, but wow, was he ineffective at communicating to dudes.  Harris was om a frustrating place, but Walz was singularly terrible at communicating with his fellow white men. He came off as only slightly more capable of communicating with other human beings than Harris, and she was one of the worst ever.",thatrightwinger,2025-04-30T13:15:40,3
What a fruitcake,BohdiOfValhalla,2025-04-30T11:03:06,2
 Oh did they miss the mark on this one.,Iamstillhere44,2025-04-30T11:27:02,2
"Yeah, he really code talked to us by saying he runs a mean pick six and failing to reload a shotgun.",Zaphenzo,2025-04-30T11:47:42,2
"Tim Waltz, the Passing Wind Code Talker.  ![gif](giphy|r5EYPS8xg1wDS|downsized)",letmeinfornow,2025-04-30T12:11:48,2
So he's literally admitting her loss is his fault? Bold move,DickCheneysTaint,2025-04-30T13:39:56,2
She played the reverse racist uno card!,shocky32,2025-04-30T10:50:13,1
And he did a very good job of that now didn’t he? 😂👌,Staffalopicus,2025-04-30T11:10:35,1
